;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.41509;0.41509;0.41509;0.41509;0.41509;0.06061;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.41509;0.06061;0.41509;0.41509
0-1-0-0-0;0.57437;0.57437;0.57437;0.57437;0.57437;0.15837;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.57437;0.15837;0.57437;0.57437
0-0-1-0-0;0.83627;0.83627;0.83627;0.83627;0.83627;0.40764;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.83627;0.40764;0.83627;0.83627
0-0-0-1-0;0.55288;0.55288;0.55288;0.55288;0.55288;0.18421;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.55288;0.18421;0.55288;0.55288
0-0-0-0-1;0.73314;0.73314;0.73314;0.73314;0.73314;0.40000;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.73314;0.40000;0.73314;0.73314
1-2-0-0-0;0.53616;0.53960;0.53960;0.53616;0.53616;0.13889;0.53960;0.53960;0.53616;0.53960;0.53960;0.53616;0.53616;0.53616;0.53616;0.53960;0.53616;0.53960;0.13889;0.53616;0.53960
1-0-2-0-0;0.83122;0.83213;0.83213;0.83122;0.83122;0.40952;0.83213;0.83213;0.83122;0.83213;0.83213;0.83122;0.83122;0.83122;0.83122;0.83213;0.83122;0.83213;0.40764;0.83122;0.83213
1-0-0-2-0;0.56028;0.56643;0.56643;0.56028;0.56028;0.17699;0.56643;0.56643;0.56028;0.56643;0.56643;0.56028;0.56028;0.56028;0.56028;0.56643;0.56028;0.56643;0.17699;0.56028;0.56643
1-0-0-0-2;0.73617;0.73580;0.73580;0.73617;0.73617;0.39414;0.73580;0.73580;0.73617;0.73580;0.73580;0.73617;0.73617;0.73617;0.73617;0.73580;0.73617;0.73580;0.39414;0.73617;0.73580
0-1-2-0-0;0.83713;0.83770;0.83770;0.83713;0.83713;0.42056;0.83770;0.83770;0.83713;0.83770;0.83770;0.83713;0.83713;0.83713;0.83713;0.83770;0.83713;0.83770;0.42056;0.83713;0.83770
0-1-0-2-0;0.62348;0.62725;0.62725;0.62348;0.62348;0.23457;0.62725;0.62725;0.62348;0.62725;0.62725;0.62348;0.62348;0.62348;0.62348;0.62725;0.62348;0.62725;0.23457;0.62348;0.62725
