;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;132;132;132;132;132;12;132;132;132;132;132;132;132;132;132;132;132;132;12;132;132
0-1-0-0-0;251;251;251;251;251;35;251;251;251;251;251;251;251;251;251;251;251;251;35;251;251
0-0-1-0-0;950;950;950;950;950;128;950;950;950;950;950;950;950;950;950;950;950;950;128;950;950
0-0-0-1-0;230;230;230;230;230;42;230;230;230;230;230;230;230;230;230;230;230;230;42;230;230
0-0-0-0-1;511;511;511;511;511;124;511;511;511;511;511;511;511;511;511;511;511;511;124;511;511
1-2-0-0-0;215;218;218;215;215;30;218;218;215;218;218;215;215;215;215;218;215;218;30;215;218
1-0-2-0-0;916;922;922;916;916;129;922;922;916;922;922;916;916;916;916;922;916;922;128;916;922
1-0-0-2-0;237;243;243;237;237;40;243;243;237;243;243;237;237;237;237;243;237;243;40;237;243
1-0-0-0-2;519;518;518;519;519;121;518;518;519;518;518;519;519;519;519;518;519;518;121;519;518
0-1-2-0-0;956;960;960;956;956;135;960;960;956;960;960;956;956;956;956;960;956;960;135;956;960
0-1-0-2-0;308;313;313;308;308;57;313;313;308;313;313;308;308;308;308;313;308;313;57;308;313
0-1-0-0-2;564;566;566;564;564;134;566;566;564;566;566;564;564;564;564;566;564;566;134;564;566
0-0-1-2-0;926;934;934;926;926;137;934;934;926;934;934;926;926;926;926;934;926;934;136;926;934
0-0-1-0-2;909;933;933;909;909;192;933;933;909;933;933;909;909;909;909;933;909;933;192;909;933
0-0-0-1-2;544;549;549;544;544;138;549;549;544;549;549;544;544;544;544;549;544;549;138;544;549
1-2-3-0-0;970;927;927;970;920;134;974;974;970;974;974;970;970;920;920;927;970;974;133;920;927
1-2-0-3-0;319;289;289;319;281;57;325;325;319;325;325;319;319;281;281;289;319;325;57;281;289
1-2-0-0-3;592;544;544;592;545;133;590;590;592;590;590;592;592;545;545;544;592;590;133;545;544
1-0-2-3-0;949;921;921;949;905;137;959;959;949;959;959;949;949;905;905;921;949;959;134;905;921
1-0-2-0-3;961;938;938;961;911;191;982;982;961;982;982;961;961;911;911;938;961;982;190;911;938
1-0-0-2-3;576;548;548;576;538;136;585;585;576;585;585;576;576;538;538;548;576;585;135;538;548
0-1-2-3-0;998;951;951;998;948;142;998;998;998;998;998;998;998;948;948;951;998;998;141;948;951
0-1-2-0-3;1002;960;960;1002;941;199;1018;1018;1002;1018;1018;1002;1002;941;941;960;1002;1018;200;941;960
0-1-0-2-3;636;586;586;636;581;147;636;636;636;636;636;636;636;581;581;586;636;636;147;581;586
0-0-1-2-3;989;946;946;989;917;198;1012;1012;989;1012;1012;989;989;917;917;946;989;1012;198;917;946
1-2-3-4-0;973;927;927;973;915;143;985;985;973;985;985;973;973;915;915;927;973;985;140;915;927
1-2-3-0-4;1000;956;956;1000;933;195;1018;1018;1000;1018;1018;1000;1000;933;933;956;1000;1018;194;933;956
1-2-0-3-4;636;576;576;636;568;145;641;641;636;641;641;636;636;568;568;576;636;641;144;568;576
1-0-2-3-4;993;950;950;993;915;197;1021;1021;993;1021;1021;993;993;915;915;950;993;1021;195;915;950
0-1-2-3-4;1026;967;967;1026;944;205;1050;1050;1026;1050;1050;1026;1026;944;944;967;1026;1050;206;944;967
1-2-3-4-5;350;256;264;350;255;62;350;323;350;350;350;350;321;263;263;264;321;323;63;255;256
