;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;1095;1095;1095;1095;1095;1081;1095;1095;1095;1095;1095;1095;1095;1095;1095;1095;1095;1095;1081;1095;1095
0-1-0-0-0;1100;1100;1100;1100;1100;1098;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1098;1100;1100
0-0-1-0-0;571;571;571;571;571;575;571;571;571;571;571;571;571;571;571;571;571;571;575;571;571
0-0-0-1-0;1134;1134;1134;1134;1134;1123;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1134;1123;1134;1134
0-0-0-0-1;656;656;656;656;656;659;656;656;656;656;656;656;656;656;656;656;656;656;659;656;656
1-2-0-0-0;904;900;900;904;904;902;900;900;904;900;900;904;904;904;904;900;904;900;908;904;900
1-0-2-0-0;517;517;517;517;517;527;517;517;517;517;517;517;517;517;517;517;517;517;527;517;517
1-0-0-2-0;852;845;845;852;852;841;845;845;852;845;845;852;852;852;852;845;852;845;848;852;845
1-0-0-0-2;590;587;587;590;590;586;587;587;590;587;587;590;590;590;590;587;590;587;589;590;587
0-1-2-0-0;528;526;526;528;528;530;526;526;528;526;526;528;528;528;528;526;528;526;532;528;526
0-1-0-2-0;869;867;867;869;869;867;867;867;869;867;867;869;869;869;869;867;869;867;871;869;867
0-1-0-0-2;585;582;582;585;585;585;582;582;585;582;582;585;585;585;585;582;585;582;587;585;582
0-0-1-2-0;524;524;524;524;524;534;524;524;524;524;524;524;524;524;524;524;524;524;533;524;524
0-0-1-0-2;489;487;487;489;489;499;487;487;489;487;487;489;489;489;489;487;489;487;500;489;487
0-0-0-1-2;578;576;576;578;578;585;576;576;578;576;576;578;578;578;578;576;578;576;585;578;576
1-2-3-0-0;508;508;508;508;509;513;507;507;508;507;507;508;508;509;509;508;508;507;514;509;508
1-2-0-3-0;796;782;782;796;790;781;788;788;796;788;788;796;796;790;790;782;796;788;788;790;782
1-2-0-0-3;562;558;558;562;565;556;557;557;562;557;557;562;562;565;565;558;562;557;560;565;558
1-0-2-3-0;493;493;493;493;498;506;489;489;493;489;489;493;493;498;498;493;493;489;510;498;493
1-0-2-0-3;477;470;470;477;475;480;471;471;477;471;471;477;477;475;475;470;477;471;485;475;470
1-0-0-2-3;547;544;544;547;552;552;540;540;547;540;540;547;547;552;552;544;547;540;561;552;544
0-1-2-3-0;509;501;501;509;507;507;502;502;509;502;502;509;509;507;507;501;509;502;509;507;501
0-1-2-0-3;476;469;469;476;476;483;469;469;476;469;469;476;476;476;476;469;476;469;487;476;469
0-1-0-2-3;550;540;540;550;545;547;544;544;550;544;544;550;550;545;545;540;550;544;549;545;540
0-0-1-2-3;471;473;473;471;474;481;469;469;471;469;469;471;471;474;474;473;471;469;483;474;473
1-2-3-4-0;493;490;490;493;494;499;487;487;493;487;487;493;493;494;494;490;493;487;503;494;490
1-2-3-0-4;475;465;465;475;472;473;466;466;475;466;466;475;475;472;472;465;475;466;478;472;465
1-2-0-3-4;535;529;529;535;540;531;528;528;535;528;528;535;535;540;540;529;535;528;539;540;529
1-0-2-3-4;463;458;458;463;467;468;454;454;463;454;454;463;463;467;467;458;463;454;474;467;458
0-1-2-3-4;466;458;458;466;465;465;458;458;466;458;458;466;466;465;465;458;466;458;470;465;458
1-2-3-4-5;600;600;600;600;598;605;607;605;600;607;607;600;599;595;595;600;599;605;599;598;600
