;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;824;824;824;824;824;796;824;824;824;824;824;824;824;824;824;824;824;824;796;824;824
0-1-0-0-0;850;850;850;850;850;836;850;850;850;850;850;850;850;850;850;850;850;850;836;850;850
0-0-1-0-0;415;415;415;415;415;392;415;415;415;415;415;415;415;415;415;415;415;415;392;415;415
0-0-0-1-0;890;890;890;890;890;867;890;890;890;890;890;890;890;890;890;890;890;890;867;890;890
0-0-0-0-1;466;466;466;466;466;447;466;466;466;466;466;466;466;466;466;466;466;466;447;466;466
1-2-0-0-0;678;674;674;678;678;664;674;674;678;674;674;678;678;678;678;674;678;674;670;678;674
1-0-2-0-0;374;375;375;374;374;358;375;375;374;375;375;374;374;374;374;375;374;375;358;374;375
1-0-0-2-0;643;640;640;643;643;621;640;640;643;640;640;643;643;643;643;640;643;640;625;643;640
1-0-0-0-2;420;418;418;420;420;395;418;418;420;418;418;420;420;420;420;418;420;418;397;420;418
0-1-2-0-0;379;378;378;379;379;361;378;378;379;378;378;379;379;379;379;378;379;378;362;379;378
0-1-0-2-0;669;667;667;669;669;654;667;667;669;667;667;669;669;669;669;667;669;667;656;669;667
0-1-0-0-2;419;419;419;419;419;398;419;419;419;419;419;419;419;419;419;419;419;419;398;419;419
0-0-1-2-0;376;377;377;376;376;361;377;377;376;377;377;376;376;376;376;377;376;377;358;376;377
0-0-1-0-2;344;344;344;344;344;332;344;344;344;344;344;344;344;344;344;344;344;344;332;344;344
0-0-0-1-2;415;414;414;415;415;397;414;414;415;414;414;415;415;415;415;414;415;414;397;415;414
1-2-3-0-0;370;367;367;370;366;347;371;371;370;371;371;370;370;366;366;367;370;371;347;366;367
1-2-0-3-0;607;596;596;607;599;579;602;602;607;602;602;607;607;599;599;596;607;602;582;599;596
1-2-0-0-3;401;400;400;401;403;375;400;400;401;400;400;401;401;403;403;400;401;400;378;403;400
1-0-2-3-0;360;355;355;360;357;342;357;357;360;357;357;360;360;357;357;355;360;357;343;357;355
1-0-2-0-3;340;334;334;340;334;317;339;339;340;339;339;340;340;334;334;334;340;339;319;334;334
1-0-0-2-3;395;394;394;395;396;374;392;392;395;392;392;395;395;396;396;394;395;392;378;396;394
0-1-2-3-0;367;360;360;367;363;343;363;363;367;363;363;367;367;363;363;360;367;363;343;363;360
0-1-2-0-3;339;333;333;339;334;320;336;336;339;336;336;339;339;334;334;333;339;336;322;334;333
0-1-0-2-3;393;390;390;393;391;373;392;392;393;392;392;393;393;391;391;390;393;392;373;391;390
0-0-1-2-3;333;333;333;333;331;318;335;335;333;335;335;333;333;331;331;333;333;335;318;331;333
1-2-3-4-0;355;352;352;355;353;336;353;353;355;353;353;355;355;353;353;352;355;353;337;353;352
1-2-3-0-4;339;328;328;339;328;311;335;335;339;335;335;339;339;328;328;328;339;335;313;328;328
1-2-0-3-4;383;384;384;383;387;362;381;381;383;381;381;383;383;387;387;384;383;381;366;387;384
1-0-2-3-4;330;324;324;330;325;308;327;327;330;327;327;330;330;325;325;324;330;327;311;325;324
0-1-2-3-4;331;325;325;331;325;309;329;329;331;329;329;331;331;325;325;325;331;329;311;325;325
1-2-3-4-5;435;433;434;435;424;422;446;442;435;446;446;435;432;424;424;434;432;442;412;424;433
