;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.05914;0.05914;0.05914;0.05914;0.05914;0.10153;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.05914;0.10153;0.05914;0.05914
0-1-0-0-0;0.04971;0.04971;0.04971;0.04971;0.04971;0.07924;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.04971;0.07924;0.04971;0.04971
0-0-1-0-0;0.00816;0.00816;0.00816;0.00816;0.00816;0.01556;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.00816;0.01556;0.00816;0.00816
0-0-0-1-0;0.05137;0.05137;0.05137;0.05137;0.05137;0.07927;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.05137;0.07927;0.05137;0.05137
0-0-0-0-1;0.01418;0.01418;0.01418;0.01418;0.01418;0.02508;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.01418;0.02508;0.01418;0.01418
1-2-0-0-0;0.03820;0.03769;0.03769;0.03820;0.03820;0.05954;0.03769;0.03769;0.03820;0.03769;0.03769;0.03820;0.03820;0.03820;0.03820;0.03769;0.03820;0.03769;0.05997;0.03820;0.03769
1-0-2-0-0;0.00722;0.00707;0.00707;0.00722;0.00722;0.01293;0.00707;0.00707;0.00722;0.00707;0.00707;0.00722;0.00722;0.00722;0.00722;0.00707;0.00722;0.00707;0.01299;0.00722;0.00707
1-0-0-2-0;0.03272;0.03126;0.03126;0.03272;0.03272;0.05061;0.03126;0.03126;0.03272;0.03126;0.03126;0.03272;0.03272;0.03272;0.03272;0.03126;0.03272;0.03126;0.05266;0.03272;0.03126
1-0-0-0-2;0.01175;0.01151;0.01151;0.01175;0.01175;0.01955;0.01151;0.01151;0.01175;0.01151;0.01151;0.01175;0.01175;0.01175;0.01175;0.01151;0.01175;0.01151;0.01989;0.01175;0.01151
0-1-2-0-0;0.00723;0.00708;0.00708;0.00723;0.00723;0.01254;0.00708;0.00708;0.00723;0.00708;0.00708;0.00723;0.00723;0.00723;0.00723;0.00708;0.00723;0.00708;0.01280;0.00723;0.00708
0-1-0-2-0;0.02999;0.02953;0.02953;0.02999;0.02999;0.04630;0.02953;0.02953;0.02999;0.02953;0.02953;0.02999;0.02999;0.02999;0.02999;0.02953;0.02999;0.02953;0.04661;0.02999;0.02953
0-1-0-0-2;0.01143;0.01101;0.01101;0.01143;0.01143;0.01917;0.01101;0.01101;0.01143;0.01101;0.01101;0.01143;0.01143;0.01143;0.01143;0.01101;0.01143;0.01101;0.01980;0.01143;0.01101
0-0-1-2-0;0.00738;0.00721;0.00721;0.00738;0.00738;0.01357;0.00721;0.00721;0.00738;0.00721;0.00721;0.00738;0.00738;0.00738;0.00738;0.00721;0.00738;0.00721;0.01383;0.00738;0.00721
0-0-1-0-2;0.00648;0.00632;0.00632;0.00648;0.00648;0.01116;0.00632;0.00632;0.00648;0.00632;0.00632;0.00648;0.00648;0.00648;0.00648;0.00632;0.00648;0.00632;0.01135;0.00648;0.00632
0-0-0-1-2;0.01090;0.01062;0.01062;0.01090;0.01090;0.01865;0.01062;0.01062;0.01090;0.01062;0.01062;0.01090;0.01090;0.01090;0.01090;0.01062;0.01090;0.01062;0.01880;0.01090;0.01062
1-2-3-0-0;0.00639;0.00668;0.00668;0.00639;0.00697;0.01215;0.00613;0.00613;0.00639;0.00613;0.00613;0.00639;0.00639;0.00697;0.00697;0.00668;0.00639;0.00613;0.01244;0.00697;0.00668
1-2-0-3-0;0.02411;0.02450;0.02450;0.02411;0.02630;0.03907;0.02296;0.02296;0.02411;0.02296;0.02296;0.02411;0.02411;0.02630;0.02630;0.02450;0.02411;0.02296;0.04134;0.02630;0.02450
1-2-0-0-3;0.01053;0.01059;0.01059;0.01053;0.01107;0.01787;0.01012;0.01012;0.01053;0.01012;0.01012;0.01053;0.01053;0.01107;0.01107;0.01059;0.01053;0.01012;0.01831;0.01107;0.01059
1-0-2-3-0;0.00611;0.00662;0.00662;0.00611;0.00705;0.01211;0.00595;0.00595;0.00611;0.00595;0.00595;0.00611;0.00611;0.00705;0.00705;0.00662;0.00611;0.00595;0.01263;0.00705;0.00662
1-0-2-0-3;0.00576;0.00574;0.00574;0.00576;0.00623;0.01029;0.00532;0.00532;0.00576;0.00532;0.00532;0.00576;0.00576;0.00623;0.00623;0.00574;0.00576;0.00532;0.01086;0.00623;0.00574
1-0-0-2-3;0.00897;0.00897;0.00897;0.00897;0.00990;0.01610;0.00830;0.00830;0.00897;0.00830;0.00830;0.00897;0.00897;0.00990;0.00990;0.00897;0.00897;0.00830;0.01756;0.00990;0.00897
0-1-2-3-0;0.00650;0.00629;0.00629;0.00650;0.00672;0.01184;0.00611;0.00611;0.00650;0.00611;0.00611;0.00650;0.00650;0.00672;0.00672;0.00629;0.00650;0.00611;0.01237;0.00672;0.00629
0-1-2-0-3;0.00560;0.00556;0.00556;0.00560;0.00604;0.01008;0.00526;0.00526;0.00560;0.00526;0.00526;0.00560;0.00560;0.00604;0.00604;0.00556;0.00560;0.00526;0.01045;0.00604;0.00556
0-1-0-2-3;0.00946;0.00895;0.00895;0.00946;0.00957;0.01587;0.00876;0.00876;0.00946;0.00876;0.00876;0.00946;0.00946;0.00957;0.00957;0.00895;0.00946;0.00876;0.01656;0.00957;0.00895
0-0-1-2-3;0.00562;0.00571;0.00571;0.00562;0.00597;0.00998;0.00529;0.00529;0.00562;0.00529;0.00529;0.00562;0.00562;0.00597;0.00597;0.00571;0.00562;0.00529;0.01036;0.00597;0.00571
1-2-3-4-0;0.00631;0.00625;0.00625;0.00631;0.00670;0.01187;0.00580;0.00580;0.00631;0.00580;0.00580;0.00631;0.00631;0.00670;0.00670;0.00625;0.00631;0.00580;0.01260;0.00670;0.00625
1-2-3-0-4;0.00553;0.00564;0.00564;0.00553;0.00613;0.00982;0.00519;0.00519;0.00553;0.00519;0.00519;0.00553;0.00553;0.00613;0.00613;0.00564;0.00553;0.00519;0.01038;0.00613;0.00564
1-2-0-3-4;0.00898;0.00857;0.00857;0.00898;0.00968;0.01464;0.00827;0.00827;0.00898;0.00827;0.00827;0.00898;0.00898;0.00968;0.00968;0.00857;0.00898;0.00827;0.01586;0.00968;0.00857
1-0-2-3-4;0.00512;0.00524;0.00524;0.00512;0.00583;0.00968;0.00469;0.00469;0.00512;0.00469;0.00469;0.00512;0.00512;0.00583;0.00583;0.00524;0.00512;0.00469;0.01025;0.00583;0.00524
0-1-2-3-4;0.00518;0.00497;0.00497;0.00518;0.00555;0.00899;0.00465;0.00465;0.00518;0.00465;0.00465;0.00518;0.00518;0.00555;0.00555;0.00497;0.00518;0.00465;0.00955;0.00555;0.00497
1-2-3-4-5;0.01464;0.01661;0.01623;0.01464;0.01811;0.02528;0.01382;0.01465;0.01464;0.01382;0.01382;0.01464;0.01536;0.01765;0.01765;0.01623;0.01536;0.01465;0.02680;0.01811;0.01661
