;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;130;130;130;130;130;133;130;130;130;130;130;130;130;130;130;130;130;130;133;130;130
0-1-0-0-0;121;121;121;121;121;129;121;121;121;121;121;121;121;121;121;121;121;121;129;121;121
0-0-1-0-0;66;66;66;66;66;70;66;66;66;66;66;66;66;66;66;66;66;66;70;66;66
0-0-0-1-0;120;120;120;120;120;122;120;120;120;120;120;120;120;120;120;120;120;120;122;120;120
0-0-0-0-1;83;83;83;83;83;89;83;83;83;83;83;83;83;83;83;83;83;83;89;83;83
1-2-0-0-0;105;105;105;105;105;108;105;105;105;105;105;105;105;105;105;105;105;105;108;105;105
1-0-2-0-0;59;58;58;59;59;60;58;58;59;58;58;59;59;59;59;58;59;58;60;59;58
1-0-0-2-0;95;92;92;95;95;96;92;92;95;92;92;95;95;95;95;92;95;92;99;95;92
1-0-0-0-2;70;69;69;70;70;72;69;69;70;69;69;70;70;70;70;69;70;69;73;70;69
0-1-2-0-0;60;59;59;60;60;60;59;59;60;59;59;60;60;60;60;59;60;59;61;60;59
0-1-0-2-0;92;92;92;92;92;97;92;92;92;92;92;92;92;92;92;92;92;92;97;92;92
0-1-0-0-2;70;68;68;70;70;74;68;68;70;68;68;70;70;70;70;68;70;68;76;70;68
0-0-1-2-0;60;59;59;60;60;63;59;59;60;59;59;60;60;60;60;59;60;59;64;60;59
0-0-1-0-2;58;58;58;58;58;61;58;58;58;58;58;58;58;58;58;58;58;58;61;58;58
0-0-0-1-2;66;65;65;66;66;71;65;65;66;65;65;66;66;66;66;65;66;65;71;66;65
1-2-3-0-0;55;56;56;55;58;59;53;53;55;53;53;55;55;58;58;56;55;53;60;58;56
1-2-0-3-0;85;82;82;85;86;87;82;82;85;82;82;85;85;86;86;82;85;82;91;86;82
1-2-0-0-3;68;66;66;68;68;70;66;66;68;66;66;68;68;68;68;66;68;66;71;68;66
1-0-2-3-0;52;55;55;52;58;58;51;51;52;51;51;52;52;58;58;55;52;51;60;58;55
1-0-2-0-3;54;53;53;54;56;57;51;51;54;51;51;54;54;56;56;53;54;51;59;56;53
1-0-0-2-3;58;56;56;58;61;63;54;54;58;54;54;58;58;61;61;56;58;54;68;61;56
0-1-2-3-0;56;53;53;56;56;58;53;53;56;53;53;56;56;56;56;53;56;53;60;56;53
0-1-2-0-3;53;52;52;53;55;57;51;51;53;51;51;53;53;55;55;52;53;51;58;55;52
0-1-0-2-3;62;57;57;62;60;64;58;58;62;58;58;62;62;60;60;57;62;58;66;60;57
0-0-1-2-3;53;53;53;53;54;56;51;51;53;51;51;53;53;54;54;53;53;51;57;54;53
1-2-3-4-0;55;53;53;55;56;59;51;51;55;51;51;55;55;56;56;53;55;51;62;56;53
1-2-3-0-4;53;53;53;53;56;56;51;51;53;51;51;53;53;56;56;53;53;51;58;56;53
1-2-0-3-4;60;55;55;60;61;60;56;56;60;56;56;60;60;61;61;55;60;56;64;61;55
1-0-2-3-4;49;49;49;49;53;55;46;46;49;46;46;49;49;53;53;49;49;46;57;53;49
0-1-2-3-4;50;47;47;50;51;52;46;46;50;46;46;50;50;51;51;47;50;46;54;51;47
1-2-3-4-5;65;64;64;65;69;70;61;63;65;61;61;65;66;69;69;64;66;63;74;69;64
