;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.44340;0.44340;0.44340;0.44340;0.44340;0.76768;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.44340;0.76768;0.44340;0.44340
0-1-0-0-0;0.29519;0.29519;0.29519;0.29519;0.29519;0.60181;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.29519;0.60181;0.29519;0.29519
0-0-1-0-0;0.07923;0.07923;0.07923;0.07923;0.07923;0.35987;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.07923;0.35987;0.07923;0.07923
0-0-0-1-0;0.29808;0.29808;0.29808;0.29808;0.29808;0.58772;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.29808;0.58772;0.29808;0.29808
0-0-0-0-1;0.15352;0.15352;0.15352;0.15352;0.15352;0.39677;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.15352;0.39677;0.15352;0.15352
1-2-0-0-0;0.30175;0.29950;0.29950;0.30175;0.30175;0.60185;0.29950;0.29950;0.30175;0.29950;0.29950;0.30175;0.30175;0.30175;0.30175;0.29950;0.30175;0.29950;0.60185;0.30175;0.29950
1-0-2-0-0;0.07623;0.07581;0.07581;0.07623;0.07623;0.34603;0.07581;0.07581;0.07623;0.07581;0.07581;0.07623;0.07623;0.07623;0.07623;0.07581;0.07623;0.07581;0.34713;0.07623;0.07581
1-0-0-2-0;0.26950;0.26340;0.26340;0.26950;0.26950;0.54867;0.26340;0.26340;0.26950;0.26340;0.26340;0.26950;0.26950;0.26950;0.26950;0.26340;0.26950;0.26340;0.54867;0.26950;0.26340
1-0-0-0-2;0.14184;0.14205;0.14205;0.14184;0.14184;0.38762;0.14205;0.14205;0.14184;0.14205;0.14205;0.14184;0.14184;0.14184;0.14184;0.14205;0.14184;0.14205;0.38762;0.14184;0.14205
0-1-2-0-0;0.07793;0.07766;0.07766;0.07793;0.07793;0.33956;0.07766;0.07766;0.07793;0.07766;0.07766;0.07793;0.07793;0.07793;0.07793;0.07766;0.07793;0.07766;0.33956;0.07793;0.07766
