;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;96279649;96279649;96279649;96279649;96279649;12094631;96279649;96279649;96279649;96279649;96279649;96279649;96279649;96279649;96279649;96279649;96279649;96279649;12094631;96279649;96279649
0-1-0-0-0;95694348;95694348;95694348;95694348;95694348;10517688;95694348;95694348;95694348;95694348;95694348;95694348;95694348;95694348;95694348;95694348;95694348;95694348;10517688;95694348;95694348
0-0-1-0-0;99273418;99273418;99273418;99273418;99273418;10038599;99273418;99273418;99273418;99273418;99273418;99273418;99273418;99273418;99273418;99273418;99273418;99273418;10038599;99273418;99273418
0-0-0-1-0;95553970;95553970;95553970;95553970;95553970;10604748;95553970;95553970;95553970;95553970;95553970;95553970;95553970;95553970;95553970;95553970;95553970;95553970;10604748;95553970;95553970
0-0-0-0-1;99377618;99377618;99377618;99377618;99377618;11374902;99377618;99377618;99377618;99377618;99377618;99377618;99377618;99377618;99377618;99377618;99377618;99377618;11374902;99377618;99377618
1-2-0-0-0;94906312;94914448;94914448;94906312;94906312;11030777;94914448;94914448;94906312;94914448;94914448;94906312;94906312;94906312;94906312;94914448;94906312;94914448;11064138;94906312;94914448
1-0-2-0-0;96705863;96722559;96722559;96705863;96705863;10687784;96722559;96722559;96705863;96722559;96722559;96705863;96705863;96705863;96705863;96722559;96705863;96722559;10726050;96705863;96722559
1-0-0-2-0;95020633;94944034;94944034;95020633;95020633;10825149;94944034;94944034;95020633;94944034;94944034;95020633;95020633;95020633;95020633;94944034;95020633;94944034;10865438;95020633;94944034
1-0-0-0-2;96766343;96790729;96790729;96766343;96766343;11644579;96790729;96790729;96766343;96790729;96790729;96766343;96766343;96766343;96766343;96790729;96766343;96790729;11634735;96766343;96790729
0-1-2-0-0;97065287;97212737;97212737;97065287;97065287;10156764;97212737;97212737;97065287;97212737;97212737;97065287;97065287;97065287;97065287;97212737;97065287;97212737;10137446;97065287;97212737
0-1-0-2-0;95014966;95014545;95014545;95014966;95014966;10555589;95014545;95014545;95014966;95014545;95014545;95014966;95014966;95014966;95014966;95014545;95014966;95014545;10600372;95014966;95014545
