;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.44723;0.44723;0.44723;0.44723;0.44723;0.05382;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.44723;0.05382;0.44723;0.44723
0-1-0-0-0;0.44720;0.44720;0.44720;0.44720;0.44720;0.04739;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.44720;0.04739;0.44720;0.44720
0-0-1-0-0;0.45183;0.45183;0.45183;0.45183;0.45183;0.04427;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.45183;0.04427;0.45183;0.45183
0-0-0-1-0;0.44668;0.44668;0.44668;0.44668;0.44668;0.04774;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.44668;0.04774;0.44668;0.44668
0-0-0-0-1;0.45289;0.45289;0.45289;0.45289;0.45289;0.04955;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.45289;0.04955;0.45289;0.45289
1-2-0-0-0;0.44048;0.44041;0.44041;0.44048;0.44048;0.04895;0.44041;0.44041;0.44048;0.44041;0.44041;0.44048;0.44048;0.44048;0.44048;0.44041;0.44048;0.44041;0.04911;0.44048;0.44041
1-0-2-0-0;0.44112;0.44114;0.44114;0.44112;0.44112;0.04691;0.44114;0.44114;0.44112;0.44114;0.44114;0.44112;0.44112;0.44112;0.44112;0.44114;0.44112;0.44114;0.04708;0.44112;0.44114
1-0-0-2-0;0.43950;0.43921;0.43921;0.43950;0.43950;0.04810;0.43921;0.43921;0.43950;0.43921;0.43921;0.43950;0.43950;0.43950;0.43950;0.43921;0.43950;0.43921;0.04836;0.43950;0.43921
1-0-0-0-2;0.44212;0.44216;0.44216;0.44212;0.44212;0.05069;0.44216;0.44216;0.44212;0.44216;0.44216;0.44212;0.44212;0.44212;0.44212;0.44216;0.44212;0.44216;0.05064;0.44212;0.44216
0-1-2-0-0;0.44181;0.44209;0.44209;0.44181;0.44181;0.04456;0.44209;0.44209;0.44181;0.44209;0.44209;0.44181;0.44181;0.44181;0.44181;0.44209;0.44181;0.44209;0.04450;0.44181;0.44209
0-1-0-2-0;0.44043;0.44040;0.44040;0.44043;0.44043;0.04715;0.44040;0.44040;0.44043;0.44040;0.44040;0.44043;0.44043;0.44043;0.44043;0.44040;0.44043;0.44040;0.04733;0.44043;0.44040
0-1-0-0-2;0.44270;0.44270;0.44270;0.44270;0.44270;0.04883;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.44270;0.04890;0.44270;0.44270
0-0-1-2-0;0.44184;0.44187;0.44187;0.44184;0.44184;0.04392;0.44187;0.44187;0.44184;0.44187;0.44187;0.44184;0.44184;0.44184;0.44184;0.44187;0.44184;0.44187;0.04453;0.44184;0.44187
0-0-1-0-2;0.44558;0.44558;0.44558;0.44558;0.44558;0.04590;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.44558;0.04631;0.44558;0.44558
0-0-0-1-2;0.44242;0.44238;0.44238;0.44242;0.44242;0.04757;0.44238;0.44238;0.44242;0.44238;0.44238;0.44242;0.44242;0.44242;0.44242;0.44238;0.44242;0.44238;0.04766;0.44242;0.44238
1-2-3-0-0;0.44885;0.43717;0.43717;0.44885;0.43700;0.04652;0.44863;0.44863;0.44885;0.44863;0.44863;0.44885;0.44885;0.43700;0.43700;0.43717;0.44885;0.44863;0.04683;0.43700;0.43717
1-2-0-3-0;0.44752;0.43523;0.43523;0.44752;0.43554;0.04768;0.44739;0.44739;0.44752;0.44739;0.44739;0.44752;0.44752;0.43554;0.43554;0.43523;0.44752;0.44739;0.04809;0.43554;0.43523
1-2-0-0-3;0.44864;0.43754;0.43754;0.44864;0.43758;0.04932;0.44875;0.44875;0.44864;0.44875;0.44875;0.44864;0.44864;0.43758;0.43758;0.43754;0.44864;0.44875;0.04931;0.43758;0.43754
1-0-2-3-0;0.44864;0.43599;0.43599;0.44864;0.43626;0.04569;0.44854;0.44854;0.44864;0.44854;0.44854;0.44864;0.44864;0.43626;0.43626;0.43599;0.44864;0.44854;0.04665;0.43626;0.43599
1-0-2-0-3;0.45064;0.43761;0.43761;0.45064;0.43741;0.04787;0.45055;0.45055;0.45064;0.45055;0.45055;0.45064;0.45064;0.43741;0.43741;0.43761;0.45064;0.45055;0.04801;0.43741;0.43761
1-0-0-2-3;0.44896;0.43582;0.43582;0.44896;0.43580;0.04926;0.44894;0.44894;0.44896;0.44894;0.44894;0.44896;0.44896;0.43580;0.43580;0.43582;0.44896;0.44894;0.04936;0.43580;0.43582
0-1-2-3-0;0.44902;0.43704;0.43704;0.44902;0.43639;0.04436;0.44922;0.44922;0.44902;0.44922;0.44922;0.44902;0.44902;0.43639;0.43639;0.43704;0.44902;0.44922;0.04429;0.43639;0.43704
0-1-2-0-3;0.45127;0.43892;0.43892;0.45127;0.43855;0.04677;0.45140;0.45140;0.45127;0.45140;0.45140;0.45127;0.45127;0.43855;0.43855;0.43892;0.45127;0.45140;0.04672;0.43855;0.43892
0-1-0-2-3;0.44928;0.43688;0.43688;0.44928;0.43692;0.04748;0.44922;0.44922;0.44928;0.44922;0.44922;0.44928;0.44928;0.43692;0.43692;0.43688;0.44928;0.44922;0.04772;0.43692;0.43688
0-0-1-2-3;0.45116;0.43868;0.43868;0.45116;0.43876;0.04572;0.45099;0.45099;0.45116;0.45099;0.45099;0.45116;0.45116;0.43876;0.43876;0.43868;0.45116;0.45099;0.04638;0.43876;0.43868
1-2-3-4-0;0.44546;0.43295;0.43295;0.44546;0.43322;0.04575;0.44521;0.44521;0.44546;0.44521;0.44521;0.44546;0.44546;0.43322;0.43322;0.43295;0.44546;0.44521;0.04659;0.43322;0.43295
1-2-3-0-4;0.44556;0.43438;0.43438;0.44556;0.43427;0.04752;0.44555;0.44555;0.44556;0.44555;0.44555;0.44556;0.44556;0.43427;0.43427;0.43438;0.44556;0.44555;0.04765;0.43427;0.43438
