;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.26558;0.26558;0.26558;0.26558;0.26558;0.06822;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.26558;0.06822;0.26558;0.26558
0-1-0-0-0;0.26477;0.26477;0.26477;0.26477;0.26477;0.08723;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.26477;0.08723;0.26477;0.26477
0-0-1-0-0;0.26124;0.26124;0.26124;0.26124;0.26124;0.08016;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.26124;0.08016;0.26124;0.26124
0-0-0-1-0;0.25892;0.25892;0.25892;0.25892;0.25892;0.09494;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.25892;0.09494;0.25892;0.25892
0-0-0-0-1;0.25235;0.25235;0.25235;0.25235;0.25235;0.08545;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.25235;0.08545;0.25235;0.25235
1-2-0-0-0;0.24854;0.24890;0.24890;0.24854;0.24854;0.07657;0.24890;0.24890;0.24854;0.24890;0.24890;0.24854;0.24854;0.24854;0.24854;0.24890;0.24854;0.24890;0.07601;0.24854;0.24890
1-0-2-0-0;0.24923;0.24923;0.24923;0.24923;0.24923;0.06798;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.24923;0.06798;0.24923;0.24923
1-0-0-2-0;0.25045;0.25016;0.25016;0.25045;0.25045;0.07914;0.25016;0.25016;0.25045;0.25016;0.25016;0.25045;0.25045;0.25045;0.25045;0.25016;0.25045;0.25016;0.08037;0.25045;0.25016
1-0-0-0-2;0.23742;0.23738;0.23738;0.23742;0.23742;0.07653;0.23738;0.23738;0.23742;0.23738;0.23738;0.23742;0.23742;0.23742;0.23742;0.23738;0.23742;0.23738;0.07653;0.23742;0.23738
0-1-2-0-0;0.25320;0.25299;0.25299;0.25320;0.25320;0.08273;0.25299;0.25299;0.25320;0.25299;0.25299;0.25320;0.25320;0.25320;0.25320;0.25299;0.25320;0.25299;0.08273;0.25320;0.25299
0-1-0-2-0;0.25223;0.25246;0.25246;0.25223;0.25223;0.08711;0.25246;0.25246;0.25223;0.25246;0.25246;0.25223;0.25223;0.25223;0.25223;0.25246;0.25223;0.25246;0.08668;0.25223;0.25246
