;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;3422;3422;3422;3422;3422;492;3422;3422;3422;3422;3422;3422;3422;3422;3422;3422;3422;3422;492;3422;3422
0-1-0-0-0;3675;3675;3675;3675;3675;839;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;3675;839;3675;3675
0-0-1-0-0;4327;4327;4327;4327;4327;854;4327;4327;4327;4327;4327;4327;4327;4327;4327;4327;4327;4327;854;4327;4327
0-0-0-1-0;3526;3526;3526;3526;3526;820;3526;3526;3526;3526;3526;3526;3526;3526;3526;3526;3526;3526;820;3526;3526
0-0-0-0-1;3948;3948;3948;3948;3948;826;3948;3948;3948;3948;3948;3948;3948;3948;3948;3948;3948;3948;826;3948;3948
1-2-0-0-0;3447;3452;3452;3447;3447;681;3452;3452;3447;3452;3452;3447;3447;3447;3447;3452;3447;3452;676;3447;3452
1-0-2-0-0;3976;3976;3976;3976;3976;724;3976;3976;3976;3976;3976;3976;3976;3976;3976;3976;3976;3976;724;3976;3976
1-0-0-2-0;3340;3415;3415;3340;3340;744;3415;3415;3340;3415;3415;3340;3340;3340;3340;3415;3340;3415;742;3340;3415
1-0-0-0-2;3722;3733;3733;3722;3722;768;3733;3733;3722;3733;3733;3722;3722;3722;3722;3733;3722;3733;768;3722;3733
0-1-2-0-0;4131;4140;4140;4131;4131;929;4140;4140;4131;4140;4140;4131;4131;4131;4131;4140;4131;4140;929;4131;4140
0-1-0-2-0;3619;3640;3640;3619;3619;859;3640;3640;3619;3640;3640;3619;3619;3619;3619;3640;3619;3640;843;3619;3640
0-1-0-0-2;3938;3961;3961;3938;3938;888;3961;3961;3938;3961;3961;3938;3938;3938;3938;3961;3938;3961;888;3938;3961
0-0-1-2-0;3948;3990;3990;3948;3948;960;3990;3990;3948;3990;3990;3948;3948;3948;3948;3990;3948;3990;972;3948;3990
0-0-1-0-2;3939;3949;3949;3939;3939;803;3949;3949;3939;3949;3949;3939;3939;3939;3939;3949;3939;3949;805;3939;3949
0-0-0-1-2;3745;3781;3781;3745;3745;880;3781;3781;3745;3781;3781;3745;3745;3745;3745;3781;3745;3781;870;3745;3781
1-2-3-0-0;4319;3919;3919;4319;3915;756;4322;4322;4319;4322;4322;4319;4319;3915;3915;3919;4319;4322;750;3915;3919
1-2-0-3-0;4061;3440;3440;4061;3386;793;4092;4092;4061;4092;4092;4061;4061;3386;3386;3440;4061;4092;787;3386;3440
1-2-0-0-3;4163;3671;3671;4163;3654;796;4180;4180;4163;4180;4180;4163;4163;3654;3654;3671;4163;4180;796;3654;3671
1-0-2-3-0;4289;3723;3723;4289;3681;814;4307;4307;4289;4307;4307;4289;4289;3681;3681;3723;4289;4307;804;3681;3723
1-0-2-0-3;4286;3775;3775;4286;3738;752;4311;4311;4286;4311;4311;4286;4286;3738;3738;3775;4286;4311;750;3738;3775
1-0-0-2-3;4192;3585;3585;4192;3493;819;4243;4243;4192;4243;4243;4192;4192;3493;3493;3585;4192;4243;786;3493;3585
0-1-2-3-0;4424;3897;3897;4424;3848;954;4454;4454;4424;4454;4454;4424;4424;3848;3848;3897;4424;4454;981;3848;3897
0-1-2-0-3;4433;3893;3893;4433;3877;899;4437;4437;4433;4437;4437;4433;4433;3877;3877;3893;4433;4437;902;3877;3893
0-1-0-2-3;4297;3744;3744;4297;3679;895;4330;4330;4297;4330;4330;4297;4297;3679;3679;3744;4297;4330;886;3679;3744
0-0-1-2-3;4326;3654;3654;4326;3632;833;4350;4350;4326;4350;4350;4326;4326;3632;3632;3654;4326;4350;860;3632;3654
1-2-3-4-0;4196;3652;3652;4196;3606;831;4226;4226;4196;4226;4226;4196;4196;3606;3606;3652;4196;4226;861;3606;3652
1-2-3-0-4;4229;3693;3693;4229;3658;800;4240;4240;4229;4240;4240;4229;4229;3658;3658;3693;4229;4240;802;3658;3693
1-2-0-3-4;4161;3529;3529;4161;3429;825;4215;4215;4161;4215;4215;4161;4161;3429;3429;3529;4161;4215;785;3429;3529
1-0-2-3-4;4084;3528;3528;4084;3405;840;4158;4158;4084;4158;4158;4084;4084;3405;3405;3528;4084;4158;814;3405;3528
0-1-2-3-4;4317;3655;3655;4317;3647;850;4332;4332;4317;4332;4332;4317;4317;3647;3647;3655;4317;4332;880;3647;3655
1-2-3-4-5;4265;3338;3623;4265;3305;823;4251;3917;4265;4251;4251;4265;3917;3627;3627;3623;3917;3917;830;3305;3338
