;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;45;45;45;45;45;5;45;45;45;45;45;45;45;45;45;45;45;45;5;45;45
0-1-0-0-0;121;121;121;121;121;5;121;121;121;121;121;121;121;121;121;121;121;121;5;121;121
0-0-1-0-0;167;167;167;167;167;9;167;167;167;167;167;167;167;167;167;167;167;167;9;167;167
0-0-0-1-0;96;96;96;96;96;5;96;96;96;96;96;96;96;96;96;96;96;96;5;96;96
0-0-0-0-1;81;81;81;81;81;5;81;81;81;81;81;81;81;81;81;81;81;81;5;81;81
1-2-0-0-0;97;97;97;97;97;5;97;97;97;97;97;97;97;97;97;97;97;97;5;97;97
1-0-2-0-0;140;140;140;140;140;9;140;140;140;140;140;140;140;140;140;140;140;140;9;140;140
1-0-0-2-0;86;86;86;86;86;7;86;86;86;86;86;86;86;86;86;86;86;86;7;86;86
1-0-0-0-2;73;73;73;73;73;5;73;73;73;73;73;73;73;73;73;73;73;73;5;73;73
0-1-2-0-0;154;154;154;154;154;9;154;154;154;154;154;154;154;154;154;154;154;154;9;154;154
0-1-0-2-0;108;108;108;108;108;5;108;108;108;108;108;108;108;108;108;108;108;108;5;108;108
0-1-0-0-2;79;79;79;79;79;7;79;79;79;79;79;79;79;79;79;79;79;79;7;79;79
0-0-1-2-0;135;135;135;135;135;9;135;135;135;135;135;135;135;135;135;135;135;135;9;135;135
0-0-1-0-2;95;101;101;95;95;7;101;101;95;101;101;95;95;95;95;101;95;101;7;95;101
0-0-0-1-2;84;84;84;84;84;7;84;84;84;84;84;84;84;84;84;84;84;84;7;84;84
1-2-3-0-0;157;134;134;157;134;9;157;157;157;157;157;157;157;134;134;134;157;157;9;134;134
1-2-0-3-0;122;111;111;122;111;5;122;122;122;122;122;122;122;111;111;111;122;122;5;111;111
1-2-0-0-3;87;78;78;87;78;7;87;87;87;87;87;87;87;78;78;78;87;87;7;78;78
1-0-2-3-0;128;122;122;128;122;9;128;128;128;128;128;128;128;122;122;122;128;128;9;122;122
1-0-2-0-3;101;94;94;101;88;7;107;107;101;107;107;101;101;88;88;94;101;107;7;88;94
1-0-0-2-3;84;73;73;84;73;7;84;84;84;84;84;84;84;73;73;73;84;84;7;73;73
0-1-2-3-0;179;122;122;179;122;7;167;167;179;167;167;179;179;122;122;122;179;167;7;122;122
0-1-2-0-3;143;102;102;143;96;9;149;149;143;149;149;143;143;96;96;102;143;149;9;96;102
0-1-0-2-3;107;75;75;107;75;5;107;107;107;107;107;107;107;75;75;75;107;107;5;75;75
0-0-1-2-3;126;98;98;126;92;7;120;120;126;120;120;126;126;92;92;98;126;120;7;92;98
1-2-3-4-0;155;119;119;155;119;9;155;155;155;155;155;155;155;119;119;119;155;155;9;119;119
1-2-3-0-4;126;101;101;126;95;9;132;132;126;132;132;126;126;95;95;101;126;132;9;95;101
1-2-0-3-4;110;75;75;110;75;7;110;110;110;110;110;110;110;75;75;75;110;110;7;75;75
1-0-2-3-4;123;98;98;123;92;7;129;129;123;129;129;123;123;92;92;98;123;129;7;92;98
0-1-2-3-4;134;98;98;134;92;9;140;140;134;140;140;134;134;92;92;98;134;140;9;92;98
1-2-3-4-5;107;62;69;107;62;9;107;104;107;107;107;107;104;69;69;69;104;104;9;62;62
