;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;96274806;96274806;96274806;96274806;96274806;12093289;96274806;96274806;96274806;96274806;96274806;96274806;96274806;96274806;96274806;96274806;96274806;96274806;12093289;96274806;96274806
0-1-0-0-0;95689120;95689120;95689120;95689120;95689120;10515984;95689120;95689120;95689120;95689120;95689120;95689120;95689120;95689120;95689120;95689120;95689120;95689120;10515984;95689120;95689120
0-0-1-0-0;99267176;99267176;99267176;99267176;99267176;10036658;99267176;99267176;99267176;99267176;99267176;99267176;99267176;99267176;99267176;99267176;99267176;99267176;10036658;99267176;99267176
0-0-0-1-0;95548896;95548896;95548896;95548896;95548896;10602908;95548896;95548896;95548896;95548896;95548896;95548896;95548896;95548896;95548896;95548896;95548896;95548896;10602908;95548896;95548896
0-0-0-0-1;99371970;99371970;99371970;99371970;99371970;11373208;99371970;99371970;99371970;99371970;99371970;99371970;99371970;99371970;99371970;99371970;99371970;99371970;11373208;99371970;99371970
1-2-0-0-0;94901158;94909289;94909289;94901158;94901158;11029178;94909289;94909289;94901158;94909289;94909289;94901158;94901158;94901158;94901158;94909289;94901158;94909289;11062544;94901158;94909289
1-0-2-0-0;96699889;96716585;96716585;96699889;96699889;10685955;96716585;96716585;96699889;96716585;96716585;96699889;96699889;96699889;96699889;96716585;96699889;96716585;10724221;96699889;96716585
1-0-0-2-0;95015513;94938826;94938826;95015513;95015513;10823460;94938826;94938826;95015513;94938826;94938826;95015513;95015513;95015513;95015513;94938826;95015513;94938826;10863757;95015513;94938826
1-0-0-0-2;96760832;96785179;96785179;96760832;96760832;11642835;96785179;96785179;96760832;96785179;96785179;96760832;96760832;96760832;96760832;96785179;96760832;96785179;11632978;96760832;96785179
0-1-2-0-0;97059237;97206677;97206677;97059237;97059237;10154748;97206677;97206677;97059237;97206677;97206677;97059237;97059237;97059237;97059237;97206677;97059237;97206677;10135430;97059237;97206677
