;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.25602;0.25602;0.25602;0.25602;0.25602;0.07274;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.25602;0.07274;0.25602;0.25602
0-1-0-0-0;0.26054;0.26054;0.26054;0.26054;0.26054;0.08721;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.26054;0.08721;0.26054;0.26054
0-0-1-0-0;0.25378;0.25378;0.25378;0.25378;0.25378;0.08285;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.25378;0.08285;0.25378;0.25378
0-0-0-1-0;0.25302;0.25302;0.25302;0.25302;0.25302;0.09276;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.25302;0.09276;0.25302;0.25302
0-0-0-0-1;0.24555;0.24555;0.24555;0.24555;0.24555;0.07536;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.24555;0.07536;0.24555;0.24555
1-2-0-0-0;0.24444;0.24444;0.24444;0.24444;0.24444;0.07746;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.24444;0.07746;0.24444;0.24444
1-0-2-0-0;0.23830;0.23753;0.23753;0.23830;0.23830;0.07587;0.23753;0.23753;0.23830;0.23753;0.23753;0.23830;0.23830;0.23830;0.23830;0.23753;0.23830;0.23753;0.07587;0.23830;0.23753
1-0-0-2-0;0.23292;0.23523;0.23523;0.23292;0.23292;0.07793;0.23523;0.23523;0.23292;0.23523;0.23523;0.23292;0.23292;0.23292;0.23292;0.23523;0.23292;0.23523;0.07822;0.23292;0.23523
1-0-0-0-2;0.23055;0.23179;0.23179;0.23055;0.23055;0.07405;0.23179;0.23179;0.23055;0.23179;0.23179;0.23055;0.23055;0.23055;0.23055;0.23179;0.23055;0.23179;0.07480;0.23055;0.23179
0-1-2-0-0;0.24201;0.24172;0.24172;0.24201;0.24201;0.08268;0.24172;0.24172;0.24201;0.24172;0.24172;0.24201;0.24201;0.24201;0.24201;0.24172;0.24201;0.24172;0.08286;0.24201;0.24172
