;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;4625;4625;4625;4625;4625;1303;4625;4625;4625;4625;4625;4625;4625;4625;4625;4625;4625;4625;1303;4625;4625
0-1-0-0-0;4907;4907;4907;4907;4907;1603;4907;4907;4907;4907;4907;4907;4907;4907;4907;4907;4907;4907;1603;4907;4907
0-0-1-0-0;5771;5771;5771;5771;5771;1866;5771;5771;5771;5771;5771;5771;5771;5771;5771;5771;5771;5771;1866;5771;5771
0-0-0-1-0;4758;4758;4758;4758;4758;1743;4758;4758;4758;4758;4758;4758;4758;4758;4758;4758;4758;4758;1743;4758;4758
0-0-0-0-1;5286;5286;5286;5286;5286;1596;5286;5286;5286;5286;5286;5286;5286;5286;5286;5286;5286;5286;1596;5286;5286
1-2-0-0-0;4845;4845;4845;4845;4845;1522;4845;4845;4845;4845;4845;4845;4845;4845;4845;4845;4845;4845;1522;4845;4845
1-0-2-0-0;5511;5511;5511;5511;5511;1754;5511;5511;5511;5511;5511;5511;5511;5511;5511;5511;5511;5511;1754;5511;5511
1-0-0-2-0;4783;4864;4864;4783;4783;1601;4864;4864;4783;4864;4864;4783;4783;4783;4783;4864;4783;4864;1593;4783;4864
1-0-0-0-2;5148;5187;5187;5148;5148;1645;5187;5187;5148;5187;5187;5148;5148;5148;5148;5187;5148;5187;1658;5148;5187
0-1-2-0-0;5599;5604;5604;5599;5599;1913;5604;5604;5599;5604;5604;5599;5599;5599;5599;5604;5599;5604;1913;5599;5604
0-1-0-2-0;5030;5035;5035;5030;5030;1709;5035;5035;5030;5035;5035;5030;5030;5030;5030;5035;5030;5035;1712;5030;5035
0-1-0-0-2;5252;5287;5287;5252;5252;1801;5287;5287;5252;5287;5287;5252;5252;5252;5252;5287;5252;5287;1799;5252;5287
0-0-1-2-0;5475;5488;5488;5475;5475;1904;5488;5488;5475;5488;5488;5475;5475;5475;5475;5488;5475;5488;1910;5475;5488
