;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;218;218;218;218;218;39;218;218;218;218;218;218;218;218;218;218;218;218;39;218;218
0-1-0-0-0;321;321;321;321;321;101;321;321;321;321;321;321;321;321;321;321;321;321;101;321;321
0-0-1-0-0;471;471;471;471;471;75;471;471;471;471;471;471;471;471;471;471;471;471;75;471;471
0-0-0-1-0;316;316;316;316;316;97;316;316;316;316;316;316;316;316;316;316;316;316;97;316;316
0-0-0-0-1;362;362;362;362;362;98;362;362;362;362;362;362;362;362;362;362;362;362;98;362;362
1-2-0-0-0;309;314;314;309;309;77;314;314;309;314;314;309;309;309;309;314;309;314;72;309;314
1-0-2-0-0;463;463;463;463;463;75;463;463;463;463;463;463;463;463;463;463;463;463;75;463;463
1-0-0-2-0;337;344;344;337;337;88;344;344;337;344;344;337;337;337;337;344;337;344;88;337;344
1-0-0-0-2;363;363;363;363;363;99;363;363;363;363;363;363;363;363;363;363;363;363;99;363;363
0-1-2-0-0;451;456;456;451;451;103;456;456;451;456;456;451;451;451;451;456;451;456;103;451;456
0-1-0-2-0;377;384;384;377;377;121;384;384;377;384;384;377;377;377;377;384;377;384;117;377;384
0-1-0-0-2;389;389;389;389;389;109;389;389;389;389;389;389;389;389;389;389;389;389;100;389;389
0-0-1-2-0;449;448;448;449;449;122;448;448;449;448;448;449;449;449;449;448;449;448;115;449;448
0-0-1-0-2;415;421;421;415;415;115;421;421;415;421;421;415;415;415;415;421;415;421;117;415;421
0-0-0-1-2;380;380;380;380;380;117;380;380;380;380;380;380;380;380;380;380;380;380;117;380;380
1-2-3-0-0;485;451;451;485;446;94;490;490;485;490;490;485;485;446;446;451;485;490;88;446;451
1-2-0-3-0;404;370;370;404;359;105;408;408;404;408;408;404;404;359;359;370;404;408;100;359;370
1-2-0-0-3;405;385;385;405;378;114;412;412;405;412;412;405;405;378;378;385;405;412;114;378;385
1-0-2-3-0;488;454;454;488;454;106;488;488;488;488;488;488;488;454;454;454;488;488;99;454;454
1-0-2-0-3;446;420;420;446;409;112;456;456;446;456;456;446;446;409;409;420;446;456;110;409;420
1-0-0-2-3;392;362;362;392;358;126;393;393;392;393;393;392;392;358;358;362;392;393;126;358;362
0-1-2-3-0;472;442;442;472;448;121;466;466;472;466;466;472;472;448;448;442;472;466;129;448;442
0-1-2-0-3;478;416;416;478;409;122;480;480;478;480;480;478;478;409;409;416;478;480;111;409;416
0-1-0-2-3;414;374;374;414;365;124;411;411;414;411;411;414;414;365;365;374;414;411;113;365;374
0-0-1-2-3;458;398;398;458;391;126;461;461;458;461;461;458;458;391;391;398;458;461;124;391;398
1-2-3-4-0;474;447;447;474;442;104;479;479;474;479;479;474;474;442;442;447;474;479;104;442;447
1-2-3-0-4;440;401;401;440;383;113;460;460;440;460;460;440;440;383;383;401;440;460;115;383;401
1-2-0-3-4;395;371;371;395;359;132;406;406;395;406;406;395;395;359;359;371;395;406;132;359;371
1-0-2-3-4;438;400;400;438;376;131;461;461;438;461;461;438;438;376;376;400;438;461;129;376;400
0-1-2-3-4;454;390;390;454;378;132;457;457;454;457;457;454;454;378;378;390;454;457;126;378;390
1-2-3-4-5;404;318;342;404;313;128;412;385;404;412;412;404;378;341;341;342;378;385;128;313;318
