;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;162;162;162;162;162;28;162;162;162;162;162;162;162;162;162;162;162;162;28;162;162
0-1-0-0-0;353;353;353;353;353;48;353;353;353;353;353;353;353;353;353;353;353;353;48;353;353
0-0-1-0-0;538;538;538;538;538;86;538;538;538;538;538;538;538;538;538;538;538;538;86;538;538
0-0-0-1-0;245;245;245;245;245;28;245;245;245;245;245;245;245;245;245;245;245;245;28;245;245
0-0-0-0-1;262;262;262;262;262;38;262;262;262;262;262;262;262;262;262;262;262;262;38;262;262
1-2-0-0-0;304;304;304;304;304;48;304;304;304;304;304;304;304;304;304;304;304;304;48;304;304
1-0-2-0-0;513;513;513;513;513;66;513;513;513;513;513;513;513;513;513;513;513;513;66;513;513
1-0-0-2-0;280;280;280;280;280;46;280;280;280;280;280;280;280;280;280;280;280;280;46;280;280
1-0-0-0-2;284;284;284;284;284;47;284;284;284;284;284;284;284;284;284;284;284;284;47;284;284
0-1-2-0-0;495;495;495;495;495;83;495;495;495;495;495;495;495;495;495;495;495;495;83;495;495
0-1-0-2-0;343;343;343;343;343;61;343;343;343;343;343;343;343;343;343;343;343;343;61;343;343
0-1-0-0-2;304;304;304;304;304;59;304;304;304;304;304;304;304;304;304;304;304;304;59;304;304
0-0-1-2-0;453;453;453;453;453;63;453;453;453;453;453;453;453;453;453;453;453;453;63;453;453
0-0-1-0-2;400;416;416;400;400;79;416;416;400;416;416;400;400;400;400;416;400;416;79;400;416
0-0-0-1-2;304;304;304;304;304;43;304;304;304;304;304;304;304;304;304;304;304;304;43;304;304
1-2-3-0-0;518;475;475;518;475;86;518;518;518;518;518;518;518;475;475;475;518;518;86;475;475
1-2-0-3-0;370;360;360;370;360;61;370;370;370;370;370;370;370;360;360;360;370;370;61;360;360
1-2-0-0-3;326;328;328;326;328;59;326;326;326;326;326;326;326;328;328;328;326;326;59;328;328
1-0-2-3-0;445;450;450;445;450;66;445;445;445;445;445;445;445;450;450;450;445;445;66;450;450
1-0-2-0-3;415;411;411;415;395;59;431;431;415;431;431;415;415;395;395;411;415;431;59;395;411
1-0-0-2-3;297;303;303;297;303;46;297;297;297;297;297;297;297;303;303;303;297;297;46;303;303
0-1-2-3-0;568;423;423;568;423;68;545;545;568;545;545;568;568;423;423;423;568;545;68;423;423
0-1-2-0-3;497;416;416;497;400;63;513;513;497;513;513;497;497;400;400;416;497;513;63;400;416
0-1-0-2-3;350;307;307;350;307;41;350;350;350;350;350;350;350;307;307;307;350;350;41;307;307
0-0-1-2-3;451;407;407;451;391;56;455;455;451;455;455;451;451;391;391;407;451;455;56;391;407
1-2-3-4-0;528;427;427;528;427;86;528;528;528;528;528;528;528;427;427;427;528;528;86;427;427
1-2-3-0-4;477;419;419;477;403;66;493;493;477;493;493;477;477;403;403;419;477;493;66;403;419
1-2-0-3-4;374;331;331;374;331;59;374;374;374;374;374;374;374;331;331;331;374;374;59;331;331
1-0-2-3-4;475;410;410;475;394;59;491;491;475;491;491;475;475;394;394;410;475;491;59;394;410
0-1-2-3-4;464;407;407;464;391;63;480;480;464;480;480;464;464;391;391;407;464;480;63;391;407
1-2-3-4-5;362;281;281;362;281;66;362;365;362;362;362;362;365;281;281;281;365;365;66;281;281
