;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;0.47251;0.47251;0.47251;0.47251;0.47251;0.50907;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.47251;0.50907;0.47251;0.47251
0-1-0-0-0;0.47535;0.47535;0.47535;0.47535;0.47535;0.51175;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.47535;0.51175;0.47535;0.47535
0-0-1-0-0;0.47959;0.47959;0.47959;0.47959;0.47959;0.51190;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.47959;0.51190;0.47959;0.47959
0-0-0-1-0;0.47689;0.47689;0.47689;0.47689;0.47689;0.51207;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.47689;0.51207;0.47689;0.47689
0-0-0-0-1;0.47811;0.47811;0.47811;0.47811;0.47811;0.50971;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.47811;0.50971;0.47811;0.47811
1-2-0-0-0;0.48263;0.48265;0.48265;0.48263;0.48263;0.51015;0.48265;0.48265;0.48263;0.48265;0.48265;0.48263;0.48263;0.48263;0.48263;0.48265;0.48263;0.48265;0.51013;0.48263;0.48265
1-0-2-0-0;0.48594;0.48592;0.48592;0.48594;0.48594;0.51047;0.48592;0.48592;0.48594;0.48592;0.48592;0.48594;0.48594;0.48594;0.48594;0.48592;0.48594;0.48592;0.51044;0.48594;0.48592
1-0-0-2-0;0.48490;0.48532;0.48532;0.48490;0.48490;0.51133;0.48532;0.48532;0.48490;0.48532;0.48532;0.48490;0.48490;0.48490;0.48490;0.48532;0.48490;0.48532;0.51123;0.48490;0.48532
1-0-0-0-2;0.48568;0.48560;0.48560;0.48568;0.48568;0.50860;0.48560;0.48560;0.48568;0.48560;0.48560;0.48568;0.48568;0.48568;0.48568;0.48560;0.48568;0.48560;0.50869;0.48568;0.48560
0-1-2-0-0;0.48630;0.48582;0.48582;0.48630;0.48630;0.51104;0.48582;0.48582;0.48630;0.48582;0.48582;0.48630;0.48630;0.48630;0.48630;0.48582;0.48630;0.48582;0.51146;0.48630;0.48582
0-1-0-2-0;0.48404;0.48413;0.48413;0.48404;0.48404;0.51070;0.48413;0.48413;0.48404;0.48413;0.48413;0.48404;0.48404;0.48404;0.48404;0.48413;0.48404;0.48413;0.51061;0.48404;0.48413
0-1-0-0-2;0.48498;0.48499;0.48499;0.48498;0.48498;0.50943;0.48499;0.48499;0.48498;0.48499;0.48499;0.48498;0.48498;0.48498;0.48498;0.48499;0.48498;0.48499;0.50940;0.48498;0.48499
0-0-1-2-0;0.48692;0.48687;0.48687;0.48692;0.48692;0.51220;0.48687;0.48687;0.48692;0.48687;0.48687;0.48692;0.48692;0.48692;0.48692;0.48687;0.48692;0.48687;0.51199;0.48692;0.48687
0-0-1-0-2;0.48699;0.48711;0.48711;0.48699;0.48699;0.51051;0.48711;0.48711;0.48699;0.48711;0.48711;0.48699;0.48699;0.48699;0.48699;0.48711;0.48699;0.48711;0.51030;0.48699;0.48711
0-0-0-1-2;0.48702;0.48699;0.48699;0.48702;0.48702;0.51042;0.48699;0.48699;0.48702;0.48699;0.48699;0.48702;0.48702;0.48702;0.48702;0.48699;0.48702;0.48699;0.51037;0.48702;0.48699
1-2-3-0-0;0.47630;0.48836;0.48836;0.47630;0.48848;0.51060;0.47637;0.47637;0.47630;0.47637;0.47637;0.47630;0.47630;0.48848;0.48848;0.48836;0.47630;0.47637;0.51053;0.48848;0.48836
1-2-0-3-0;0.47605;0.48831;0.48831;0.47605;0.48822;0.51082;0.47610;0.47610;0.47605;0.47610;0.47610;0.47605;0.47605;0.48822;0.48822;0.48831;0.47605;0.47610;0.51076;0.48822;0.48831
1-2-0-0-3;0.47636;0.48800;0.48800;0.47636;0.48802;0.50898;0.47645;0.47645;0.47636;0.47645;0.47645;0.47636;0.47636;0.48802;0.48802;0.48800;0.47636;0.47645;0.50901;0.48802;0.48800
1-0-2-3-0;0.47728;0.48975;0.48975;0.47728;0.48959;0.51103;0.47756;0.47756;0.47728;0.47756;0.47756;0.47728;0.47728;0.48959;0.48959;0.48975;0.47728;0.47756;0.51090;0.48959;0.48975
1-0-2-0-3;0.47889;0.48971;0.48971;0.47889;0.48961;0.50949;0.47908;0.47908;0.47889;0.47908;0.47908;0.47889;0.47889;0.48961;0.48961;0.48971;0.47889;0.47908;0.50931;0.48961;0.48971
1-0-0-2-3;0.47781;0.48971;0.48971;0.47781;0.48974;0.50915;0.47782;0.47782;0.47781;0.47782;0.47782;0.47781;0.47781;0.48974;0.48974;0.48971;0.47781;0.47782;0.50920;0.48974;0.48971
0-1-2-3-0;0.47864;0.48934;0.48934;0.47864;0.48987;0.51128;0.47830;0.47830;0.47864;0.47830;0.47830;0.47864;0.47864;0.48987;0.48987;0.48934;0.47864;0.47830;0.51169;0.48987;0.48934
0-1-2-0-3;0.47897;0.48896;0.48896;0.47897;0.48939;0.50980;0.47859;0.47859;0.47897;0.47859;0.47859;0.47897;0.47897;0.48939;0.48939;0.48896;0.47897;0.47859;0.51015;0.48939;0.48896
0-1-0-2-3;0.47737;0.48918;0.48918;0.47737;0.48915;0.51023;0.47742;0.47742;0.47737;0.47742;0.47742;0.47737;0.47737;0.48915;0.48915;0.48918;0.47737;0.47742;0.51007;0.48915;0.48918
