;weighted_average_c=0.2_v=-1_d=0.3_a2=0.5;weighted_average_c=0.2_v=-1_d=0.4_a2=0.2;average_c=0.35_v=-1_d=0.4_a=-1;average_c=0.2_v=-1_d=0.3_a=0;weighted_average_c=0.2_v=-1_d=0.3_a2=0.2;bitwise_or_c=0.2_v=-1_d=0.4;average_c=0.35_v=-1_d=0.4_a=0;weighted_average_c=0.2_v=-1_d=0.4_a2=0.35;weighted_average_c=0.35_v=-1_d=0.3_a2=0.5;average_c=0.2_v=-1_d=0.4_a=0;weighted_average_c=0.35_v=-1_d=0.4_a2=0.5;average_c=0.35_v=-1_d=0.3_a=0;weighted_average_c=0.35_v=-1_d=0.3_a2=0.35;average_c=0.35_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.3_a=-1;average_c=0.2_v=-1_d=0.4_a=-1;weighted_average_c=0.2_v=-1_d=0.3_a2=0.35;weighted_average_c=0.35_v=-1_d=0.4_a2=0.35;bitwise_or_c=0.2_v=-1_d=0.3;weighted_average_c=0.35_v=-1_d=0.3_a2=0.2;weighted_average_c=0.35_v=-1_d=0.4_a2=0.2
1-0-0-0-0;791;791;791;791;791;732;791;791;791;791;791;791;791;791;791;791;791;791;732;791;791
0-1-0-0-0;995;995;995;995;995;1047;995;995;995;995;995;995;995;995;995;995;995;995;1047;995;995
0-0-1-0-0;1495;1495;1495;1495;1495;1358;1495;1495;1495;1495;1495;1495;1495;1495;1495;1495;1495;1495;1358;1495;1495
0-0-0-1-0;1049;1049;1049;1049;1049;1015;1049;1049;1049;1049;1049;1049;1049;1049;1049;1049;1049;1049;1015;1049;1049
0-0-0-0-1;1326;1326;1326;1326;1326;1205;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1326;1205;1326;1326
1-2-0-0-0;1150;1143;1143;1150;1150;1128;1143;1143;1150;1143;1143;1150;1150;1150;1150;1143;1150;1143;1129;1150;1143
1-0-2-0-0;1602;1602;1602;1602;1602;1477;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1477;1602;1602
1-0-0-2-0;1246;1262;1262;1246;1246;1249;1262;1262;1246;1262;1262;1246;1246;1246;1246;1262;1246;1262;1249;1246;1262
1-0-0-0-2;1461;1461;1461;1461;1461;1318;1461;1461;1461;1461;1461;1461;1461;1461;1461;1461;1461;1461;1318;1461;1461
0-1-2-0-0;1554;1552;1552;1554;1554;1474;1552;1552;1554;1552;1552;1554;1554;1554;1554;1552;1554;1552;1474;1554;1552
0-1-0-2-0;1342;1349;1349;1342;1342;1366;1349;1349;1342;1349;1349;1342;1342;1342;1342;1349;1342;1349;1328;1342;1349
0-1-0-0-2;1499;1523;1523;1499;1499;1389;1523;1523;1499;1523;1523;1499;1499;1499;1499;1523;1499;1523;1390;1499;1523
0-0-1-2-0;1569;1565;1565;1569;1569;1441;1565;1565;1569;1565;1565;1569;1569;1569;1569;1565;1569;1565;1425;1569;1565
0-0-1-0-2;1600;1626;1626;1600;1600;1490;1626;1626;1600;1626;1626;1600;1600;1600;1600;1626;1600;1626;1472;1600;1626
0-0-0-1-2;1496;1493;1493;1496;1496;1338;1493;1493;1496;1493;1493;1496;1496;1496;1496;1493;1496;1493;1338;1496;1493
1-2-3-0-0;1638;1603;1603;1638;1605;1520;1636;1636;1638;1636;1636;1638;1638;1605;1605;1603;1638;1636;1521;1605;1603
1-2-0-3-0;1411;1435;1435;1411;1426;1398;1404;1404;1411;1404;1404;1411;1411;1426;1426;1435;1411;1404;1399;1426;1435
1-2-0-0-3;1556;1588;1588;1556;1557;1444;1587;1587;1556;1587;1587;1556;1556;1557;1557;1588;1556;1587;1444;1557;1588
1-0-2-3-0;1651;1667;1667;1651;1667;1538;1651;1651;1651;1651;1651;1651;1651;1667;1667;1667;1651;1651;1522;1667;1667
1-0-2-0-3;1677;1680;1680;1677;1660;1512;1706;1706;1677;1706;1706;1677;1677;1660;1660;1680;1677;1706;1498;1660;1680
1-0-0-2-3;1546;1572;1572;1546;1557;1382;1546;1546;1546;1546;1546;1546;1546;1557;1557;1572;1546;1546;1382;1557;1572
0-1-2-3-0;1585;1583;1583;1585;1594;1538;1574;1574;1585;1574;1574;1585;1585;1594;1594;1583;1585;1574;1538;1594;1583
0-1-2-0-3;1628;1658;1658;1628;1617;1501;1652;1652;1628;1652;1652;1628;1628;1617;1617;1658;1628;1652;1488;1617;1658
0-1-0-2-3;1503;1590;1590;1503;1560;1447;1546;1546;1503;1546;1546;1503;1503;1560;1560;1590;1503;1546;1449;1560;1590
0-0-1-2-3;1626;1629;1629;1626;1603;1490;1654;1654;1626;1654;1654;1626;1626;1603;1603;1629;1626;1654;1476;1603;1629
1-2-3-4-0;1625;1654;1654;1625;1656;1587;1623;1623;1625;1623;1623;1625;1625;1656;1656;1654;1625;1623;1587;1656;1654
1-2-3-0-4;1670;1678;1678;1670;1624;1506;1702;1702;1670;1702;1702;1670;1670;1624;1624;1678;1670;1702;1488;1624;1678
1-2-0-3-4;1584;1647;1647;1584;1617;1471;1590;1590;1584;1590;1590;1584;1584;1617;1617;1647;1584;1590;1471;1617;1647
1-0-2-3-4;1664;1681;1681;1664;1628;1541;1702;1702;1664;1702;1702;1664;1664;1628;1628;1681;1664;1702;1527;1628;1681
0-1-2-3-4;1644;1659;1659;1644;1604;1534;1673;1673;1644;1673;1673;1644;1644;1604;1604;1659;1644;1673;1521;1604;1659
1-2-3-4-5;1449;1436;1440;1449;1421;1371;1442;1431;1449;1442;1442;1449;1443;1464;1464;1440;1443;1431;1371;1421;1436
