;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1868;1868;1868;1868;1868;1868;1868;1868
0-1-0-0-0;1935;1935;1935;1935;1935;1935;1935;1935
0-0-1-0-0;1754;1754;1754;1754;1754;1754;1754;1754
0-0-0-1-0;1948;1948;1948;1948;1948;1948;1948;1948
0-0-0-0-1;1844;1844;1844;1844;1844;1844;1844;1844
1-2-0-0-0;1987;1987;1987;1987;1987;1987;1987;1987
1-0-2-0-0;1921;1921;1921;1921;1921;1921;1921;1921
1-0-0-2-0;2028;2028;2028;2028;2028;2028;2028;2028
1-0-0-0-2;1955;1955;1955;1955;1955;1955;1955;1955
0-1-2-0-0;1970;1970;1970;1970;1970;1970;1970;1970
0-1-0-2-0;2059;2059;2059;2059;2059;2059;2059;2059
0-1-0-0-2;1995;1995;1995;1995;1995;1995;1995;1995
0-0-1-2-0;1984;1984;1984;1984;1984;1984;1984;1984
0-0-1-0-2;1899;1899;1899;1899;1899;1899;1899;1899
0-0-0-1-2;2005;2005;2005;2005;2005;2005;2005;2005
1-2-3-0-0;2009;2007;1946;1944;2007;2007;1944;1944
1-2-0-3-0;2082;2081;1966;1965;2081;2081;1965;1965
1-2-0-0-3;2028;2027;1963;1962;2027;2027;1962;1962
1-0-2-3-0;2043;2040;1907;1904;2040;2040;1904;1904
1-0-2-0-3;1975;1973;1901;1898;1973;1973;1898;1898
1-0-0-2-3;2048;2049;1987;1988;2049;2049;1988;1988
0-1-2-3-0;2066;2064;1952;1950;2064;2064;1950;1950
0-1-2-0-3;2013;2011;1947;1945;2011;2011;1945;1945
0-1-0-2-3;2077;2076;2019;2017;2076;2076;2017;2017
0-0-1-2-3;2019;2018;1952;1949;2018;2018;1949;1949
1-2-3-4-0;2089;2088;1994;1993;2088;2088;1993;1993
1-2-3-0-4;2039;2038;1989;1988;2038;2038;1988;1988
1-2-0-3-4;2092;2091;2044;2043;2091;2091;2043;2043
1-0-2-3-4;2057;2057;2008;2008;2057;2057;2008;2008
0-1-2-3-4;2080;2079;2035;2034;2079;2079;2034;2034
1-2-3-4-5;2060;2058;1973;1971;2059;2058;1972;1971
