;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.06133;0.06133;0.06133;0.06133;0.06133;0.06133;0.06133;0.06133
0-1-0-0-0;0.07111;0.07111;0.07111;0.07111;0.07111;0.07111;0.07111;0.07111
0-0-1-0-0;0.05135;0.05135;0.05135;0.05135;0.05135;0.05135;0.05135;0.05135
0-0-0-1-0;0.07578;0.07578;0.07578;0.07578;0.07578;0.07578;0.07578;0.07578
0-0-0-0-1;0.06190;0.06190;0.06190;0.06190;0.06190;0.06190;0.06190;0.06190
1-2-0-0-0;0.08419;0.08419;0.08419;0.08419;0.08419;0.08419;0.08419;0.08419
1-0-2-0-0;0.07359;0.07359;0.07359;0.07359;0.07359;0.07359;0.07359;0.07359
1-0-0-2-0;0.09586;0.09586;0.09586;0.09586;0.09586;0.09586;0.09586;0.09586
1-0-0-0-2;0.08338;0.08338;0.08338;0.08338;0.08338;0.08338;0.08338;0.08338
0-1-2-0-0;0.07987;0.07987;0.07987;0.07987;0.07987;0.07987;0.07987;0.07987
0-1-0-2-0;0.10107;0.10107;0.10107;0.10107;0.10107;0.10107;0.10107;0.10107
0-1-0-0-2;0.08873;0.08873;0.08873;0.08873;0.08873;0.08873;0.08873;0.08873
0-0-1-2-0;0.08820;0.08820;0.08820;0.08820;0.08820;0.08820;0.08820;0.08820
0-0-1-0-2;0.07688;0.07688;0.07688;0.07688;0.07688;0.07688;0.07688;0.07688
0-0-0-1-2;0.09139;0.09139;0.09139;0.09139;0.09139;0.09139;0.09139;0.09139
1-2-3-0-0;0.09059;0.09112;0.07083;0.07139;0.09112;0.09112;0.07139;0.07139
1-2-0-3-0;0.11054;0.11079;0.07304;0.07332;0.11079;0.11079;0.07332;0.07332
1-2-0-0-3;0.09847;0.09873;0.07414;0.07441;0.09873;0.09873;0.07441;0.07441
1-0-2-3-0;0.10210;0.10287;0.06695;0.06778;0.10287;0.10287;0.06778;0.06778
1-0-2-0-3;0.09112;0.09165;0.06667;0.06750;0.09165;0.09165;0.06750;0.06750
1-0-0-2-3;0.10698;0.10672;0.07878;0.07851;0.10672;0.10672;0.07851;0.07851
0-1-2-3-0;0.10596;0.10647;0.07221;0.07277;0.10647;0.10647;0.07277;0.07277
0-1-2-0-3;0.09428;0.09481;0.07166;0.07221;0.09481;0.09481;0.07221;0.07221
0-1-0-2-3;0.11054;0.11079;0.08365;0.08419;0.11079;0.11079;0.08419;0.08419
0-0-1-2-3;0.10055;0.10081;0.07249;0.07332;0.10081;0.10081;0.07332;0.07332
1-2-3-4-0;0.11433;0.11458;0.08095;0.08122;0.11458;0.11458;0.08122;0.08122
1-2-3-0-4;0.10287;0.10313;0.08176;0.08203;0.10313;0.10313;0.08203;0.08203
1-2-0-3-4;0.11907;0.11932;0.09323;0.09350;0.11932;0.11932;0.09350;0.09350
1-0-2-3-4;0.11181;0.11181;0.08580;0.08580;0.11181;0.11181;0.08580;0.08580
0-1-2-3-4;0.11483;0.11508;0.08980;0.09006;0.11508;0.11508;0.09006;0.09006
1-2-3-4-5;0.09664;0.09717;0.07469;0.07524;0.09690;0.09717;0.07496;0.07524
