;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.38535;0.38535;0.38535;0.38535;0.38535;0.38535;0.38535;0.38535
0-1-0-0-0;0.36171;0.36171;0.36171;0.36171;0.36171;0.36171;0.36171;0.36171
0-0-1-0-0;0.42356;0.42356;0.42356;0.42356;0.42356;0.42356;0.42356;0.42356
0-0-0-1-0;0.35612;0.35612;0.35612;0.35612;0.35612;0.35612;0.35612;0.35612
0-0-0-0-1;0.39223;0.39223;0.39223;0.39223;0.39223;0.39223;0.39223;0.39223
1-2-0-0-0;0.34163;0.34163;0.34163;0.34163;0.34163;0.34163;0.34163;0.34163
1-0-2-0-0;0.36486;0.36486;0.36486;0.36486;0.36486;0.36486;0.36486;0.36486
1-0-0-2-0;0.32561;0.32561;0.32561;0.32561;0.32561;0.32561;0.32561;0.32561
1-0-0-0-2;0.35120;0.35120;0.35120;0.35120;0.35120;0.35120;0.35120;0.35120
0-1-2-0-0;0.34817;0.34817;0.34817;0.34817;0.34817;0.34817;0.34817;0.34817
0-1-0-2-0;0.31495;0.31495;0.31495;0.31495;0.31495;0.31495;0.31495;0.31495
0-1-0-0-2;0.33765;0.33765;0.33765;0.33765;0.33765;0.33765;0.33765;0.33765
0-0-1-2-0;0.34102;0.34102;0.34102;0.34102;0.34102;0.34102;0.34102;0.34102
0-0-1-0-2;0.37000;0.37000;0.37000;0.37000;0.37000;0.37000;0.37000;0.37000
0-0-0-1-2;0.33381;0.33381;0.33381;0.33381;0.33381;0.33381;0.33381;0.33381
1-2-3-0-0;0.33295;0.33333;0.35859;0.35897;0.33333;0.33333;0.35897;0.35897
1-2-0-3-0;0.30520;0.30540;0.35189;0.35208;0.30540;0.30540;0.35208;0.35208
1-2-0-0-3;0.32469;0.32488;0.35236;0.35255;0.32488;0.32488;0.35255;0.35255
1-0-2-3-0;0.31914;0.31972;0.37157;0.37213;0.31972;0.31972;0.37213;0.37213
1-0-2-0-3;0.34253;0.34291;0.37345;0.37401;0.34291;0.34291;0.37401;0.37401
1-0-0-2-3;0.31601;0.31582;0.34362;0.34343;0.31582;0.31582;0.34343;0.34343
0-1-2-3-0;0.31128;0.31167;0.35630;0.35668;0.31167;0.31167;0.35668;0.35668
0-1-2-0-3;0.33047;0.33085;0.35798;0.35836;0.33085;0.33085;0.35836;0.35836
0-1-0-2-3;0.30661;0.30681;0.33256;0.33295;0.30681;0.30681;0.33295;0.33295
0-0-1-2-3;0.32651;0.32670;0.35620;0.35677;0.32670;0.32670;0.35677;0.35677
1-2-3-4-0;0.30196;0.30216;0.34079;0.34098;0.30216;0.30216;0.34098;0.34098
1-2-3-0-4;0.32000;0.32019;0.34194;0.34214;0.32019;0.32019;0.34214;0.34214
1-2-0-3-4;0.29953;0.29972;0.32196;0.32216;0.29972;0.29972;0.32216;0.32216
1-0-2-3-4;0.31180;0.31180;0.33497;0.33497;0.31180;0.31180;0.33497;0.33497
0-1-2-3-4;0.30431;0.30451;0.32576;0.32595;0.30451;0.30451;0.32595;0.32595
1-2-3-4-5;0.31620;0.31659;0.34922;0.34961;0.31639;0.31659;0.34942;0.34961
