;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1254;1254;1254;1254;1254;1254;1254;1254
0-1-0-0-0;1187;1187;1187;1187;1187;1187;1187;1187
0-0-1-0-0;1368;1368;1368;1368;1368;1368;1368;1368
0-0-0-1-0;1174;1174;1174;1174;1174;1174;1174;1174
0-0-0-0-1;1278;1278;1278;1278;1278;1278;1278;1278
1-2-0-0-0;1135;1135;1135;1135;1135;1135;1135;1135
1-0-2-0-0;1201;1201;1201;1201;1201;1201;1201;1201
1-0-0-2-0;1094;1094;1094;1094;1094;1094;1094;1094
1-0-0-0-2;1167;1167;1167;1167;1167;1167;1167;1167
0-1-2-0-0;1152;1152;1152;1152;1152;1152;1152;1152
0-1-0-2-0;1063;1063;1063;1063;1063;1063;1063;1063
0-1-0-0-2;1127;1127;1127;1127;1127;1127;1127;1127
0-0-1-2-0;1138;1138;1138;1138;1138;1138;1138;1138
0-0-1-0-2;1223;1223;1223;1223;1223;1223;1223;1223
0-0-0-1-2;1117;1117;1117;1117;1117;1117;1117;1117
1-2-3-0-0;1113;1115;1176;1178;1115;1115;1178;1178
1-2-0-3-0;1040;1041;1156;1157;1041;1041;1157;1157
1-2-0-0-3;1094;1095;1159;1160;1095;1095;1160;1160
1-0-2-3-0;1079;1082;1215;1218;1082;1082;1218;1218
1-0-2-0-3;1147;1149;1221;1224;1149;1149;1224;1224
1-0-0-2-3;1074;1073;1135;1134;1073;1073;1134;1134
0-1-2-3-0;1056;1058;1170;1172;1058;1058;1172;1172
0-1-2-0-3;1109;1111;1175;1177;1111;1111;1177;1177
0-1-0-2-3;1045;1046;1103;1105;1046;1046;1105;1105
0-0-1-2-3;1103;1104;1170;1173;1104;1104;1173;1173
1-2-3-4-0;1033;1034;1128;1129;1034;1034;1129;1129
1-2-3-0-4;1083;1084;1133;1134;1084;1084;1134;1134
1-2-0-3-4;1030;1031;1078;1079;1031;1031;1079;1079
1-0-2-3-4;1065;1065;1114;1114;1065;1065;1114;1114
0-1-2-3-4;1042;1043;1087;1088;1043;1043;1088;1088
1-2-3-4-5;1062;1064;1149;1151;1063;1064;1150;1151
