;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.05662;0.05662;0.05662;0.05662;0.05662;0.05662;0.05662;0.05662
0-1-0-0-0;0.05713;0.05713;0.05713;0.05713;0.05713;0.05713;0.05713;0.05713
0-0-1-0-0;0.05792;0.05792;0.05792;0.05792;0.05792;0.05792;0.05792;0.05792
0-0-0-1-0;0.05813;0.05813;0.05813;0.05813;0.05813;0.05813;0.05813;0.05813
0-0-0-0-1;0.05732;0.05732;0.05732;0.05732;0.05732;0.05732;0.05732;0.05732
1-2-0-0-0;0.06356;0.06356;0.06356;0.06356;0.06356;0.06356;0.06356;0.06356
1-0-2-0-0;0.06509;0.06509;0.06509;0.06509;0.06509;0.06509;0.06509;0.06509
1-0-0-2-0;0.06667;0.06667;0.06667;0.06667;0.06667;0.06667;0.06667;0.06667
1-0-0-0-2;0.06558;0.06558;0.06558;0.06558;0.06558;0.06558;0.06558;0.06558
0-1-2-0-0;0.06574;0.06574;0.06574;0.06574;0.06574;0.06574;0.06574;0.06574
0-1-0-2-0;0.06623;0.06623;0.06623;0.06623;0.06623;0.06623;0.06623;0.06623
0-1-0-0-2;0.06521;0.06521;0.06521;0.06521;0.06521;0.06521;0.06521;0.06521
0-0-1-2-0;0.06680;0.06680;0.06680;0.06680;0.06680;0.06680;0.06680;0.06680
0-0-1-0-2;0.06558;0.06558;0.06558;0.06558;0.06558;0.06558;0.06558;0.06558
0-0-0-1-2;0.06815;0.06815;0.06815;0.06815;0.06815;0.06815;0.06815;0.06815
1-2-3-0-0;0.06890;0.05624;0.06984;0.05703;0.05624;0.05624;0.05703;0.05703
1-2-0-3-0;0.07060;0.05631;0.07063;0.05612;0.05631;0.05631;0.05612;0.05612
1-2-0-0-3;0.06971;0.05574;0.06977;0.05569;0.05574;0.05574;0.05569;0.05569
1-0-2-3-0;0.07108;0.05712;0.07097;0.05666;0.05712;0.05712;0.05666;0.05666
1-0-2-0-3;0.07044;0.05601;0.07037;0.05583;0.05601;0.05601;0.05583;0.05583
1-0-0-2-3;0.07278;0.05629;0.07271;0.05608;0.05629;0.05629;0.05608;0.05608
0-1-2-3-0;0.07054;0.05676;0.07175;0.05778;0.05676;0.05676;0.05778;0.05778
0-1-2-0-3;0.07012;0.05616;0.07114;0.05702;0.05616;0.05616;0.05702;0.05702
0-1-0-2-3;0.07241;0.05686;0.07231;0.05665;0.05686;0.05686;0.05665;0.05665
0-0-1-2-3;0.07214;0.05702;0.07203;0.05758;0.05702;0.05702;0.05758;0.05758
1-2-3-4-0;0.07364;0.06103;0.07373;0.06078;0.06103;0.06103;0.06078;0.06078
1-2-3-0-4;0.07278;0.06053;0.07289;0.06058;0.06053;0.06053;0.06058;0.06058
1-2-0-3-4;0.07534;0.06123;0.07531;0.06106;0.06123;0.06123;0.06106;0.06106
1-0-2-3-4;0.07524;0.06096;0.07521;0.06080;0.06096;0.06096;0.06080;0.06080
0-1-2-3-4;0.07521;0.06113;0.07515;0.06101;0.06113;0.06113;0.06101;0.06101
1-2-3-4-5;0.06441;0.05633;0.06394;0.05576;0.06032;0.05633;0.05980;0.05576
