;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.07596;0.07596;0.07596;0.07596;0.07596;0.07596;0.07596;0.07596
0-1-0-0-0;0.08463;0.08463;0.08463;0.08463;0.08463;0.08463;0.08463;0.08463
0-0-1-0-0;0.05968;0.05968;0.05968;0.05968;0.05968;0.05968;0.05968;0.05968
0-0-0-1-0;0.09272;0.09272;0.09272;0.09272;0.09272;0.09272;0.09272;0.09272
0-0-0-0-1;0.06778;0.06778;0.06778;0.06778;0.06778;0.06778;0.06778;0.06778
1-2-0-0-0;0.10229;0.10229;0.10229;0.10229;0.10229;0.10229;0.10229;0.10229
1-0-2-0-0;0.08921;0.08921;0.08921;0.08921;0.08921;0.08921;0.08921;0.08921
1-0-0-2-0;0.11714;0.11714;0.11714;0.11714;0.11714;0.11714;0.11714;0.11714
1-0-0-0-2;0.09845;0.09845;0.09845;0.09845;0.09845;0.09845;0.09845;0.09845
0-1-2-0-0;0.09437;0.09437;0.09437;0.09437;0.09437;0.09437;0.09437;0.09437
0-1-0-2-0;0.11967;0.11967;0.11967;0.11967;0.11967;0.11967;0.11967;0.11967
0-1-0-0-2;0.10229;0.10229;0.10229;0.10229;0.10229;0.10229;0.10229;0.10229
0-0-1-2-0;0.10590;0.10590;0.10590;0.10590;0.10590;0.10590;0.10590;0.10590
0-0-1-0-2;0.08651;0.08651;0.08651;0.08651;0.08651;0.08651;0.08651;0.08651
0-0-0-1-2;0.10968;0.10968;0.10968;0.10968;0.10968;0.10968;0.10968;0.10968
1-2-3-0-0;0.10908;0.10968;0.08588;0.08651;0.10968;0.10968;0.08651;0.08651
1-2-0-3-0;0.13226;0.13302;0.08755;0.08838;0.13302;0.13302;0.08838;0.08838
1-2-0-0-3;0.11675;0.11734;0.08859;0.08901;0.11734;0.11734;0.08901;0.08901
1-0-2-3-0;0.12295;0.12391;0.07958;0.08063;0.12391;0.12391;0.08063;0.08063
1-0-2-0-3;0.10729;0.10809;0.07915;0.08021;0.10809;0.10809;0.08021;0.08021
1-0-0-2-3;0.12829;0.12867;0.09375;0.09416;0.12867;0.12867;0.09416;0.09416
0-1-2-3-0;0.12505;0.12563;0.08505;0.08568;0.12563;0.12563;0.08568;0.08568
0-1-2-0-3;0.10928;0.10988;0.08442;0.08505;0.10988;0.10988;0.08505;0.08505
0-1-0-2-3;0.12962;0.13038;0.09682;0.09784;0.13038;0.13038;0.09784;0.09784
0-0-1-2-3;0.11889;0.11928;0.08505;0.08588;0.11928;0.11928;0.08588;0.08588
1-2-3-4-0;0.13601;0.13638;0.09723;0.09763;0.13638;0.13638;0.09763;0.09763
1-2-3-0-4;0.12179;0.12198;0.09743;0.09763;0.12198;0.12198;0.09763;0.09763
1-2-0-3-4;0.14139;0.14194;0.10888;0.10948;0.14194;0.14194;0.10948;0.10948
1-0-2-3-4;0.13302;0.13302;0.10088;0.10088;0.13302;0.13302;0.10088;0.10088
0-1-2-3-4;0.13452;0.13489;0.10390;0.10430;0.13489;0.13489;0.10430;0.10430
1-2-3-4-5;0.11342;0.11421;0.08921;0.09004;0.11382;0.11421;0.08963;0.09004
