;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;329;329;329;329;329;329;329;329
0-1-0-0-0;370;370;370;370;370;370;370;370
0-0-1-0-0;254;254;254;254;254;254;254;254
0-0-0-1-0;409;409;409;409;409;409;409;409
0-0-0-0-1;291;291;291;291;291;291;291;291
1-2-0-0-0;456;456;456;456;456;456;456;456
1-0-2-0-0;392;392;392;392;392;392;392;392
1-0-0-2-0;531;531;531;531;531;531;531;531
1-0-0-0-2;437;437;437;437;437;437;437;437
0-1-2-0-0;417;417;417;417;417;417;417;417
0-1-0-2-0;544;544;544;544;544;544;544;544
0-1-0-0-2;456;456;456;456;456;456;456;456
0-0-1-2-0;474;474;474;474;474;474;474;474
0-0-1-0-2;379;379;379;379;379;379;379;379
0-0-0-1-2;493;493;493;493;493;493;493;493
1-2-3-0-0;490;493;376;379;493;493;379;379
1-2-0-3-0;610;614;384;388;614;614;388;388
1-2-0-0-3;529;532;389;391;532;532;391;391
1-0-2-3-0;561;566;346;351;566;566;351;351
1-0-2-0-3;481;485;344;349;485;485;349;349
1-0-0-2-3;589;591;414;416;591;591;416;416
0-1-2-3-0;572;575;372;375;575;575;375;375
0-1-2-0-3;491;494;369;372;494;494;372;372
0-1-0-2-3;596;600;429;434;600;600;434;434
0-0-1-2-3;540;542;372;376;542;542;376;376
1-2-3-4-0;630;632;431;433;632;632;433;433
1-2-3-0-4;555;556;432;433;556;556;433;433
1-2-0-3-4;659;662;489;492;662;662;492;492
1-0-2-3-4;614;614;449;449;614;614;449;449
0-1-2-3-4;622;624;464;466;624;624;466;466
1-2-3-4-5;512;516;392;396;514;516;394;396
