;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.36112;0.36112;0.36112;0.36112;0.36112;0.36112;0.36112;0.36112
0-1-0-0-0;0.34035;0.34035;0.34035;0.34035;0.34035;0.34035;0.34035;0.34035
0-0-1-0-0;0.39756;0.39756;0.39756;0.39756;0.39756;0.39756;0.39756;0.39756
0-0-0-1-0;0.33552;0.33552;0.33552;0.33552;0.33552;0.33552;0.33552;0.33552
0-0-0-0-1;0.37666;0.37666;0.37666;0.37666;0.37666;0.37666;0.37666;0.37666
1-2-0-0-0;0.31808;0.31808;0.31808;0.31808;0.31808;0.31808;0.31808;0.31808
1-0-2-0-0;0.33955;0.33955;0.33955;0.33955;0.33955;0.33955;0.33955;0.33955
1-0-0-2-0;0.30311;0.30311;0.30311;0.30311;0.30311;0.30311;0.30311;0.30311
1-0-0-0-2;0.32935;0.32935;0.32935;0.32935;0.32935;0.32935;0.32935;0.32935
0-1-2-0-0;0.32564;0.32564;0.32564;0.32564;0.32564;0.32564;0.32564;0.32564
0-1-0-2-0;0.29520;0.29520;0.29520;0.29520;0.29520;0.29520;0.29520;0.29520
0-1-0-0-2;0.31875;0.31875;0.31875;0.31875;0.31875;0.31875;0.31875;0.31875
0-0-1-2-0;0.31859;0.31859;0.31859;0.31859;0.31859;0.31859;0.31859;0.31859
0-0-1-0-2;0.34924;0.34924;0.34924;0.34924;0.34924;0.34924;0.34924;0.34924
0-0-0-1-2;0.31457;0.31457;0.31457;0.31457;0.31457;0.31457;0.31457;0.31457
1-2-3-0-0;0.30944;0.30990;0.33486;0.33531;0.30990;0.30990;0.33531;0.33531
1-2-0-3-0;0.28339;0.28401;0.33014;0.33075;0.28401;0.28401;0.33075;0.33075
1-2-0-0-3;0.30280;0.30326;0.33136;0.33166;0.30326;0.30326;0.33166;0.33166
1-0-2-3-0;0.29652;0.29729;0.34775;0.34850;0.29729;0.29729;0.34850;0.34850
1-0-2-0-3;0.31943;0.32004;0.35044;0.35118;0.32004;0.32004;0.35118;0.35118
1-0-0-2-3;0.29362;0.29393;0.32405;0.32435;0.29393;0.29393;0.32435;0.32435
0-1-2-3-0;0.29012;0.29058;0.33425;0.33470;0.29058;0.29058;0.33470;0.33470
0-1-2-0-3;0.31004;0.31050;0.33722;0.33768;0.31050;0.31050;0.33768;0.33768
0-1-0-2-3;0.28773;0.28835;0.31438;0.31515;0.28835;0.28835;0.31515;0.31515
0-0-1-2-3;0.30559;0.30590;0.33653;0.33714;0.30590;0.30590;0.33714;0.33714
1-2-3-4-0;0.28001;0.28032;0.31784;0.31815;0.28032;0.28032;0.31815;0.31815
1-2-3-0-4;0.29778;0.29794;0.31980;0.31995;0.29794;0.29794;0.31995;0.31995
1-2-0-3-4;0.27805;0.27852;0.30216;0.30263;0.27852;0.27852;0.30263;0.30263
1-0-2-3-4;0.28943;0.28943;0.31409;0.31409;0.28943;0.28943;0.31409;0.31409
0-1-2-3-4;0.28395;0.28426;0.30587;0.30618;0.28426;0.28426;0.30618;0.30618
1-2-3-4-5;0.29553;0.29615;0.32726;0.32788;0.29584;0.29615;0.32757;0.32788
