;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1564;1564;1564;1564;1564;1564;1564;1564
0-1-0-0-0;1488;1488;1488;1488;1488;1488;1488;1488
0-0-1-0-0;1692;1692;1692;1692;1692;1692;1692;1692
0-0-0-1-0;1480;1480;1480;1480;1480;1480;1480;1480
0-0-0-0-1;1617;1617;1617;1617;1617;1617;1617;1617
1-2-0-0-0;1418;1418;1418;1418;1418;1418;1418;1418
1-0-2-0-0;1492;1492;1492;1492;1492;1492;1492;1492
1-0-0-2-0;1374;1374;1374;1374;1374;1374;1374;1374
1-0-0-0-2;1462;1462;1462;1462;1462;1462;1462;1462
0-1-2-0-0;1439;1439;1439;1439;1439;1439;1439;1439
0-1-0-2-0;1342;1342;1342;1342;1342;1342;1342;1342
0-1-0-0-2;1421;1421;1421;1421;1421;1421;1421;1421
0-0-1-2-0;1426;1426;1426;1426;1426;1426;1426;1426
0-0-1-0-2;1530;1530;1530;1530;1530;1530;1530;1530
0-0-0-1-2;1414;1414;1414;1414;1414;1414;1414;1414
1-2-3-0-0;1390;1393;1466;1469;1393;1393;1469;1469
1-2-0-3-0;1307;1311;1448;1452;1311;1311;1452;1452
1-2-0-0-3;1372;1375;1455;1457;1375;1375;1457;1457
1-0-2-3-0;1353;1358;1512;1517;1358;1358;1517;1517
1-0-2-0-3;1432;1436;1523;1528;1436;1436;1528;1528
1-0-0-2-3;1348;1350;1431;1433;1350;1350;1433;1433
0-1-2-3-0;1327;1330;1462;1465;1330;1330;1465;1465
0-1-2-0-3;1393;1396;1474;1477;1396;1396;1477;1477
0-1-0-2-3;1323;1327;1393;1398;1327;1327;1398;1398
0-0-1-2-3;1388;1390;1472;1476;1390;1390;1476;1476
1-2-3-4-0;1297;1299;1409;1411;1299;1299;1411;1411
1-2-3-0-4;1357;1358;1418;1419;1358;1358;1419;1419
1-2-0-3-4;1296;1299;1357;1360;1299;1299;1360;1360
1-0-2-3-4;1336;1336;1398;1398;1336;1336;1398;1398
0-1-2-3-4;1313;1315;1366;1368;1315;1315;1368;1368
1-2-3-4-5;1334;1338;1438;1442;1336;1338;1440;1442
