;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1507;1507;1507;1507;1507;1507;1507;1507
0-1-0-0-0;1431;1431;1431;1431;1431;1431;1431;1431
0-0-1-0-0;1635;1635;1635;1635;1635;1635;1635;1635
0-0-0-1-0;1423;1423;1423;1423;1423;1423;1423;1423
0-0-0-0-1;1560;1560;1560;1560;1560;1560;1560;1560
1-2-0-0-0;1361;1361;1361;1361;1361;1361;1361;1361
1-0-2-0-0;1435;1435;1435;1435;1435;1435;1435;1435
1-0-0-2-0;1317;1317;1317;1317;1317;1317;1317;1317
1-0-0-0-2;1405;1405;1405;1405;1405;1405;1405;1405
0-1-2-0-0;1382;1382;1382;1382;1382;1382;1382;1382
0-1-0-2-0;1285;1285;1285;1285;1285;1285;1285;1285
0-1-0-0-2;1364;1364;1364;1364;1364;1364;1364;1364
0-0-1-2-0;1369;1369;1369;1369;1369;1369;1369;1369
0-0-1-0-2;1473;1473;1473;1473;1473;1473;1473;1473
0-0-0-1-2;1357;1357;1357;1357;1357;1357;1357;1357
1-2-3-0-0;1333;1336;1409;1412;1336;1336;1412;1412
1-2-0-3-0;1250;1254;1391;1395;1254;1254;1395;1395
1-2-0-0-3;1315;1318;1398;1400;1318;1318;1400;1400
1-0-2-3-0;1296;1301;1455;1460;1301;1301;1460;1460
1-0-2-0-3;1375;1379;1466;1471;1379;1379;1471;1471
1-0-0-2-3;1291;1293;1374;1376;1293;1293;1376;1376
0-1-2-3-0;1270;1273;1405;1408;1273;1273;1408;1408
0-1-2-0-3;1336;1339;1417;1420;1339;1339;1420;1420
0-1-0-2-3;1266;1270;1336;1341;1270;1270;1341;1341
0-0-1-2-3;1331;1333;1415;1419;1333;1333;1419;1419
1-2-3-4-0;1240;1242;1352;1354;1242;1242;1354;1354
1-2-3-0-4;1300;1301;1361;1362;1301;1301;1362;1362
1-2-0-3-4;1239;1242;1300;1303;1242;1242;1303;1303
1-0-2-3-4;1279;1279;1341;1341;1279;1279;1341;1341
0-1-2-3-4;1256;1258;1309;1311;1258;1258;1311;1311
1-2-3-4-5;1277;1281;1381;1385;1279;1281;1383;1385
