;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.48201;0.48201;0.48201;0.48201;0.48201;0.48201;0.48201;0.48201
0-1-0-0-0;0.48133;0.48133;0.48133;0.48133;0.48133;0.48133;0.48133;0.48133
0-0-1-0-0;0.47981;0.47981;0.47981;0.47981;0.47981;0.47981;0.47981;0.47981
0-0-0-1-0;0.48017;0.48017;0.48017;0.48017;0.48017;0.48017;0.48017;0.48017
0-0-0-0-1;0.48179;0.48179;0.48179;0.48179;0.48179;0.48179;0.48179;0.48179
1-2-0-0-0;0.47537;0.47537;0.47537;0.47537;0.47537;0.47537;0.47537;0.47537
1-0-2-0-0;0.47450;0.47450;0.47450;0.47450;0.47450;0.47450;0.47450;0.47450
1-0-0-2-0;0.47286;0.47286;0.47286;0.47286;0.47286;0.47286;0.47286;0.47286
1-0-0-0-2;0.47392;0.47392;0.47392;0.47392;0.47392;0.47392;0.47392;0.47392
0-1-2-0-0;0.47344;0.47344;0.47344;0.47344;0.47344;0.47344;0.47344;0.47344
0-1-0-2-0;0.47316;0.47316;0.47316;0.47316;0.47316;0.47316;0.47316;0.47316
0-1-0-0-2;0.47393;0.47393;0.47393;0.47393;0.47393;0.47393;0.47393;0.47393
0-0-1-2-0;0.47285;0.47285;0.47285;0.47285;0.47285;0.47285;0.47285;0.47285
0-0-1-0-2;0.47420;0.47420;0.47420;0.47420;0.47420;0.47420;0.47420;0.47420
0-0-0-1-2;0.47152;0.47152;0.47152;0.47152;0.47152;0.47152;0.47152;0.47152
1-2-3-0-0;0.47039;0.48266;0.46933;0.48168;0.48266;0.48266;0.48168;0.48168
1-2-0-3-0;0.46903;0.48300;0.46859;0.48275;0.48300;0.48300;0.48275;0.48275
1-2-0-0-3;0.46933;0.48320;0.46917;0.48314;0.48320;0.48320;0.48314;0.48314
1-0-2-3-0;0.46846;0.48208;0.46854;0.48248;0.48208;0.48208;0.48248;0.48248
1-0-2-0-3;0.46957;0.48318;0.46920;0.48283;0.48318;0.48318;0.48283;0.48283
1-0-0-2-3;0.46709;0.48299;0.46703;0.48304;0.48299;0.48299;0.48304;0.48304
0-1-2-3-0;0.46864;0.48225;0.46759;0.48139;0.48225;0.48225;0.48139;0.48139
0-1-2-0-3;0.46952;0.48274;0.46824;0.48160;0.48274;0.48274;0.48160;0.48160
0-1-0-2-3;0.46726;0.48226;0.46703;0.48217;0.48226;0.48226;0.48217;0.48217
0-0-1-2-3;0.46760;0.48211;0.46769;0.48188;0.48211;0.48211;0.48188;0.48188
1-2-3-4-0;0.46579;0.47830;0.46559;0.47841;0.47830;0.47830;0.47841;0.47841
1-2-3-0-4;0.46653;0.47907;0.46615;0.47876;0.47907;0.47907;0.47876;0.47876
1-2-0-3-4;0.46438;0.47844;0.46414;0.47834;0.47844;0.47844;0.47834;0.47834
1-0-2-3-4;0.46464;0.47847;0.46472;0.47868;0.47847;0.47847;0.47868;0.47868
0-1-2-3-4;0.46436;0.47794;0.46444;0.47808;0.47794;0.47794;0.47808;0.47808
1-2-3-4-5;0.47490;0.48281;0.47504;0.48305;0.47894;0.48281;0.47914;0.48305
