;cityscapes_average_c=_v=-1_d=0.5_a=-1;cityscapes_average_c=_v=-1_d=0.5_a=0;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=-1_d=0.5_a2=0.5;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;12500297;12500297;12500297;12500297;12500297;12500297;12500297;12500297
0-1-0-0-0;12489693;12489693;12489693;12489693;12489693;12489693;12489693;12489693
0-0-1-0-0;12264386;12264386;12264386;12264386;12264386;12264386;12264386;12264386
0-0-0-1-0;12462807;12462807;12462807;12462807;12462807;12462807;12462807;12462807
0-0-0-0-1;12401600;12401600;12401600;12401600;12401600;12401600;12401600;12401600
1-2-0-0-0;12505229;12505229;12505229;12505229;12505229;12505229;12505229;12505229
1-0-2-0-0;12442915;12442915;12442915;12442915;12442915;12442915;12442915;12442915
1-0-0-2-0;12513328;12513328;12513328;12513328;12513328;12513328;12513328;12513328
1-0-0-0-2;12395526;12395526;12395526;12395526;12395526;12395526;12395526;12395526
0-1-2-0-0;12382310;12382310;12382310;12382310;12382310;12382310;12382310;12382310
0-1-0-2-0;12548837;12548837;12548837;12548837;12548837;12548837;12548837;12548837
0-1-0-0-2;12406643;12406643;12406643;12406643;12406643;12406643;12406643;12406643
0-0-1-2-0;12428131;12428131;12428131;12428131;12428131;12428131;12428131;12428131
0-0-1-0-2;12368115;12368115;12368115;12368115;12368115;12368115;12368115;12368115
0-0-0-1-2;12382500;12382500;12382500;12382500;12382500;12382500;12382500;12382500
1-2-3-0-0;12419833;12742652;12239053;12560981;12742652;12742652;12560981;12560981
1-2-0-3-0;12485705;12841816;12284265;12640401;12841816;12841816;12640401;12640401
1-2-0-0-3;12396466;12776013;12268577;12647668;12776013;12776013;12647668;12647668
1-0-2-3-0;12420178;12765075;12264418;12613628;12765075;12765075;12613628;12613628
1-0-2-0-3;12364658;12736892;12210977;12575304;12736892;12736892;12575304;12575304
1-0-0-2-3;12349423;12793368;12255153;12701077;12793368;12793368;12701077;12701077
0-1-2-3-0;12440886;12792250;12213430;12563884;12792250;12792250;12563884;12563884
0-1-2-0-3;12372957;12742045;12151802;12519530;12742045;12742045;12519530;12519530
0-1-0-2-3;12366422;12788861;12276722;12698143;12788861;12788861;12698143;12698143
0-0-1-2-3;12329145;12739642;12252739;12610875;12739642;12739642;12610875;12610875
1-2-3-4-0;12405609;12734156;12268353;12602015;12734156;12734156;12602015;12602015
1-2-3-0-4;12376314;12673801;12250611;12546760;12673801;12673801;12546760;12546760
1-2-0-3-4;12331045;12697204;12244010;12611299;12697204;12697204;12611299;12611299
1-0-2-3-4;12303393;12698219;12249685;12646092;12698219;12698219;12646092;12646092
0-1-2-3-4;12304739;12691422;12259953;12646749;12691422;12691422;12646749;12646749
1-2-3-4-5;12607930;12803303;12467561;12663110;12713450;12803303;12573165;12663110
