;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.565
1-2-3-5-4;0.565
1-2-4-3-5;0.562
1-2-5-3-4;0.562
1-2-4-5-3;0.561
1-2-5-4-3;0.561
1-3-2-4-5;0.565
1-3-2-5-4;0.565
1-4-2-3-5;0.564
1-5-2-3-4;0.564
1-4-2-5-3;0.564
1-5-2-4-3;0.564
1-3-4-2-5;0.561
1-3-5-2-4;0.561
1-4-3-2-5;0.564
1-5-3-2-4;0.564
1-4-5-2-3;0.561
1-5-4-2-3;0.561
1-3-4-5-2;0.561
1-3-5-4-2;0.561
1-4-3-5-2;0.562
1-5-3-4-2;0.562
1-4-5-3-2;0.561
1-5-4-3-2;0.561
2-1-3-4-5;0.565
2-1-3-5-4;0.565
2-1-4-3-5;0.562
2-1-5-3-4;0.562
2-1-4-5-3;0.561
2-1-5-4-3;0.561
3-1-2-4-5;0.565
3-1-2-5-4;0.565
4-1-2-3-5;0.565
5-1-2-3-4;0.565
4-1-2-5-3;0.565
5-1-2-4-3;0.565
3-1-4-2-5;0.563
3-1-5-2-4;0.563
4-1-3-2-5;0.565
5-1-3-2-4;0.565
4-1-5-2-3;0.564
5-1-4-2-3;0.564
3-1-4-5-2;0.561
3-1-5-4-2;0.561
4-1-3-5-2;0.565
5-1-3-4-2;0.565
4-1-5-3-2;0.563
5-1-4-3-2;0.563
2-3-1-4-5;0.565
2-3-1-5-4;0.565
2-4-1-3-5;0.565
2-5-1-3-4;0.565
2-4-1-5-3;0.565
2-5-1-4-3;0.565
3-2-1-4-5;0.565
3-2-1-5-4;0.565
4-2-1-3-5;0.565
5-2-1-3-4;0.565
4-2-1-5-3;0.565
5-2-1-4-3;0.565
3-4-1-2-5;0.564
3-5-1-2-4;0.564
4-3-1-2-5;0.565
5-3-1-2-4;0.565
4-5-1-2-3;0.562
5-4-1-2-3;0.562
3-4-1-5-2;0.564
3-5-1-4-2;0.564
4-3-1-5-2;0.565
5-3-1-4-2;0.565
4-5-1-3-2;0.561
5-4-1-3-2;0.561
2-3-4-1-5;0.562
2-3-5-1-4;0.562
2-4-3-1-5;0.564
2-5-3-1-4;0.564
2-4-5-1-3;0.561
2-5-4-1-3;0.561
3-2-4-1-5;0.563
3-2-5-1-4;0.563
4-2-3-1-5;0.564
5-2-3-1-4;0.564
4-2-5-1-3;0.564
5-2-4-1-3;0.564
3-4-2-1-5;0.564
3-5-2-1-4;0.564
4-3-2-1-5;0.564
5-3-2-1-4;0.564
4-5-2-1-3;0.561
5-4-2-1-3;0.561
3-4-5-1-2;0.561
3-5-4-1-2;0.561
4-3-5-1-2;0.562
5-3-4-1-2;0.562
4-5-3-1-2;0.561
5-4-3-1-2;0.561
2-3-4-5-1;0.561
2-3-5-4-1;0.561
2-4-3-5-1;0.562
2-5-3-4-1;0.562
2-4-5-3-1;0.561
2-5-4-3-1;0.561
3-2-4-5-1;0.561
3-2-5-4-1;0.561
4-2-3-5-1;0.564
5-2-3-4-1;0.564
4-2-5-3-1;0.563
5-2-4-3-1;0.563
3-4-2-5-1;0.564
3-5-2-4-1;0.564
4-3-2-5-1;0.563
5-3-2-4-1;0.563
4-5-2-3-1;0.561
5-4-2-3-1;0.561
3-4-5-2-1;0.561
3-5-4-2-1;0.561
4-3-5-2-1;0.562
5-3-4-2-1;0.562
4-5-3-2-1;0.561
5-4-3-2-1;0.561
