;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.60161
1-2-3-5-4;0.60161
1-2-4-3-5;0.59887
1-2-5-3-4;0.59887
1-2-4-5-3;0.59876
1-2-5-4-3;0.59876
1-3-2-4-5;0.60347
1-3-2-5-4;0.60347
1-4-2-3-5;0.60843
1-5-2-3-4;0.60843
1-4-2-5-3;0.60507
1-5-2-4-3;0.60507
1-3-4-2-5;0.60124
1-3-5-2-4;0.60124
1-4-3-2-5;0.60684
1-5-3-2-4;0.60684
1-4-5-2-3;0.60425
1-5-4-2-3;0.60425
1-3-4-5-2;0.60027
1-3-5-4-2;0.60027
1-4-3-5-2;0.60492
1-5-3-4-2;0.60492
1-4-5-3-2;0.60494
1-5-4-3-2;0.60494
2-1-3-4-5;0.59851
2-1-3-5-4;0.59851
2-1-4-3-5;0.59545
2-1-5-3-4;0.59545
2-1-4-5-3;0.59550
2-1-5-4-3;0.59550
3-1-2-4-5;0.59899
3-1-2-5-4;0.59899
4-1-2-3-5;0.59889
5-1-2-3-4;0.59889
4-1-2-5-3;0.59814
5-1-2-4-3;0.59814
3-1-4-2-5;0.59620
3-1-5-2-4;0.59620
4-1-3-2-5;0.59748
5-1-3-2-4;0.59748
4-1-5-2-3;0.59773
5-1-4-2-3;0.59773
3-1-4-5-2;0.59627
3-1-5-4-2;0.59627
4-1-3-5-2;0.59752
5-1-3-4-2;0.59752
4-1-5-3-2;0.59773
5-1-4-3-2;0.59773
2-3-1-4-5;0.60451
2-3-1-5-4;0.60451
2-4-1-3-5;0.60940
2-5-1-3-4;0.60940
2-4-1-5-3;0.60612
2-5-1-4-3;0.60612
3-2-1-4-5;0.60126
3-2-1-5-4;0.60126
4-2-1-3-5;0.60115
5-2-1-3-4;0.60115
4-2-1-5-3;0.60032
5-2-1-4-3;0.60032
3-4-1-2-5;0.60973
3-5-1-2-4;0.60973
4-3-1-2-5;0.60349
5-3-1-2-4;0.60349
4-5-1-2-3;0.61083
5-4-1-2-3;0.61083
3-4-1-5-2;0.60832
3-5-1-4-2;0.60832
4-3-1-5-2;0.60381
5-3-1-4-2;0.60381
4-5-1-3-2;0.61097
5-4-1-3-2;0.61097
2-3-4-1-5;0.60043
2-3-5-1-4;0.60043
2-4-3-1-5;0.60624
2-5-3-1-4;0.60624
2-4-5-1-3;0.60334
2-5-4-1-3;0.60334
3-2-4-1-5;0.59700
3-2-5-1-4;0.59700
4-2-3-1-5;0.59819
5-2-3-1-4;0.59819
4-2-5-1-3;0.59845
5-2-4-1-3;0.59845
3-4-2-1-5;0.60814
3-5-2-1-4;0.60814
4-3-2-1-5;0.60201
5-3-2-1-4;0.60201
4-5-2-1-3;0.60961
5-4-2-1-3;0.60961
3-4-5-1-2;0.60288
3-5-4-1-2;0.60288
4-3-5-1-2;0.60003
5-3-4-1-2;0.60003
4-5-3-1-2;0.60994
5-4-3-1-2;0.60994
2-3-4-5-1;0.60068
2-3-5-4-1;0.60068
2-4-3-5-1;0.60520
2-5-3-4-1;0.60520
2-4-5-3-1;0.60530
2-5-4-3-1;0.60530
3-2-4-5-1;0.59814
3-2-5-4-1;0.59814
4-2-3-5-1;0.59997
5-2-3-4-1;0.59997
4-2-5-3-1;0.59989
5-2-4-3-1;0.59989
3-4-2-5-1;0.60869
3-5-2-4-1;0.60869
4-3-2-5-1;0.60423
5-3-2-4-1;0.60423
4-5-2-3-1;0.61069
5-4-2-3-1;0.61069
3-4-5-2-1;0.60453
3-5-4-2-1;0.60453
4-3-5-2-1;0.60143
5-3-4-2-1;0.60143
4-5-3-2-1;0.61123
5-4-3-2-1;0.61123
