;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.28994
1-2-3-5-4;0.28994
1-2-4-3-5;0.28144
1-2-5-3-4;0.28144
1-2-4-5-3;0.27410
1-2-5-4-3;0.27410
1-3-2-4-5;0.29204
1-3-2-5-4;0.29204
1-4-2-3-5;0.30088
1-5-2-3-4;0.30088
1-4-2-5-3;0.27941
1-5-2-4-3;0.27941
1-3-4-2-5;0.28228
1-3-5-2-4;0.28228
1-4-3-2-5;0.29674
1-5-3-2-4;0.29674
1-4-5-2-3;0.26970
1-5-4-2-3;0.26970
1-3-4-5-2;0.26807
1-3-5-4-2;0.26807
1-4-3-5-2;0.28443
1-5-3-4-2;0.28443
1-4-5-3-2;0.27190
1-5-4-3-2;0.27190
2-1-3-4-5;0.28035
2-1-3-5-4;0.28035
2-1-4-3-5;0.27193
2-1-5-3-4;0.27193
2-1-4-5-3;0.26471
2-1-5-4-3;0.26471
3-1-2-4-5;0.27746
3-1-2-5-4;0.27746
4-1-2-3-5;0.27666
5-1-2-3-4;0.27666
4-1-2-5-3;0.27666
5-1-2-4-3;0.27666
3-1-4-2-5;0.26979
3-1-5-2-4;0.26979
4-1-3-2-5;0.27907
5-1-3-2-4;0.27907
4-1-5-2-3;0.27193
5-1-4-2-3;0.27193
3-1-4-5-2;0.26331
3-1-5-4-2;0.26331
4-1-3-5-2;0.27778
5-1-3-4-2;0.27778
4-1-5-3-2;0.26531
5-1-4-3-2;0.26531
2-3-1-4-5;0.29412
2-3-1-5-4;0.29412
2-4-1-3-5;0.30294
2-5-1-3-4;0.30294
2-4-1-5-3;0.28152
2-5-1-4-3;0.28152
3-2-1-4-5;0.28779
3-2-1-5-4;0.28779
4-2-1-3-5;0.28696
5-2-1-3-4;0.28696
4-2-1-5-3;0.28696
5-2-1-4-3;0.28696
3-4-1-2-5;0.30060
3-5-1-2-4;0.30060
4-3-1-2-5;0.29032
5-3-1-2-4;0.29032
4-5-1-2-3;0.29179
5-4-1-2-3;0.29179
3-4-1-5-2;0.27811
3-5-1-4-2;0.27811
4-3-1-5-2;0.28190
5-3-1-4-2;0.28190
4-5-1-3-2;0.28182
5-4-1-3-2;0.28182
2-3-4-1-5;0.28228
2-3-5-1-4;0.28228
2-4-3-1-5;0.29762
2-5-3-1-4;0.29762
2-4-5-1-3;0.26970
2-5-4-1-3;0.26970
3-2-4-1-5;0.27273
3-2-5-1-4;0.27273
4-2-3-1-5;0.28198
5-2-3-1-4;0.28198
4-2-5-1-3;0.27485
5-2-4-1-3;0.27485
3-4-2-1-5;0.29940
3-5-2-1-4;0.29940
4-3-2-1-5;0.28909
5-3-2-1-4;0.28909
4-5-2-1-3;0.29052
5-4-2-1-3;0.29052
3-4-5-1-2;0.26727
3-5-4-1-2;0.26727
4-3-5-1-2;0.27463
5-3-4-1-2;0.27463
4-5-3-1-2;0.28615
5-4-3-1-2;0.28615
2-3-4-5-1;0.26347
2-3-5-4-1;0.26347
2-4-3-5-1;0.27976
2-5-3-4-1;0.27976
2-4-5-3-1;0.26727
2-5-4-3-1;0.26727
3-2-4-5-1;0.26807
3-2-5-4-1;0.26807
4-2-3-5-1;0.28274
5-2-3-4-1;0.28274
4-2-5-3-1;0.27003
5-2-4-3-1;0.27003
3-4-2-5-1;0.28144
3-5-2-4-1;0.28144
4-3-2-5-1;0.28443
5-3-2-4-1;0.28443
4-5-2-3-1;0.28440
5-4-2-3-1;0.28440
3-4-5-2-1;0.26647
3-5-4-2-1;0.26647
4-3-5-2-1;0.27381
5-3-4-2-1;0.27381
4-5-3-2-1;0.28528
5-4-3-2-1;0.28528
