;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;98
1-2-3-5-4;98
1-2-4-3-5;94
1-2-5-3-4;94
1-2-4-5-3;91
1-2-5-4-3;91
1-3-2-4-5;99
1-3-2-5-4;99
1-4-2-3-5;102
1-5-2-3-4;102
1-4-2-5-3;95
1-5-2-4-3;95
1-3-4-2-5;94
1-3-5-2-4;94
1-4-3-2-5;100
1-5-3-2-4;100
1-4-5-2-3;89
1-5-4-2-3;89
1-3-4-5-2;89
1-3-5-4-2;89
1-4-3-5-2;95
1-5-3-4-2;95
1-4-5-3-2;90
1-5-4-3-2;90
2-1-3-4-5;97
2-1-3-5-4;97
2-1-4-3-5;93
2-1-5-3-4;93
2-1-4-5-3;90
2-1-5-4-3;90
3-1-2-4-5;96
3-1-2-5-4;96
4-1-2-3-5;96
5-1-2-3-4;96
4-1-2-5-3;96
5-1-2-4-3;96
3-1-4-2-5;92
3-1-5-2-4;92
4-1-3-2-5;96
5-1-3-2-4;96
4-1-5-2-3;93
5-1-4-2-3;93
3-1-4-5-2;89
3-1-5-4-2;89
4-1-3-5-2;95
5-1-3-4-2;95
4-1-5-3-2;91
5-1-4-3-2;91
2-3-1-4-5;100
2-3-1-5-4;100
2-4-1-3-5;103
2-5-1-3-4;103
2-4-1-5-3;96
2-5-1-4-3;96
3-2-1-4-5;99
3-2-1-5-4;99
4-2-1-3-5;99
5-2-1-3-4;99
4-2-1-5-3;99
5-2-1-4-3;99
3-4-1-2-5;101
3-5-1-2-4;101
4-3-1-2-5;99
5-3-1-2-4;99
4-5-1-2-3;96
5-4-1-2-3;96
3-4-1-5-2;94
3-5-1-4-2;94
4-3-1-5-2;95
5-3-1-4-2;95
4-5-1-3-2;93
5-4-1-3-2;93
2-3-4-1-5;94
2-3-5-1-4;94
2-4-3-1-5;100
2-5-3-1-4;100
2-4-5-1-3;89
2-5-4-1-3;89
3-2-4-1-5;93
3-2-5-1-4;93
4-2-3-1-5;97
5-2-3-1-4;97
4-2-5-1-3;94
5-2-4-1-3;94
3-4-2-1-5;100
3-5-2-1-4;100
4-3-2-1-5;98
5-3-2-1-4;98
4-5-2-1-3;95
5-4-2-1-3;95
3-4-5-1-2;89
3-5-4-1-2;89
4-3-5-1-2;92
5-3-4-1-2;92
4-5-3-1-2;93
5-4-3-1-2;93
2-3-4-5-1;88
2-3-5-4-1;88
2-4-3-5-1;94
2-5-3-4-1;94
2-4-5-3-1;89
2-5-4-3-1;89
3-2-4-5-1;89
3-2-5-4-1;89
4-2-3-5-1;95
5-2-3-4-1;95
4-2-5-3-1;91
5-2-4-3-1;91
3-4-2-5-1;94
3-5-2-4-1;94
4-3-2-5-1;95
5-3-2-4-1;95
4-5-2-3-1;93
5-4-2-3-1;93
3-4-5-2-1;89
3-5-4-2-1;89
4-3-5-2-1;92
5-3-4-2-1;92
4-5-3-2-1;93
5-4-3-2-1;93
