;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.08333
1-2-3-5-4;0.08333
1-2-4-3-5;0.06294
1-2-5-3-4;0.06294
1-2-4-5-3;0.07639
1-2-5-4-3;0.07639
1-3-2-4-5;0.08451
1-3-2-5-4;0.08451
1-4-2-3-5;0.07914
1-5-2-3-4;0.07914
1-4-2-5-3;0.07801
1-5-2-4-3;0.07801
1-3-4-2-5;0.05634
1-3-5-2-4;0.05634
1-4-3-2-5;0.05755
1-5-3-2-4;0.05755
1-4-5-2-3;0.05714
1-5-4-2-3;0.05714
1-3-4-5-2;0.07042
1-3-5-4-2;0.07042
1-4-3-5-2;0.06993
1-5-3-4-2;0.06993
1-4-5-3-2;0.06383
1-5-4-3-2;0.06383
2-1-3-4-5;0.08451
2-1-3-5-4;0.08451
2-1-4-3-5;0.06383
2-1-5-3-4;0.06383
2-1-4-5-3;0.07746
2-1-5-4-3;0.07746
3-1-2-4-5;0.08451
3-1-2-5-4;0.08451
4-1-2-3-5;0.08451
5-1-2-3-4;0.08451
4-1-2-5-3;0.08451
5-1-2-4-3;0.08451
3-1-4-2-5;0.06383
3-1-5-2-4;0.06383
4-1-3-2-5;0.06383
5-1-3-2-4;0.06383
4-1-5-2-3;0.06383
5-1-4-2-3;0.06383
3-1-4-5-2;0.07746
3-1-5-4-2;0.07746
4-1-3-5-2;0.07746
5-1-3-4-2;0.07746
4-1-5-3-2;0.07746
5-1-4-3-2;0.07746
2-3-1-4-5;0.07857
2-3-1-5-4;0.07857
2-4-1-3-5;0.07299
2-5-1-3-4;0.07299
2-4-1-5-3;0.07194
2-5-1-4-3;0.07194
3-2-1-4-5;0.07914
3-2-1-5-4;0.07914
4-2-1-3-5;0.07914
5-2-1-3-4;0.07914
4-2-1-5-3;0.07914
5-2-1-4-3;0.07914
3-4-1-2-5;0.07299
3-5-1-2-4;0.07299
4-3-1-2-5;0.07914
5-3-1-2-4;0.07914
4-5-1-2-3;0.07194
5-4-1-2-3;0.07194
3-4-1-5-2;0.07194
3-5-1-4-2;0.07194
4-3-1-5-2;0.07914
5-3-1-4-2;0.07914
4-5-1-3-2;0.07194
5-4-1-3-2;0.07194
2-3-4-1-5;0.05634
2-3-5-1-4;0.05634
2-4-3-1-5;0.05755
2-5-3-1-4;0.05755
2-4-5-1-3;0.05714
2-5-4-1-3;0.05714
3-2-4-1-5;0.06383
3-2-5-1-4;0.06383
4-2-3-1-5;0.06383
5-2-3-1-4;0.06383
4-2-5-1-3;0.06383
5-2-4-1-3;0.06383
3-4-2-1-5;0.05882
3-5-2-1-4;0.05882
4-3-2-1-5;0.06522
5-3-2-1-4;0.06522
4-5-2-1-3;0.05797
5-4-2-1-3;0.05797
3-4-5-1-2;0.05714
3-5-4-1-2;0.05714
4-3-5-1-2;0.07042
5-3-4-1-2;0.07042
4-5-3-1-2;0.06429
5-4-3-1-2;0.06429
2-3-4-5-1;0.07092
2-3-5-4-1;0.07092
2-4-3-5-1;0.07042
2-5-3-4-1;0.07042
2-4-5-3-1;0.06429
2-5-4-3-1;0.06429
3-2-4-5-1;0.07746
3-2-5-4-1;0.07746
4-2-3-5-1;0.07746
5-2-3-4-1;0.07746
4-2-5-3-1;0.07746
5-2-4-3-1;0.07746
3-4-2-5-1;0.07092
3-5-2-4-1;0.07092
4-3-2-5-1;0.07801
5-3-2-4-1;0.07801
4-5-2-3-1;0.07092
5-4-2-3-1;0.07092
3-4-5-2-1;0.06429
3-5-4-2-1;0.06429
4-3-5-2-1;0.07746
5-3-4-2-1;0.07746
4-5-3-2-1;0.07143
5-4-3-2-1;0.07143
