;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;1479
1-2-3-5-4;1479
1-2-4-3-5;1518
1-2-5-3-4;1518
1-2-4-5-3;1529
1-2-5-4-3;1529
1-3-2-4-5;1485
1-3-2-5-4;1485
1-4-2-3-5;1478
1-5-2-3-4;1478
1-4-2-5-3;1507
1-5-2-4-3;1507
1-3-4-2-5;1522
1-3-5-2-4;1522
1-4-3-2-5;1494
1-5-3-2-4;1494
1-4-5-2-3;1559
1-5-4-2-3;1559
1-3-4-5-2;1549
1-3-5-4-2;1549
1-4-3-5-2;1519
1-5-3-4-2;1519
1-4-5-3-2;1557
1-5-4-3-2;1557
2-1-3-4-5;1474
2-1-3-5-4;1474
2-1-4-3-5;1513
2-1-5-3-4;1513
2-1-4-5-3;1524
2-1-5-4-3;1524
3-1-2-4-5;1468
3-1-2-5-4;1468
4-1-2-3-5;1452
5-1-2-3-4;1452
4-1-2-5-3;1463
5-1-2-4-3;1463
3-1-4-2-5;1511
3-1-5-2-4;1511
4-1-3-2-5;1468
5-1-3-2-4;1468
4-1-5-2-3;1499
5-1-4-2-3;1499
3-1-4-5-2;1523
3-1-5-4-2;1523
4-1-3-5-2;1479
5-1-3-4-2;1479
4-1-5-3-2;1499
5-1-4-3-2;1499
2-3-1-4-5;1487
2-3-1-5-4;1487
2-4-1-3-5;1480
2-5-1-3-4;1480
2-4-1-5-3;1509
2-5-1-4-3;1509
3-2-1-4-5;1478
3-2-1-5-4;1478
4-2-1-3-5;1462
5-2-1-3-4;1462
4-2-1-5-3;1473
5-2-1-4-3;1473
3-4-1-2-5;1491
3-5-1-2-4;1491
4-3-1-2-5;1471
5-3-1-2-4;1471
4-5-1-2-3;1555
5-4-1-2-3;1555
3-4-1-5-2;1519
3-5-1-4-2;1519
4-3-1-5-2;1500
5-3-1-4-2;1500
4-5-1-3-2;1557
5-4-1-3-2;1557
2-3-4-1-5;1528
2-3-5-1-4;1528
2-4-3-1-5;1499
2-5-3-1-4;1499
2-4-5-1-3;1565
2-5-4-1-3;1565
3-2-4-1-5;1514
3-2-5-1-4;1514
4-2-3-1-5;1471
5-2-3-1-4;1471
4-2-5-1-3;1502
5-2-4-1-3;1502
3-4-2-1-5;1502
3-5-2-1-4;1502
4-3-2-1-5;1482
5-3-2-1-4;1482
4-5-2-1-3;1565
5-4-2-1-3;1565
3-4-5-1-2;1572
3-5-4-1-2;1572
4-3-5-1-2;1522
5-3-4-1-2;1522
4-5-3-1-2;1573
5-4-3-1-2;1573
2-3-4-5-1;1552
2-3-5-4-1;1552
2-4-3-5-1;1523
2-5-3-4-1;1523
2-4-5-3-1;1561
2-5-4-3-1;1561
3-2-4-5-1;1530
3-2-5-4-1;1530
4-2-3-5-1;1484
5-2-3-4-1;1484
4-2-5-3-1;1505
5-2-4-3-1;1505
3-4-2-5-1;1526
3-5-2-4-1;1526
4-3-2-5-1;1506
5-3-2-4-1;1506
4-5-2-3-1;1567
5-4-2-3-1;1567
3-4-5-2-1;1566
3-5-4-2-1;1566
4-3-5-2-1;1517
5-3-4-2-1;1517
4-5-3-2-1;1568
5-4-3-2-1;1568
