;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;1175
1-2-3-5-4;1175
1-2-4-3-5;1207
1-2-5-3-4;1207
1-2-4-5-3;1217
1-2-5-4-3;1217
1-3-2-4-5;1182
1-3-2-5-4;1182
1-4-2-3-5;1177
1-5-2-3-4;1177
1-4-2-5-3;1199
1-5-2-4-3;1199
1-3-4-2-5;1210
1-3-5-2-4;1210
1-4-3-2-5;1188
1-5-3-2-4;1188
1-4-5-2-3;1242
1-5-4-2-3;1242
1-3-4-5-2;1234
1-3-5-4-2;1234
1-4-3-5-2;1210
1-5-3-4-2;1210
1-4-5-3-2;1242
1-5-4-3-2;1242
2-1-3-4-5;1169
2-1-3-5-4;1169
2-1-4-3-5;1201
2-1-5-3-4;1201
2-1-4-5-3;1211
2-1-5-4-3;1211
3-1-2-4-5;1162
3-1-2-5-4;1162
4-1-2-3-5;1146
5-1-2-3-4;1146
4-1-2-5-3;1157
5-1-2-4-3;1157
3-1-4-2-5;1198
3-1-5-2-4;1198
4-1-3-2-5;1159
5-1-3-2-4;1159
4-1-5-2-3;1187
5-1-4-2-3;1187
3-1-4-5-2;1209
3-1-5-4-2;1209
4-1-3-5-2;1171
5-1-3-4-2;1171
4-1-5-3-2;1187
5-1-4-3-2;1187
2-3-1-4-5;1184
2-3-1-5-4;1184
2-4-1-3-5;1179
2-5-1-3-4;1179
2-4-1-5-3;1201
2-5-1-4-3;1201
3-2-1-4-5;1174
3-2-1-5-4;1174
4-2-1-3-5;1158
5-2-1-3-4;1158
4-2-1-5-3;1169
5-2-1-4-3;1169
3-4-1-2-5;1188
3-5-1-2-4;1188
4-3-1-2-5;1167
5-3-1-2-4;1167
4-5-1-2-3;1247
5-4-1-2-3;1247
3-4-1-5-2;1209
3-5-1-4-2;1209
4-3-1-5-2;1192
5-3-1-4-2;1192
4-5-1-3-2;1246
5-4-1-3-2;1246
2-3-4-1-5;1216
2-3-5-1-4;1216
2-4-3-1-5;1193
2-5-3-1-4;1193
2-4-5-1-3;1248
2-5-4-1-3;1248
3-2-4-1-5;1202
3-2-5-1-4;1202
4-2-3-1-5;1163
5-2-3-1-4;1163
4-2-5-1-3;1191
5-2-4-1-3;1191
3-4-2-1-5;1196
3-5-2-1-4;1196
4-3-2-1-5;1175
5-3-2-1-4;1175
4-5-2-1-3;1254
5-4-2-1-3;1254
3-4-5-1-2;1255
3-5-4-1-2;1255
4-3-5-1-2;1210
5-3-4-1-2;1210
4-5-3-1-2;1261
5-4-3-1-2;1261
2-3-4-5-1;1236
2-3-5-4-1;1236
2-4-3-5-1;1213
2-5-3-4-1;1213
2-4-5-3-1;1245
2-5-4-3-1;1245
3-2-4-5-1;1216
3-2-5-4-1;1216
4-2-3-5-1;1176
5-2-3-4-1;1176
4-2-5-3-1;1193
5-2-4-3-1;1193
3-4-2-5-1;1216
3-5-2-4-1;1216
4-3-2-5-1;1198
5-3-2-4-1;1198
4-5-2-3-1;1256
5-4-2-3-1;1256
3-4-5-2-1;1250
3-5-4-2-1;1250
4-3-5-2-1;1206
5-3-4-2-1;1206
4-5-3-2-1;1257
5-4-3-2-1;1257
