;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.54438
1-2-3-5-4;0.54438
1-2-4-3-5;0.56287
1-2-5-3-4;0.56287
1-2-4-5-3;0.57530
1-2-5-4-3;0.57530
1-3-2-4-5;0.53982
1-3-2-5-4;0.53982
1-4-2-3-5;0.53097
1-5-2-3-4;0.53097
1-4-2-5-3;0.55000
1-5-2-4-3;0.55000
1-3-4-2-5;0.56456
1-3-5-2-4;0.56456
1-4-3-2-5;0.54006
1-5-3-2-4;0.54006
1-4-5-2-3;0.58485
1-5-4-2-3;0.58485
1-3-4-5-2;0.58133
1-3-5-4-2;0.58133
1-4-3-5-2;0.55988
1-5-3-4-2;0.55988
1-4-5-3-2;0.58006
1-5-4-3-2;0.58006
2-1-3-4-5;0.53468
2-1-3-5-4;0.53468
2-1-4-3-5;0.55263
2-1-5-3-4;0.55263
2-1-4-5-3;0.56471
2-1-5-4-3;0.56471
3-1-2-4-5;0.53757
3-1-2-5-4;0.53757
4-1-2-3-5;0.53602
5-1-2-3-4;0.53602
4-1-2-5-3;0.53602
5-1-2-4-3;0.53602
3-1-4-2-5;0.55718
3-1-5-2-4;0.55718
4-1-3-2-5;0.54070
5-1-3-2-4;0.54070
4-1-5-2-3;0.55263
5-1-4-2-3;0.55263
3-1-4-5-2;0.57101
3-1-5-4-2;0.57101
4-1-3-5-2;0.54678
5-1-3-4-2;0.54678
4-1-5-3-2;0.55685
5-1-4-3-2;0.55685
2-3-1-4-5;0.53529
2-3-1-5-4;0.53529
2-4-1-3-5;0.52647
2-5-1-3-4;0.52647
2-4-1-5-3;0.54545
2-5-1-4-3;0.54545
3-2-1-4-5;0.53198
3-2-1-5-4;0.53198
4-2-1-3-5;0.53043
5-2-1-3-4;0.53043
4-2-1-5-3;0.53043
5-2-1-4-3;0.53043
3-4-1-2-5;0.53869
3-5-1-2-4;0.53869
4-3-1-2-5;0.53666
5-3-1-2-4;0.53666
4-5-1-2-3;0.56535
5-4-1-2-3;0.56535
3-4-1-5-2;0.55621
3-5-1-4-2;0.55621
4-3-1-5-2;0.55490
5-3-1-4-2;0.55490
4-5-1-3-2;0.57273
5-4-1-3-2;0.57273
2-3-4-1-5;0.56456
2-3-5-1-4;0.56456
2-4-3-1-5;0.54167
2-5-3-1-4;0.54167
2-4-5-1-3;0.58485
2-5-4-1-3;0.58485
3-2-4-1-5;0.55425
3-2-5-1-4;0.55425
4-2-3-1-5;0.53779
5-2-3-1-4;0.53779
4-2-5-1-3;0.54971
5-2-4-1-3;0.54971
3-4-2-1-5;0.54491
3-5-2-1-4;0.54491
4-3-2-1-5;0.54277
5-3-2-1-4;0.54277
4-5-2-1-3;0.57187
5-4-2-1-3;0.57187
3-4-5-1-2;0.57958
3-5-4-1-2;0.57958
4-3-5-1-2;0.56716
5-3-4-1-2;0.56716
4-5-3-1-2;0.58154
5-4-3-1-2;0.58154
2-3-4-5-1;0.58084
2-3-5-4-1;0.58084
2-4-3-5-1;0.55952
2-5-3-4-1;0.55952
2-4-5-3-1;0.57958
2-5-4-3-1;0.57958
3-2-4-5-1;0.58133
3-2-5-4-1;0.58133
4-2-3-5-1;0.55655
5-2-3-4-1;0.55655
4-2-5-3-1;0.56677
5-2-4-3-1;0.56677
3-4-2-5-1;0.56287
3-5-2-4-1;0.56287
4-3-2-5-1;0.55988
5-3-2-4-1;0.55988
4-5-2-3-1;0.57798
5-4-2-3-1;0.57798
3-4-5-2-1;0.57784
3-5-4-2-1;0.57784
4-3-5-2-1;0.56548
5-3-4-2-1;0.56548
4-5-3-2-1;0.57975
5-4-3-2-1;0.57975
