;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;8911
1-2-3-5-4;8911
1-2-4-3-5;8871
1-2-5-3-4;8871
1-2-4-5-3;8836
1-2-5-4-3;8836
1-3-2-4-5;8913
1-3-2-5-4;8913
1-4-2-3-5;8919
1-5-2-3-4;8919
1-4-2-5-3;8883
1-5-2-4-3;8883
1-3-4-2-5;8867
1-3-5-2-4;8867
1-4-3-2-5;8898
1-5-3-2-4;8898
1-4-5-2-3;8826
1-5-4-2-3;8826
1-3-4-5-2;8810
1-3-5-4-2;8810
1-4-3-5-2;8857
1-5-3-4-2;8857
1-4-5-3-2;8819
1-5-4-3-2;8819
2-1-3-4-5;8916
2-1-3-5-4;8916
2-1-4-3-5;8875
2-1-5-3-4;8875
2-1-4-5-3;8841
2-1-5-4-3;8841
3-1-2-4-5;8938
3-1-2-5-4;8938
4-1-2-3-5;8960
5-1-2-3-4;8960
4-1-2-5-3;8938
5-1-2-4-3;8938
3-1-4-2-5;8883
3-1-5-2-4;8883
4-1-3-2-5;8938
5-1-3-2-4;8938
4-1-5-2-3;8896
5-1-4-2-3;8896
3-1-4-5-2;8842
3-1-5-4-2;8842
4-1-3-5-2;8907
5-1-3-4-2;8907
4-1-5-3-2;8881
5-1-4-3-2;8881
2-3-1-4-5;8923
2-3-1-5-4;8923
2-4-1-3-5;8926
2-5-1-3-4;8926
2-4-1-5-3;8891
2-5-1-4-3;8891
3-2-1-4-5;8930
3-2-1-5-4;8930
4-2-1-3-5;8951
5-2-1-3-4;8951
4-2-1-5-3;8930
5-2-1-4-3;8930
3-4-1-2-5;8919
3-5-1-2-4;8919
4-3-1-2-5;8942
5-3-1-2-4;8942
4-5-1-2-3;8846
5-4-1-2-3;8846
3-4-1-5-2;8880
3-5-1-4-2;8880
4-3-1-5-2;8898
5-3-1-4-2;8898
4-5-1-3-2;8838
5-4-1-3-2;8838
2-3-4-1-5;8864
2-3-5-1-4;8864
2-4-3-1-5;8896
2-5-3-1-4;8896
2-4-5-1-3;8823
2-5-4-1-3;8823
3-2-4-1-5;8881
3-2-5-1-4;8881
4-2-3-1-5;8936
5-2-3-1-4;8936
4-2-5-1-3;8894
5-2-4-1-3;8894
3-4-2-1-5;8904
3-5-2-1-4;8904
4-3-2-1-5;8926
5-3-2-1-4;8926
4-5-2-1-3;8832
5-4-2-1-3;8832
3-4-5-1-2;8814
3-5-4-1-2;8814
4-3-5-1-2;8868
5-3-4-1-2;8868
4-5-3-1-2;8821
5-4-3-1-2;8821
2-3-4-5-1;8807
2-3-5-4-1;8807
2-4-3-5-1;8853
2-5-3-4-1;8853
2-4-5-3-1;8815
2-5-4-3-1;8815
3-2-4-5-1;8833
3-2-5-4-1;8833
4-2-3-5-1;8900
5-2-3-4-1;8900
4-2-5-3-1;8873
5-2-4-3-1;8873
3-4-2-5-1;8866
3-5-2-4-1;8866
4-3-2-5-1;8884
5-3-2-4-1;8884
4-5-2-3-1;8820
5-4-2-3-1;8820
3-4-5-2-1;8815
3-5-4-2-1;8815
4-3-5-2-1;8869
5-3-4-2-1;8869
4-5-3-2-1;8822
5-4-3-2-1;8822
