;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.27813
1-2-3-5-4;0.27813
1-2-4-3-5;0.26998
1-2-5-3-4;0.26998
1-2-4-5-3;0.25862
1-2-5-4-3;0.25862
1-3-2-4-5;0.28390
1-3-2-5-4;0.28390
1-4-2-3-5;0.29149
1-5-2-3-4;0.29149
1-4-2-5-3;0.27601
1-5-2-4-3;0.27601
1-3-4-2-5;0.26724
1-3-5-2-4;0.26724
1-4-3-2-5;0.28632
1-5-3-2-4;0.28632
1-4-5-2-3;0.26087
1-5-4-2-3;0.26087
1-3-4-5-2;0.25325
1-3-5-4-2;0.25325
1-4-3-5-2;0.27682
1-5-3-4-2;0.27682
1-4-5-3-2;0.26304
1-5-4-3-2;0.26304
2-1-3-4-5;0.27027
2-1-3-5-4;0.27027
2-1-4-3-5;0.26216
2-1-5-3-4;0.26216
2-1-4-5-3;0.25105
2-1-5-4-3;0.25105
3-1-2-4-5;0.27066
3-1-2-5-4;0.27066
4-1-2-3-5;0.27216
5-1-2-3-4;0.27216
4-1-2-5-3;0.27329
5-1-2-4-3;0.27329
3-1-4-2-5;0.25949
3-1-5-2-4;0.25949
4-1-3-2-5;0.26987
5-1-3-2-4;0.26987
4-1-5-2-3;0.25949
5-1-4-2-3;0.25949
3-1-4-5-2;0.24684
3-1-5-4-2;0.24684
4-1-3-5-2;0.26458
5-1-3-4-2;0.26458
4-1-5-3-2;0.25367
5-1-4-3-2;0.25367
2-3-1-4-5;0.28421
2-3-1-5-4;0.28421
2-4-1-3-5;0.29175
2-5-1-3-4;0.29175
2-4-1-5-3;0.27637
2-5-1-4-3;0.27637
3-2-1-4-5;0.27686
3-2-1-5-4;0.27686
4-2-1-3-5;0.27835
5-2-1-3-4;0.27835
4-2-1-5-3;0.27950
5-2-1-4-3;0.27950
3-4-1-2-5;0.29060
3-5-1-2-4;0.29060
4-3-1-2-5;0.27883
5-3-1-2-4;0.27883
4-5-1-2-3;0.28261
5-4-1-2-3;0.28261
3-4-1-5-2;0.27564
3-5-1-4-2;0.27564
4-3-1-5-2;0.27215
5-3-1-4-2;0.27215
4-5-1-3-2;0.27549
5-4-1-3-2;0.27549
2-3-4-1-5;0.26667
2-3-5-1-4;0.26667
2-4-3-1-5;0.28632
2-5-3-1-4;0.28632
2-4-5-1-3;0.26030
2-5-4-1-3;0.26030
3-2-4-1-5;0.26004
3-2-5-1-4;0.26004
4-2-3-1-5;0.27044
5-2-3-1-4;0.27044
4-2-5-1-3;0.26059
5-2-4-1-3;0.26059
3-4-2-1-5;0.28908
3-5-2-1-4;0.28908
4-3-2-1-5;0.27731
5-3-2-1-4;0.27731
4-5-2-1-3;0.28105
5-4-2-1-3;0.28105
3-4-5-1-2;0.26030
3-5-4-1-2;0.26030
4-3-5-1-2;0.26134
5-3-4-1-2;0.26134
4-5-3-1-2;0.27753
5-4-3-1-2;0.27753
2-3-4-5-1;0.25108
2-3-5-4-1;0.25108
2-4-3-5-1;0.27468
2-5-3-4-1;0.27468
2-4-5-3-1;0.26087
2-5-4-3-1;0.26087
3-2-4-5-1;0.24839
3-2-5-4-1;0.24839
4-2-3-5-1;0.26638
5-2-3-4-1;0.26638
4-2-5-3-1;0.25532
5-2-4-3-1;0.25532
3-4-2-5-1;0.27802
3-5-2-4-1;0.27802
4-3-2-5-1;0.27389
5-3-2-4-1;0.27389
4-5-2-3-1;0.27729
5-4-2-3-1;0.27729
3-4-5-2-1;0.25862
3-5-4-2-1;0.25862
4-3-5-2-1;0.25966
5-3-4-2-1;0.25966
4-5-3-2-1;0.27571
5-4-3-2-1;0.27571
