;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;8642036
1-2-3-5-4;8642036
1-2-4-3-5;8661426
1-2-5-3-4;8661426
1-2-4-5-3;8637635
1-2-5-4-3;8637635
1-3-2-4-5;8727307
1-3-2-5-4;8727307
1-4-2-3-5;8692321
1-5-2-3-4;8692321
1-4-2-5-3;8697600
1-5-2-4-3;8697600
1-3-4-2-5;8673116
1-3-5-2-4;8673116
1-4-3-2-5;8656544
1-5-3-2-4;8656544
1-4-5-2-3;8652483
1-5-4-2-3;8652483
1-3-4-5-2;8617559
1-3-5-4-2;8617559
1-4-3-5-2;8652450
1-5-3-4-2;8652450
1-4-5-3-2;8621513
1-5-4-3-2;8621513
2-1-3-4-5;8651009
2-1-3-5-4;8651009
2-1-4-3-5;8668358
2-1-5-3-4;8668358
2-1-4-5-3;8650722
2-1-5-4-3;8650722
3-1-2-4-5;8710950
3-1-2-5-4;8710950
4-1-2-3-5;8723166
5-1-2-3-4;8723166
4-1-2-5-3;8689981
5-1-2-4-3;8689981
3-1-4-2-5;8694182
3-1-5-2-4;8694182
4-1-3-2-5;8685708
5-1-3-2-4;8685708
4-1-5-2-3;8683004
5-1-4-2-3;8683004
3-1-4-5-2;8651455
3-1-5-4-2;8651455
4-1-3-5-2;8715359
5-1-3-4-2;8715359
4-1-5-3-2;8679849
5-1-4-3-2;8679849
2-3-1-4-5;8695792
2-3-1-5-4;8695792
2-4-1-3-5;8643851
2-5-1-3-4;8643851
2-4-1-5-3;8659034
2-5-1-4-3;8659034
3-2-1-4-5;8705000
3-2-1-5-4;8705000
4-2-1-3-5;8708490
5-2-1-3-4;8708490
4-2-1-5-3;8683994
5-2-1-4-3;8683994
3-4-1-2-5;8643903
3-5-1-2-4;8643903
4-3-1-2-5;8687535
5-3-1-2-4;8687535
4-5-1-2-3;8625321
5-4-1-2-3;8625321
3-4-1-5-2;8661088
3-5-1-4-2;8661088
4-3-1-5-2;8661417
5-3-1-4-2;8661417
4-5-1-3-2;8619808
5-4-1-3-2;8619808
2-3-4-1-5;8602967
2-3-5-1-4;8602967
2-4-3-1-5;8588590
2-5-3-1-4;8588590
2-4-5-1-3;8580615
2-5-4-1-3;8580615
3-2-4-1-5;8634463
3-2-5-1-4;8634463
4-2-3-1-5;8646209
5-2-3-1-4;8646209
4-2-5-1-3;8623354
5-2-4-1-3;8623354
3-4-2-1-5;8655815
3-5-2-1-4;8655815
4-3-2-1-5;8688037
5-3-2-1-4;8688037
4-5-2-1-3;8637337
5-4-2-1-3;8637337
3-4-5-1-2;8567085
3-5-4-1-2;8567085
4-3-5-1-2;8571184
5-3-4-1-2;8571184
4-5-3-1-2;8631251
5-4-3-1-2;8631251
2-3-4-5-1;8608992
2-3-5-4-1;8608992
2-4-3-5-1;8623576
2-5-3-4-1;8623576
2-4-5-3-1;8592572
2-5-4-3-1;8592572
3-2-4-5-1;8641019
3-2-5-4-1;8641019
4-2-3-5-1;8686920
5-2-3-4-1;8686920
4-2-5-3-1;8651545
5-2-4-3-1;8651545
3-4-2-5-1;8658516
3-5-2-4-1;8658516
4-3-2-5-1;8660105
5-3-2-4-1;8660105
4-5-2-3-1;8623081
5-4-2-3-1;8623081
3-4-5-2-1;8607584
3-5-4-2-1;8607584
4-3-5-2-1;8611525
5-3-4-2-1;8611525
4-5-3-2-1;8671642
5-4-3-2-1;8671642
