;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;8641191
1-2-3-5-4;8641191
1-2-4-3-5;8660635
1-2-5-3-4;8660635
1-2-4-5-3;8636856
1-2-5-4-3;8636856
1-3-2-4-5;8726465
1-3-2-5-4;8726465
1-4-2-3-5;8691444
1-5-2-3-4;8691444
1-4-2-5-3;8696760
1-5-2-4-3;8696760
1-3-4-2-5;8672333
1-3-5-2-4;8672333
1-4-3-2-5;8655688
1-5-3-2-4;8655688
1-4-5-2-3;8651728
1-5-4-2-3;8651728
1-3-4-5-2;8616798
1-3-5-4-2;8616798
1-4-3-5-2;8651592
1-5-3-4-2;8651592
1-4-5-3-2;8620753
1-5-4-3-2;8620753
2-1-3-4-5;8650176
2-1-3-5-4;8650176
2-1-4-3-5;8667579
2-1-5-3-4;8667579
2-1-4-5-3;8649955
2-1-5-4-3;8649955
3-1-2-4-5;8710094
3-1-2-5-4;8710094
4-1-2-3-5;8722293
5-1-2-3-4;8722293
4-1-2-5-3;8689115
5-1-2-4-3;8689115
3-1-4-2-5;8693399
3-1-5-2-4;8693399
4-1-3-2-5;8684870
5-1-3-2-4;8684870
4-1-5-2-3;8682213
5-1-4-2-3;8682213
3-1-4-5-2;8650707
3-1-5-4-2;8650707
4-1-3-5-2;8714550
5-1-3-4-2;8714550
4-1-5-3-2;8679073
5-1-4-3-2;8679073
2-3-1-4-5;8694931
2-3-1-5-4;8694931
2-4-1-3-5;8642955
2-5-1-3-4;8642955
2-4-1-5-3;8658175
2-5-1-4-3;8658175
3-2-1-4-5;8704111
3-2-1-5-4;8704111
4-2-1-3-5;8707584
5-2-1-3-4;8707584
4-2-1-5-3;8683095
5-2-1-4-3;8683095
3-4-1-2-5;8643019
3-5-1-2-4;8643019
4-3-1-2-5;8686638
5-3-1-2-4;8686638
4-5-1-2-3;8624446
5-4-1-2-3;8624446
3-4-1-5-2;8660235
3-5-1-4-2;8660235
4-3-1-5-2;8660559
5-3-1-4-2;8660559
4-5-1-3-2;8618968
5-4-1-3-2;8618968
2-3-4-1-5;8602183
2-3-5-1-4;8602183
2-4-3-1-5;8587733
2-5-3-1-4;8587733
2-4-5-1-3;8579859
2-5-4-1-3;8579859
3-2-4-1-5;8633669
3-2-5-1-4;8633669
4-2-3-1-5;8645360
5-2-3-1-4;8645360
4-2-5-1-3;8622552
5-2-4-1-3;8622552
3-4-2-1-5;8654958
3-5-2-1-4;8654958
4-3-2-1-5;8687167
5-3-2-1-4;8687167
4-5-2-1-3;8636489
5-4-2-1-3;8636489
3-4-5-1-2;8566336
3-5-4-1-2;8566336
4-3-5-1-2;8570392
5-3-4-1-2;8570392
4-5-3-1-2;8630436
5-4-3-1-2;8630436
2-3-4-5-1;8608239
2-3-5-4-1;8608239
2-4-3-5-1;8622726
2-5-3-4-1;8622726
2-4-5-3-1;8591820
2-5-4-3-1;8591820
3-2-4-5-1;8640261
3-2-5-4-1;8640261
4-2-3-5-1;8686101
5-2-3-4-1;8686101
4-2-5-3-1;8650759
5-2-4-3-1;8650759
3-4-2-5-1;8657665
3-5-2-4-1;8657665
4-3-2-5-1;8659240
5-3-2-4-1;8659240
4-5-2-3-1;8622234
5-4-2-3-1;8622234
3-4-5-2-1;8606823
3-5-4-2-1;8606823
4-3-5-2-1;8610721
5-3-4-2-1;8610721
4-5-3-2-1;8670815
5-4-3-2-1;8670815
