;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;830
1-2-3-5-4;830
1-2-4-3-5;785
1-2-5-3-4;785
1-2-4-5-3;766
1-2-5-4-3;766
1-3-2-4-5;827
1-3-2-5-4;827
1-4-2-3-5;862
1-5-2-3-4;862
1-4-2-5-3;825
1-5-2-4-3;825
1-3-4-2-5;779
1-3-5-2-4;779
1-4-3-2-5;852
1-5-3-2-4;852
1-4-5-2-3;751
1-5-4-2-3;751
1-3-4-5-2;748
1-3-5-4-2;748
1-4-3-5-2;845
1-5-3-4-2;845
1-4-5-3-2;749
1-5-4-3-2;749
2-1-3-4-5;818
2-1-3-5-4;818
2-1-4-3-5;773
2-1-5-3-4;773
2-1-4-5-3;754
2-1-5-4-3;754
3-1-2-4-5;841
3-1-2-5-4;841
4-1-2-3-5;858
5-1-2-3-4;858
4-1-2-5-3;851
5-1-2-4-3;851
3-1-4-2-5;777
3-1-5-2-4;777
4-1-3-2-5;832
5-1-3-2-4;832
4-1-5-2-3;785
5-1-4-2-3;785
3-1-4-5-2;735
3-1-5-4-2;735
4-1-3-5-2;796
5-1-3-4-2;796
4-1-5-3-2;763
5-1-4-3-2;763
2-3-1-4-5;847
2-3-1-5-4;847
2-4-1-3-5;882
2-5-1-3-4;882
2-4-1-5-3;845
2-5-1-4-3;845
3-2-1-4-5;875
3-2-1-5-4;875
4-2-1-3-5;892
5-2-1-3-4;892
4-2-1-5-3;885
5-2-1-4-3;885
3-4-1-2-5;868
3-5-1-2-4;868
4-3-1-2-5;881
5-3-1-2-4;881
4-5-1-2-3;864
5-4-1-2-3;864
3-4-1-5-2;837
3-5-1-4-2;837
4-3-1-5-2;842
5-3-1-4-2;842
4-5-1-3-2;829
5-4-1-3-2;829
2-3-4-1-5;780
2-3-5-1-4;780
2-4-3-1-5;853
2-5-3-1-4;853
2-4-5-1-3;752
2-5-4-1-3;752
3-2-4-1-5;787
3-2-5-1-4;787
4-2-3-1-5;842
5-2-3-1-4;842
4-2-5-1-3;795
5-2-4-1-3;795
3-4-2-1-5;849
3-5-2-1-4;849
4-3-2-1-5;862
5-3-2-1-4;862
4-5-2-1-3;845
5-4-2-1-3;845
3-4-5-1-2;743
3-5-4-1-2;743
4-3-5-1-2;783
5-3-4-1-2;783
4-5-3-1-2;812
5-4-3-1-2;812
2-3-4-5-1;740
2-3-5-4-1;740
2-4-3-5-1;837
2-5-3-4-1;837
2-4-5-3-1;741
2-5-4-3-1;741
3-2-4-5-1;745
3-2-5-4-1;745
4-2-3-5-1;806
5-2-3-4-1;806
4-2-5-3-1;773
5-2-4-3-1;773
3-4-2-5-1;837
3-5-2-4-1;837
4-3-2-5-1;851
5-3-2-4-1;851
4-5-2-3-1;838
5-4-2-3-1;838
3-4-5-2-1;748
3-5-4-2-1;748
4-3-5-2-1;788
5-3-4-2-1;788
4-5-3-2-1;817
5-4-3-2-1;817
