;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.08287
1-2-3-5-4;0.08287
1-2-4-3-5;0.05714
1-2-5-3-4;0.05714
1-2-4-5-3;0.08966
1-2-5-4-3;0.08966
1-3-2-4-5;0.08287
1-3-2-5-4;0.08287
1-4-2-3-5;0.08287
1-5-2-3-4;0.08287
1-4-2-5-3;0.08287
1-5-2-4-3;0.08287
1-3-4-2-5;0.04444
1-3-5-2-4;0.04444
1-4-3-2-5;0.04444
1-5-3-2-4;0.04444
1-4-5-2-3;0.04444
1-5-4-2-3;0.04444
1-3-4-5-2;0.08966
1-3-5-4-2;0.08966
1-4-3-5-2;0.08966
1-5-3-4-2;0.08966
1-4-5-3-2;0.08462
1-5-4-3-2;0.08462
2-1-3-4-5;0.08287
2-1-3-5-4;0.08287
2-1-4-3-5;0.05714
2-1-5-3-4;0.05714
2-1-4-5-3;0.08966
2-1-5-4-3;0.08966
3-1-2-4-5;0.08287
3-1-2-5-4;0.08287
4-1-2-3-5;0.08287
5-1-2-3-4;0.08287
4-1-2-5-3;0.08287
5-1-2-4-3;0.08287
3-1-4-2-5;0.05714
3-1-5-2-4;0.05714
4-1-3-2-5;0.05714
5-1-3-2-4;0.05714
4-1-5-2-3;0.05714
5-1-4-2-3;0.05714
3-1-4-5-2;0.08966
3-1-5-4-2;0.08966
4-1-3-5-2;0.08966
5-1-3-4-2;0.08966
4-1-5-3-2;0.08966
5-1-4-3-2;0.08966
2-3-1-4-5;0.08917
2-3-1-5-4;0.08917
2-4-1-3-5;0.08917
2-5-1-3-4;0.08917
2-4-1-5-3;0.08917
2-5-1-4-3;0.08917
3-2-1-4-5;0.08917
3-2-1-5-4;0.08917
4-2-1-3-5;0.08917
5-2-1-3-4;0.08917
4-2-1-5-3;0.08917
5-2-1-4-3;0.08917
3-4-1-2-5;0.10191
3-5-1-2-4;0.10191
4-3-1-2-5;0.10191
5-3-1-2-4;0.10191
4-5-1-2-3;0.08527
5-4-1-2-3;0.08527
3-4-1-5-2;0.10191
3-5-1-4-2;0.10191
4-3-1-5-2;0.10191
5-3-1-4-2;0.10191
4-5-1-3-2;0.08527
5-4-1-3-2;0.08527
2-3-4-1-5;0.04444
2-3-5-1-4;0.04444
2-4-3-1-5;0.04444
2-5-3-1-4;0.04444
2-4-5-1-3;0.04444
2-5-4-1-3;0.04444
3-2-4-1-5;0.06667
3-2-5-1-4;0.06667
4-2-3-1-5;0.06667
5-2-3-1-4;0.06667
4-2-5-1-3;0.06667
5-2-4-1-3;0.06667
3-4-2-1-5;0.09877
3-5-2-1-4;0.09877
4-3-2-1-5;0.09877
5-3-2-1-4;0.09877
4-5-2-1-3;0.05660
5-4-2-1-3;0.05660
3-4-5-1-2;0.06667
3-5-4-1-2;0.06667
4-3-5-1-2;0.08571
5-3-4-1-2;0.08571
4-5-3-1-2;0.05660
5-4-3-1-2;0.05660
2-3-4-5-1;0.08966
2-3-5-4-1;0.08966
2-4-3-5-1;0.08966
2-5-3-4-1;0.08966
2-4-5-3-1;0.08462
2-5-4-3-1;0.08462
3-2-4-5-1;0.08966
3-2-5-4-1;0.08966
4-2-3-5-1;0.08966
5-2-3-4-1;0.08966
4-2-5-3-1;0.08966
5-2-4-3-1;0.08966
3-4-2-5-1;0.11570
3-5-2-4-1;0.11570
4-3-2-5-1;0.11570
5-3-2-4-1;0.11570
4-5-2-3-1;0.09677
5-4-2-3-1;0.09677
3-4-5-2-1;0.10000
3-5-4-2-1;0.10000
4-3-5-2-1;0.11034
5-3-4-2-1;0.11034
4-5-3-2-1;0.10753
5-4-3-2-1;0.10753
