;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.10356
1-2-3-5-4;0.10356
1-2-4-3-5;0.10138
1-2-5-3-4;0.10138
1-2-4-5-3;0.09961
1-2-5-4-3;0.09961
1-3-2-4-5;0.10189
1-3-2-5-4;0.10189
1-4-2-3-5;0.10361
1-5-2-3-4;0.10361
1-4-2-5-3;0.10380
1-5-2-4-3;0.10380
1-3-4-2-5;0.10116
1-3-5-2-4;0.10116
1-4-3-2-5;0.10400
1-5-3-2-4;0.10400
1-4-5-2-3;0.10113
1-5-4-2-3;0.10113
1-3-4-5-2;0.09949
1-3-5-4-2;0.09949
1-4-3-5-2;0.10611
1-5-3-4-2;0.10611
1-4-5-3-2;0.10101
1-5-4-3-2;0.10101
2-1-3-4-5;0.10341
2-1-3-5-4;0.10341
2-1-4-3-5;0.10121
2-1-5-3-4;0.10121
2-1-4-5-3;0.09943
2-1-5-4-3;0.09943
3-1-2-4-5;0.10409
3-1-2-5-4;0.10409
4-1-2-3-5;0.10462
5-1-2-3-4;0.10462
4-1-2-5-3;0.10351
5-1-2-4-3;0.10351
3-1-4-2-5;0.10218
3-1-5-2-4;0.10218
4-1-3-2-5;0.10464
5-1-3-2-4;0.10464
4-1-5-2-3;0.10184
5-1-4-2-3;0.10184
3-1-4-5-2;0.09891
3-1-5-4-2;0.09891
4-1-3-5-2;0.10271
5-1-3-4-2;0.10271
4-1-5-3-2;0.10182
5-1-4-3-2;0.10182
2-3-1-4-5;0.10288
2-3-1-5-4;0.10288
2-4-1-3-5;0.10457
2-5-1-3-4;0.10457
2-4-1-5-3;0.10479
2-5-1-4-3;0.10479
3-2-1-4-5;0.10659
3-2-1-5-4;0.10659
4-2-1-3-5;0.10711
5-2-1-3-4;0.10711
4-2-1-5-3;0.10600
5-2-1-4-3;0.10600
3-4-1-2-5;0.10614
3-5-1-2-4;0.10614
4-3-1-2-5;0.10825
5-3-1-2-4;0.10825
4-5-1-2-3;0.10865
5-4-1-2-3;0.10865
3-4-1-5-2;0.10476
3-5-1-4-2;0.10476
4-3-1-5-2;0.10612
5-3-1-4-2;0.10612
4-5-1-3-2;0.10658
5-4-1-3-2;0.10658
2-3-4-1-5;0.10183
2-3-5-1-4;0.10183
2-4-3-1-5;0.10463
2-5-3-1-4;0.10463
2-4-5-1-3;0.10182
2-5-4-1-3;0.10182
3-2-4-1-5;0.10305
3-2-5-1-4;0.10305
4-2-3-1-5;0.10548
5-2-3-1-4;0.10548
4-2-5-1-3;0.10271
5-2-4-1-3;0.10271
3-4-2-1-5;0.10371
3-5-2-1-4;0.10371
4-3-2-1-5;0.10578
5-3-2-1-4;0.10578
4-5-2-1-3;0.10613
5-4-2-1-3;0.10613
3-4-5-1-2;0.10066
3-5-4-1-2;0.10066
4-3-5-1-2;0.10327
5-3-4-1-2;0.10327
4-5-3-1-2;0.10464
5-4-3-1-2;0.10464
2-3-4-5-1;0.09930
2-3-5-4-1;0.09930
2-4-3-5-1;0.10597
2-5-3-4-1;0.10597
2-4-5-3-1;0.10083
2-5-4-3-1;0.10083
3-2-4-5-1;0.10016
3-2-5-4-1;0.10016
4-2-3-5-1;0.10390
5-2-3-4-1;0.10390
4-2-5-3-1;0.10305
5-2-4-3-1;0.10305
3-4-2-5-1;0.10601
3-5-2-4-1;0.10601
4-3-2-5-1;0.10714
5-3-2-4-1;0.10714
4-5-2-3-1;0.10763
5-4-2-3-1;0.10763
3-4-5-2-1;0.10129
3-5-4-2-1;0.10129
4-3-5-2-1;0.10388
5-3-4-2-1;0.10388
4-5-3-2-1;0.10522
5-4-3-2-1;0.10522
