;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;981
1-2-3-5-4;981
1-2-4-3-5;916
1-2-5-3-4;916
1-2-4-5-3;877
1-2-5-4-3;877
1-3-2-4-5;984
1-3-2-5-4;984
1-4-2-3-5;1016
1-5-2-3-4;1016
1-4-2-5-3;979
1-5-2-4-3;979
1-3-4-2-5;907
1-3-5-2-4;907
1-4-3-2-5;998
1-5-3-2-4;998
1-4-5-2-3;879
1-5-4-2-3;879
1-3-4-5-2;858
1-3-5-4-2;858
1-4-3-5-2;1001
1-5-3-4-2;1001
1-4-5-3-2;891
1-5-4-3-2;891
2-1-3-4-5;974
2-1-3-5-4;974
2-1-4-3-5;909
2-1-5-3-4;909
2-1-4-5-3;870
2-1-5-4-3;870
3-1-2-4-5;991
3-1-2-5-4;991
4-1-2-3-5;999
5-1-2-3-4;999
4-1-2-5-3;995
5-1-2-4-3;995
3-1-4-2-5;912
3-1-5-2-4;912
4-1-3-2-5;971
5-1-3-2-4;971
4-1-5-2-3;911
5-1-4-2-3;911
3-1-4-5-2;850
3-1-5-4-2;850
4-1-3-5-2;954
5-1-3-4-2;954
4-1-5-3-2;905
5-1-4-3-2;905
2-3-1-4-5;1000
2-3-1-5-4;1000
2-4-1-3-5;1032
2-5-1-3-4;1032
2-4-1-5-3;995
2-5-1-4-3;995
3-2-1-4-5;1033
3-2-1-5-4;1033
4-2-1-3-5;1041
5-2-1-3-4;1041
4-2-1-5-3;1037
5-2-1-4-3;1037
3-4-1-2-5;1032
3-5-1-2-4;1032
4-3-1-2-5;1030
5-3-1-2-4;1030
4-5-1-2-3;1014
5-4-1-2-3;1014
3-4-1-5-2;983
3-5-1-4-2;983
4-3-1-5-2;996
5-3-1-4-2;996
4-5-1-3-2;980
5-4-1-3-2;980
2-3-4-1-5;913
2-3-5-1-4;913
2-4-3-1-5;1004
2-5-3-1-4;1004
2-4-5-1-3;885
2-5-4-1-3;885
3-2-4-1-5;921
3-2-5-1-4;921
4-2-3-1-5;980
5-2-3-1-4;980
4-2-5-1-3;920
5-2-4-1-3;920
3-4-2-1-5;1003
3-5-2-1-4;1003
4-3-2-1-5;1001
5-3-2-1-4;1001
4-5-2-1-3;985
5-4-2-1-3;985
3-4-5-1-2;878
3-5-4-1-2;878
4-3-5-1-2;909
5-3-4-1-2;909
4-5-3-1-2;951
5-4-3-1-2;951
2-3-4-5-1;851
2-3-5-4-1;851
2-4-3-5-1;994
2-5-3-4-1;994
2-4-5-3-1;884
2-5-4-3-1;884
3-2-4-5-1;856
3-2-5-4-1;856
4-2-3-5-1;960
5-2-3-4-1;960
4-2-5-3-1;911
5-2-4-3-1;911
3-4-2-5-1;1000
3-5-2-4-1;1000
4-3-2-5-1;1011
5-3-2-4-1;1011
4-5-2-3-1;995
5-4-2-3-1;995
3-4-5-2-1;888
3-5-4-2-1;888
4-3-5-2-1;919
5-3-4-2-1;919
4-5-3-2-1;961
5-4-3-2-1;961
