;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;37
1-2-3-5-4;37
1-2-4-3-5;28
1-2-5-3-4;28
1-2-4-5-3;35
1-2-5-4-3;35
1-3-2-4-5;37
1-3-2-5-4;37
1-4-2-3-5;31
1-5-2-3-4;31
1-4-2-5-3;31
1-5-2-4-3;31
1-3-4-2-5;26
1-3-5-2-4;26
1-4-3-2-5;20
1-5-3-2-4;20
1-4-5-2-3;20
1-5-4-2-3;20
1-3-4-5-2;29
1-3-5-4-2;29
1-4-3-5-2;29
1-5-3-4-2;29
1-4-5-3-2;27
1-5-4-3-2;27
2-1-3-4-5;34
2-1-3-5-4;34
2-1-4-3-5;25
2-1-5-3-4;25
2-1-4-5-3;32
2-1-5-4-3;32
3-1-2-4-5;34
3-1-2-5-4;34
4-1-2-3-5;34
5-1-2-3-4;34
4-1-2-5-3;34
5-1-2-4-3;34
3-1-4-2-5;25
3-1-5-2-4;25
4-1-3-2-5;25
5-1-3-2-4;25
4-1-5-2-3;25
5-1-4-2-3;25
3-1-4-5-2;32
3-1-5-4-2;32
4-1-3-5-2;32
5-1-3-4-2;32
4-1-5-3-2;32
5-1-4-3-2;32
2-3-1-4-5;33
2-3-1-5-4;33
2-4-1-3-5;27
2-5-1-3-4;27
2-4-1-5-3;27
2-5-1-4-3;27
3-2-1-4-5;33
3-2-1-5-4;33
4-2-1-3-5;33
5-2-1-3-4;33
4-2-1-5-3;33
5-2-1-4-3;33
3-4-1-2-5;29
3-5-1-2-4;29
4-3-1-2-5;35
5-3-1-2-4;35
4-5-1-2-3;24
5-4-1-2-3;24
3-4-1-5-2;27
3-5-1-4-2;27
4-3-1-5-2;33
5-3-1-4-2;33
4-5-1-3-2;22
5-4-1-3-2;22
2-3-4-1-5;23
2-3-5-1-4;23
2-4-3-1-5;17
2-5-3-1-4;17
2-4-5-1-3;17
2-5-4-1-3;17
3-2-4-1-5;26
3-2-5-1-4;26
4-2-3-1-5;26
5-2-3-1-4;26
4-2-5-1-3;26
5-2-4-1-3;26
3-4-2-1-5;21
3-5-2-1-4;21
4-3-2-1-5;27
5-3-2-1-4;27
4-5-2-1-3;16
5-4-2-1-3;16
3-4-5-1-2;19
3-5-4-1-2;19
4-3-5-1-2;28
5-3-4-1-2;28
4-5-3-1-2;18
5-4-3-1-2;18
2-3-4-5-1;26
2-3-5-4-1;26
2-4-3-5-1;26
2-5-3-4-1;26
2-4-5-3-1;24
2-5-4-3-1;24
3-2-4-5-1;32
3-2-5-4-1;32
4-2-3-5-1;32
5-2-3-4-1;32
4-2-5-3-1;32
5-2-4-3-1;32
3-4-2-5-1;27
3-5-2-4-1;27
4-3-2-5-1;33
5-3-2-4-1;33
4-5-2-3-1;22
5-4-2-3-1;22
3-4-5-2-1;26
3-5-4-2-1;26
4-3-5-2-1;35
5-3-4-2-1;35
4-5-3-2-1;25
5-4-3-2-1;25
