;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;7055613
1-2-3-5-4;7055613
1-2-4-3-5;7051681
1-2-5-3-4;7051681
1-2-4-5-3;7052654
1-2-5-4-3;7052654
1-3-2-4-5;7100032
1-3-2-5-4;7100032
1-4-2-3-5;7089158
1-5-2-3-4;7089158
1-4-2-5-3;7084600
1-5-2-4-3;7084600
1-3-4-2-5;7044075
1-3-5-2-4;7044075
1-4-3-2-5;7064408
1-5-3-2-4;7064408
1-4-5-2-3;7034166
1-5-4-2-3;7034166
1-3-4-5-2;7043272
1-3-5-4-2;7043272
1-4-3-5-2;7072325
1-5-3-4-2;7072325
1-4-5-3-2;7049328
1-5-4-3-2;7049328
2-1-3-4-5;7058395
2-1-3-5-4;7058395
2-1-4-3-5;7054217
2-1-5-3-4;7054217
2-1-4-5-3;7037345
2-1-5-4-3;7037345
3-1-2-4-5;7125278
3-1-2-5-4;7125278
4-1-2-3-5;7128424
5-1-2-3-4;7128424
4-1-2-5-3;7122100
5-1-2-4-3;7122100
3-1-4-2-5;7057242
3-1-5-2-4;7057242
4-1-3-2-5;7095670
5-1-3-2-4;7095670
4-1-5-2-3;7058652
5-1-4-2-3;7058652
3-1-4-5-2;7054520
3-1-5-4-2;7054520
4-1-3-5-2;7082095
5-1-3-4-2;7082095
4-1-5-3-2;7041384
5-1-4-3-2;7041384
2-3-1-4-5;7119352
2-3-1-5-4;7119352
2-4-1-3-5;7104419
2-5-1-3-4;7104419
2-4-1-5-3;7103256
2-5-1-4-3;7103256
3-2-1-4-5;7132525
3-2-1-5-4;7132525
4-2-1-3-5;7132800
5-2-1-3-4;7132800
4-2-1-5-3;7129470
5-2-1-4-3;7129470
3-4-1-2-5;7104515
3-5-1-2-4;7104515
4-3-1-2-5;7133722
5-3-1-2-4;7133722
4-5-1-2-3;7117557
5-4-1-2-3;7117557
3-4-1-5-2;7122031
3-5-1-4-2;7122031
4-3-1-5-2;7130023
5-3-1-4-2;7130023
4-5-1-3-2;7121813
5-4-1-3-2;7121813
2-3-4-1-5;7040535
2-3-5-1-4;7040535
2-4-3-1-5;7067434
2-5-3-1-4;7067434
2-4-5-1-3;7035326
2-5-4-1-3;7035326
3-2-4-1-5;7048767
3-2-5-1-4;7048767
4-2-3-1-5;7086355
5-2-3-1-4;7086355
4-2-5-1-3;7050029
5-2-4-1-3;7050029
3-4-2-1-5;7092023
3-5-2-1-4;7092023
4-3-2-1-5;7118320
5-3-2-1-4;7118320
4-5-2-1-3;7105106
5-4-2-1-3;7105106
3-4-5-1-2;7058887
3-5-4-1-2;7058887
4-3-5-1-2;7048339
5-3-4-1-2;7048339
4-5-3-1-2;7085502
5-4-3-1-2;7085502
2-3-4-5-1;7085094
2-3-5-4-1;7085094
2-4-3-5-1;7129351
2-5-3-4-1;7129351
2-4-5-3-1;7106292
2-5-4-3-1;7106292
3-2-4-5-1;7105504
3-2-5-4-1;7105504
4-2-3-5-1;7134056
5-2-3-4-1;7134056
4-2-5-3-1;7092857
5-2-4-3-1;7092857
3-4-2-5-1;7166650
3-5-2-4-1;7166650
4-3-2-5-1;7174839
5-3-2-4-1;7174839
4-5-2-3-1;7166375
5-4-2-3-1;7166375
3-4-5-2-1;7115865
3-5-4-2-1;7115865
4-3-5-2-1;7105478
5-3-4-2-1;7105478
4-5-3-2-1;7153031
5-4-3-2-1;7153031
