;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.03995
1-2-3-5-4;0.03995
1-2-4-3-5;0.03993
1-2-5-3-4;0.03993
1-2-4-5-3;0.04007
1-2-5-4-3;0.04007
1-3-2-4-5;0.04002
1-3-2-5-4;0.04002
1-4-2-3-5;0.03999
1-5-2-3-4;0.03999
1-4-2-5-3;0.03993
1-5-2-4-3;0.03993
1-3-4-2-5;0.03986
1-3-5-2-4;0.03986
1-4-3-2-5;0.03999
1-5-3-2-4;0.03999
1-4-5-2-3;0.03986
1-5-4-2-3;0.03986
1-3-4-5-2;0.04006
1-3-5-4-2;0.04006
1-4-3-5-2;0.04002
1-5-3-4-2;0.04002
1-4-5-3-2;0.03997
1-5-4-3-2;0.03997
2-1-3-4-5;0.04006
2-1-3-5-4;0.04006
2-1-4-3-5;0.04003
2-1-5-3-4;0.04003
2-1-4-5-3;0.04009
2-1-5-4-3;0.04009
3-1-2-4-5;0.04042
3-1-2-5-4;0.04042
4-1-2-3-5;0.04040
5-1-2-3-4;0.04040
4-1-2-5-3;0.04042
5-1-2-4-3;0.04042
3-1-4-2-5;0.04006
3-1-5-2-4;0.04006
4-1-3-2-5;0.04030
5-1-3-2-4;0.04030
4-1-5-2-3;0.04016
5-1-4-2-3;0.04016
3-1-4-5-2;0.04027
3-1-5-4-2;0.04027
4-1-3-5-2;0.04031
5-1-3-4-2;0.04031
4-1-5-3-2;0.04022
5-1-4-3-2;0.04022
2-3-1-4-5;0.04048
2-3-1-5-4;0.04048
2-4-1-3-5;0.04045
2-5-1-3-4;0.04045
2-4-1-5-3;0.04040
2-5-1-4-3;0.04040
3-2-1-4-5;0.04052
3-2-1-5-4;0.04052
4-2-1-3-5;0.04050
5-2-1-3-4;0.04050
4-2-1-5-3;0.04052
5-2-1-4-3;0.04052
3-4-1-2-5;0.04031
3-5-1-2-4;0.04031
4-3-1-2-5;0.04041
5-3-1-2-4;0.04041
4-5-1-2-3;0.04040
5-4-1-2-3;0.04040
3-4-1-5-2;0.04048
3-5-1-4-2;0.04048
4-3-1-5-2;0.04053
5-3-1-4-2;0.04053
4-5-1-3-2;0.04048
5-4-1-3-2;0.04048
2-3-4-1-5;0.03969
2-3-5-1-4;0.03969
2-4-3-1-5;0.03989
2-5-3-1-4;0.03989
2-4-5-1-3;0.03973
2-5-4-1-3;0.03973
3-2-4-1-5;0.03972
3-2-5-1-4;0.03972
4-2-3-1-5;0.03995
5-2-3-1-4;0.03995
4-2-5-1-3;0.03981
5-2-4-1-3;0.03981
3-4-2-1-5;0.04000
3-5-2-1-4;0.04000
4-3-2-1-5;0.04009
5-3-2-1-4;0.04009
4-5-2-1-3;0.04009
5-4-2-1-3;0.04009
3-4-5-1-2;0.03985
3-5-4-1-2;0.03985
4-3-5-1-2;0.03983
5-3-4-1-2;0.03983
4-5-3-1-2;0.03994
5-4-3-1-2;0.03994
2-3-4-5-1;0.04027
2-3-5-4-1;0.04027
2-4-3-5-1;0.04037
2-5-3-4-1;0.04037
2-4-5-3-1;0.04032
2-5-4-3-1;0.04032
3-2-4-5-1;0.04046
3-2-5-4-1;0.04046
4-2-3-5-1;0.04050
5-2-3-4-1;0.04050
4-2-5-3-1;0.04041
5-2-4-3-1;0.04041
3-4-2-5-1;0.04058
3-5-2-4-1;0.04058
4-3-2-5-1;0.04063
5-3-2-4-1;0.04063
4-5-2-3-1;0.04055
5-4-2-3-1;0.04055
3-4-5-2-1;0.04035
3-5-4-2-1;0.04035
4-3-5-2-1;0.04034
5-3-4-2-1;0.04034
4-5-3-2-1;0.04046
5-4-3-2-1;0.04046
