;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.18232
1-2-3-5-4;0.18232
1-2-4-3-5;0.21905
1-2-5-3-4;0.21905
1-2-4-5-3;0.15862
1-2-5-4-3;0.15862
1-3-2-4-5;0.18232
1-3-2-5-4;0.18232
1-4-2-3-5;0.18232
1-5-2-3-4;0.18232
1-4-2-5-3;0.18232
1-5-2-4-3;0.18232
1-3-4-2-5;0.22222
1-3-5-2-4;0.22222
1-4-3-2-5;0.22222
1-5-3-2-4;0.22222
1-4-5-2-3;0.22222
1-5-4-2-3;0.22222
1-3-4-5-2;0.15862
1-3-5-4-2;0.15862
1-4-3-5-2;0.15862
1-5-3-4-2;0.15862
1-4-5-3-2;0.15385
1-5-4-3-2;0.15385
2-1-3-4-5;0.18232
2-1-3-5-4;0.18232
2-1-4-3-5;0.21905
2-1-5-3-4;0.21905
2-1-4-5-3;0.15862
2-1-5-4-3;0.15862
3-1-2-4-5;0.18232
3-1-2-5-4;0.18232
4-1-2-3-5;0.18232
5-1-2-3-4;0.18232
4-1-2-5-3;0.18232
5-1-2-4-3;0.18232
3-1-4-2-5;0.21905
3-1-5-2-4;0.21905
4-1-3-2-5;0.21905
5-1-3-2-4;0.21905
4-1-5-2-3;0.21905
5-1-4-2-3;0.21905
3-1-4-5-2;0.15862
3-1-5-4-2;0.15862
4-1-3-5-2;0.15862
5-1-3-4-2;0.15862
4-1-5-3-2;0.15862
5-1-4-3-2;0.15862
2-3-1-4-5;0.19108
2-3-1-5-4;0.19108
2-4-1-3-5;0.19108
2-5-1-3-4;0.19108
2-4-1-5-3;0.19108
2-5-1-4-3;0.19108
3-2-1-4-5;0.19108
3-2-1-5-4;0.19108
4-2-1-3-5;0.19108
5-2-1-3-4;0.19108
4-2-1-5-3;0.19108
5-2-1-4-3;0.19108
3-4-1-2-5;0.19108
3-5-1-2-4;0.19108
4-3-1-2-5;0.19108
5-3-1-2-4;0.19108
4-5-1-2-3;0.22481
5-4-1-2-3;0.22481
3-4-1-5-2;0.19108
3-5-1-4-2;0.19108
4-3-1-5-2;0.19108
5-3-1-4-2;0.19108
4-5-1-3-2;0.22481
5-4-1-3-2;0.22481
2-3-4-1-5;0.22222
2-3-5-1-4;0.22222
2-4-3-1-5;0.22222
2-5-3-1-4;0.22222
2-4-5-1-3;0.22222
2-5-4-1-3;0.22222
3-2-4-1-5;0.21905
3-2-5-1-4;0.21905
4-2-3-1-5;0.21905
5-2-3-1-4;0.21905
4-2-5-1-3;0.21905
5-2-4-1-3;0.21905
3-4-2-1-5;0.24691
3-5-2-1-4;0.24691
4-3-2-1-5;0.24691
5-3-2-1-4;0.24691
4-5-2-1-3;0.35849
5-4-2-1-3;0.35849
3-4-5-1-2;0.22222
3-5-4-1-2;0.22222
4-3-5-1-2;0.21905
5-3-4-1-2;0.21905
4-5-3-1-2;0.35849
5-4-3-1-2;0.35849
2-3-4-5-1;0.15862
2-3-5-4-1;0.15862
2-4-3-5-1;0.15862
2-5-3-4-1;0.15862
2-4-5-3-1;0.15385
2-5-4-3-1;0.15385
3-2-4-5-1;0.15862
3-2-5-4-1;0.15862
4-2-3-5-1;0.15862
5-2-3-4-1;0.15862
4-2-5-3-1;0.15862
5-2-4-3-1;0.15862
3-4-2-5-1;0.16529
3-5-2-4-1;0.16529
4-3-2-5-1;0.16529
5-3-2-4-1;0.16529
4-5-2-3-1;0.20430
5-4-2-3-1;0.20430
3-4-5-2-1;0.15385
3-5-4-2-1;0.15385
4-3-5-2-1;0.15862
5-3-4-2-1;0.15862
4-5-3-2-1;0.20430
5-4-3-2-1;0.20430
