;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.10092
1-2-3-5-4;0.10092
1-2-4-3-5;0.10249
1-2-5-3-4;0.10249
1-2-4-5-3;0.09689
1-2-5-4-3;0.09689
1-3-2-4-5;0.10324
1-3-2-5-4;0.10324
1-4-2-3-5;0.10320
1-5-2-3-4;0.10320
1-4-2-5-3;0.10061
1-5-2-4-3;0.10061
1-3-4-2-5;0.10161
1-3-5-2-4;0.10161
1-4-3-2-5;0.09994
1-5-3-2-4;0.09994
1-4-5-2-3;0.09894
1-5-4-2-3;0.09894
1-3-4-5-2;0.09601
1-3-5-4-2;0.09601
1-4-3-5-2;0.09996
1-5-3-4-2;0.09996
1-4-5-3-2;0.09863
1-5-4-3-2;0.09863
2-1-3-4-5;0.10054
2-1-3-5-4;0.10054
2-1-4-3-5;0.10210
2-1-5-3-4;0.10210
2-1-4-5-3;0.09646
2-1-5-4-3;0.09646
3-1-2-4-5;0.10146
3-1-2-5-4;0.10146
4-1-2-3-5;0.10053
5-1-2-3-4;0.10053
4-1-2-5-3;0.10007
5-1-2-4-3;0.10007
3-1-4-2-5;0.10308
3-1-5-2-4;0.10308
4-1-3-2-5;0.09850
5-1-3-2-4;0.09850
4-1-5-2-3;0.09804
5-1-4-2-3;0.09804
3-1-4-5-2;0.09507
3-1-5-4-2;0.09507
4-1-3-5-2;0.09905
5-1-3-4-2;0.09905
4-1-5-3-2;0.09777
5-1-4-3-2;0.09777
2-3-1-4-5;0.10206
2-3-1-5-4;0.10206
2-4-1-3-5;0.10204
2-5-1-3-4;0.10204
2-4-1-5-3;0.09942
2-5-1-4-3;0.09942
3-2-1-4-5;0.10040
3-2-1-5-4;0.10040
4-2-1-3-5;0.09950
5-2-1-3-4;0.09950
4-2-1-5-3;0.09905
5-2-1-4-3;0.09905
3-4-1-2-5;0.10244
3-5-1-2-4;0.10244
4-3-1-2-5;0.09974
5-3-1-2-4;0.09974
4-5-1-2-3;0.09804
5-4-1-2-3;0.09804
3-4-1-5-2;0.09869
3-5-1-4-2;0.09869
4-3-1-5-2;0.09898
5-3-1-4-2;0.09898
4-5-1-3-2;0.09755
5-4-1-3-2;0.09755
2-3-4-1-5;0.10138
2-3-5-1-4;0.10138
2-4-3-1-5;0.09973
2-5-3-1-4;0.09973
2-4-5-1-3;0.09871
2-5-4-1-3;0.09871
3-2-4-1-5;0.10182
3-2-5-1-4;0.10182
4-2-3-1-5;0.09730
5-2-3-1-4;0.09730
4-2-5-1-3;0.09680
5-2-4-1-3;0.09680
3-4-2-1-5;0.10216
3-5-2-1-4;0.10216
4-3-2-1-5;0.09944
5-3-2-1-4;0.09944
4-5-2-1-3;0.09773
5-4-2-1-3;0.09773
3-4-5-1-2;0.09826
3-5-4-1-2;0.09826
4-3-5-1-2;0.09600
5-3-4-1-2;0.09600
4-5-3-1-2;0.09727
5-4-3-1-2;0.09727
2-3-4-5-1;0.09568
2-3-5-4-1;0.09568
2-4-3-5-1;0.09968
2-5-3-4-1;0.09968
2-4-5-3-1;0.09832
2-5-4-3-1;0.09832
3-2-4-5-1;0.09408
3-2-5-4-1;0.09408
4-2-3-5-1;0.09816
5-2-3-4-1;0.09816
4-2-5-3-1;0.09683
5-2-4-3-1;0.09683
3-4-2-5-1;0.09923
3-5-2-4-1;0.09923
4-3-2-5-1;0.09972
5-3-2-4-1;0.09972
4-5-2-3-1;0.09832
5-4-2-3-1;0.09832
3-4-5-2-1;0.09832
3-5-4-2-1;0.09832
4-3-5-2-1;0.09608
5-3-4-2-1;0.09608
4-5-3-2-1;0.09734
5-4-3-2-1;0.09734
