;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;77
1-2-3-5-4;77
1-2-4-3-5;64
1-2-5-3-4;64
1-2-4-5-3;67
1-2-5-4-3;67
1-3-2-4-5;78
1-3-2-5-4;78
1-4-2-3-5;76
1-5-2-3-4;76
1-4-2-5-3;76
1-5-2-4-3;76
1-3-4-2-5;61
1-3-5-2-4;61
1-4-3-2-5;63
1-5-3-2-4;63
1-4-5-2-3;63
1-5-4-2-3;63
1-3-4-5-2;66
1-3-5-4-2;66
1-4-3-5-2;66
1-5-3-4-2;66
1-4-5-3-2;63
1-5-4-3-2;63
2-1-3-4-5;76
2-1-3-5-4;76
2-1-4-3-5;63
2-1-5-3-4;63
2-1-4-5-3;66
2-1-5-4-3;66
3-1-2-4-5;76
3-1-2-5-4;76
4-1-2-3-5;76
5-1-2-3-4;76
4-1-2-5-3;76
5-1-2-4-3;76
3-1-4-2-5;63
3-1-5-2-4;63
4-1-3-2-5;63
5-1-3-2-4;63
4-1-5-2-3;63
5-1-4-2-3;63
3-1-4-5-2;66
3-1-5-4-2;66
4-1-3-5-2;66
5-1-3-4-2;66
4-1-5-3-2;66
5-1-4-3-2;66
2-3-1-4-5;74
2-3-1-5-4;74
2-4-1-3-5;72
2-5-1-3-4;72
2-4-1-5-3;72
2-5-1-4-3;72
3-2-1-4-5;76
3-2-1-5-4;76
4-2-1-3-5;76
5-2-1-3-4;76
4-2-1-5-3;76
5-2-1-4-3;76
3-4-1-2-5;72
3-5-1-2-4;72
4-3-1-2-5;76
5-3-1-2-4;76
4-5-1-2-3;71
5-4-1-2-3;71
3-4-1-5-2;72
3-5-1-4-2;72
4-3-1-5-2;75
5-3-1-4-2;75
4-5-1-3-2;71
5-4-1-3-2;71
2-3-4-1-5;60
2-3-5-1-4;60
2-4-3-1-5;62
2-5-3-1-4;62
2-4-5-1-3;62
2-5-4-1-3;62
3-2-4-1-5;65
3-2-5-1-4;65
4-2-3-1-5;65
5-2-3-1-4;65
4-2-5-1-3;65
5-2-4-1-3;65
3-4-2-1-5;62
3-5-2-1-4;62
4-3-2-1-5;66
5-3-2-1-4;66
4-5-2-1-3;61
5-4-2-1-3;61
3-4-5-1-2;62
3-5-4-1-2;62
4-3-5-1-2;68
5-3-4-1-2;68
4-5-3-1-2;73
5-4-3-1-2;73
2-3-4-5-1;65
2-3-5-4-1;65
2-4-3-5-1;65
2-5-3-4-1;65
2-4-5-3-1;62
2-5-4-3-1;62
3-2-4-5-1;68
3-2-5-4-1;68
4-2-3-5-1;68
5-2-3-4-1;68
4-2-5-3-1;68
5-2-4-3-1;68
3-4-2-5-1;74
3-5-2-4-1;74
4-3-2-5-1;77
5-3-2-4-1;77
4-5-2-3-1;73
5-4-2-3-1;73
3-4-5-2-1;62
3-5-4-2-1;62
4-3-5-2-1;68
5-3-4-2-1;68
4-5-3-2-1;73
5-4-3-2-1;73
