;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;2213
1-2-3-5-4;2213
1-2-4-3-5;2190
1-2-5-3-4;2190
1-2-4-5-3;2149
1-2-5-4-3;2149
1-3-2-4-5;2171
1-3-2-5-4;2171
1-4-2-3-5;2126
1-5-2-3-4;2126
1-4-2-5-3;2110
1-5-2-4-3;2110
1-3-4-2-5;2153
1-3-5-2-4;2153
1-4-3-2-5;2136
1-5-3-2-4;2136
1-4-5-2-3;2052
1-5-4-2-3;2052
1-3-4-5-2;2084
1-3-5-4-2;2084
1-4-3-5-2;2087
1-5-3-4-2;2087
1-4-5-3-2;2029
1-5-4-3-2;2029
2-1-3-4-5;2267
2-1-3-5-4;2267
2-1-4-3-5;2249
2-1-5-3-4;2249
2-1-4-5-3;2205
2-1-5-4-3;2205
3-1-2-4-5;2276
3-1-2-5-4;2276
4-1-2-3-5;2320
5-1-2-3-4;2320
4-1-2-5-3;2305
5-1-2-4-3;2305
3-1-4-2-5;2259
3-1-5-2-4;2259
4-1-3-2-5;2320
5-1-3-2-4;2320
4-1-5-2-3;2250
5-1-4-2-3;2250
3-1-4-5-2;2194
3-1-5-4-2;2194
4-1-3-5-2;2274
5-1-3-4-2;2274
4-1-5-3-2;2238
5-1-4-3-2;2238
2-3-1-4-5;2153
2-3-1-5-4;2153
2-4-1-3-5;2110
2-5-1-3-4;2110
2-4-1-5-3;2092
2-5-1-4-3;2092
3-2-1-4-5;2231
3-2-1-5-4;2231
4-2-1-3-5;2273
5-2-1-3-4;2273
4-2-1-5-3;2262
5-2-1-4-3;2262
3-4-1-2-5;2111
3-5-1-2-4;2111
4-3-1-2-5;2235
5-3-1-2-4;2235
4-5-1-2-3;1979
5-4-1-2-3;1979
3-4-1-5-2;2032
3-5-1-4-2;2032
4-3-1-5-2;2147
5-3-1-4-2;2147
4-5-1-3-2;1956
5-4-1-3-2;1956
2-3-4-1-5;2179
2-3-5-1-4;2179
2-4-3-1-5;2160
2-5-3-1-4;2160
2-4-5-1-3;2078
2-5-4-1-3;2078
3-2-4-1-5;2252
3-2-5-1-4;2252
4-2-3-1-5;2315
5-2-3-1-4;2315
4-2-5-1-3;2244
5-2-4-1-3;2244
3-4-2-1-5;2140
3-5-2-1-4;2140
4-3-2-1-5;2262
5-3-2-1-4;2262
4-5-2-1-3;2004
5-4-2-1-3;2004
3-4-5-1-2;2049
3-5-4-1-2;2049
4-3-5-1-2;2169
5-3-4-1-2;2169
4-5-3-1-2;1964
5-4-3-1-2;1964
2-3-4-5-1;2058
2-3-5-4-1;2058
2-4-3-5-1;2058
2-5-3-4-1;2058
2-4-5-3-1;2002
2-5-4-3-1;2002
3-2-4-5-1;2145
3-2-5-4-1;2145
4-2-3-5-1;2222
5-2-3-4-1;2222
4-2-5-3-1;2188
5-2-4-3-1;2188
3-4-2-5-1;2014
3-5-2-4-1;2014
4-3-2-5-1;2128
5-3-2-4-1;2128
4-5-2-3-1;1942
5-4-2-3-1;1942
3-4-5-2-1;2025
3-5-4-2-1;2025
4-3-5-2-1;2146
5-3-4-2-1;2146
4-5-3-2-1;1941
5-4-3-2-1;1941
