;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;2110
1-2-3-5-4;2110
1-2-4-3-5;2096
1-2-5-3-4;2096
1-2-4-5-3;2053
1-2-5-4-3;2053
1-3-2-4-5;2069
1-3-2-5-4;2069
1-4-2-3-5;2029
1-5-2-3-4;2029
1-4-2-5-3;2010
1-5-2-4-3;2010
1-3-4-2-5;2058
1-3-5-2-4;2058
1-4-3-2-5;2040
1-5-3-2-4;2040
1-4-5-2-3;1962
1-5-4-2-3;1962
1-3-4-5-2;1991
1-3-5-4-2;1991
1-4-3-5-2;1989
1-5-3-4-2;1989
1-4-5-3-2;1938
1-5-4-3-2;1938
2-1-3-4-5;2157
2-1-3-5-4;2157
2-1-4-3-5;2148
2-1-5-3-4;2148
2-1-4-5-3;2102
2-1-5-4-3;2102
3-1-2-4-5;2163
3-1-2-5-4;2163
4-1-2-3-5;2207
5-1-2-3-4;2207
4-1-2-5-3;2194
5-1-2-4-3;2194
3-1-4-2-5;2157
3-1-5-2-4;2157
4-1-3-2-5;2215
5-1-3-2-4;2215
4-1-5-2-3;2149
5-1-4-2-3;2149
3-1-4-5-2;2091
3-1-5-4-2;2091
4-1-3-5-2;2166
5-1-3-4-2;2166
4-1-5-3-2;2133
5-1-4-3-2;2133
2-3-1-4-5;2050
2-3-1-5-4;2050
2-4-1-3-5;2012
2-5-1-3-4;2012
2-4-1-5-3;1991
2-5-1-4-3;1991
3-2-1-4-5;2121
3-2-1-5-4;2121
4-2-1-3-5;2163
5-2-1-3-4;2163
4-2-1-5-3;2154
5-2-1-4-3;2154
3-4-1-2-5;2018
3-5-1-2-4;2018
4-3-1-2-5;2133
5-3-1-2-4;2133
4-5-1-2-3;1894
5-4-1-2-3;1894
3-4-1-5-2;1938
3-5-1-4-2;1938
4-3-1-5-2;2048
5-3-1-4-2;2048
4-5-1-3-2;1870
5-4-1-3-2;1870
2-3-4-1-5;2083
2-3-5-1-4;2083
2-4-3-1-5;2064
2-5-3-1-4;2064
2-4-5-1-3;1987
2-5-4-1-3;1987
3-2-4-1-5;2150
3-2-5-1-4;2150
4-2-3-1-5;2210
5-2-3-1-4;2210
4-2-5-1-3;2144
5-2-4-1-3;2144
3-4-2-1-5;2048
3-5-2-1-4;2048
4-3-2-1-5;2161
5-3-2-1-4;2161
4-5-2-1-3;1920
5-4-2-1-3;1920
3-4-5-1-2;1959
3-5-4-1-2;1959
4-3-5-1-2;2076
5-3-4-1-2;2076
4-5-3-1-2;1882
5-4-3-1-2;1882
2-3-4-5-1;1967
2-3-5-4-1;1967
2-4-3-5-1;1962
2-5-3-4-1;1962
2-4-5-3-1;1913
2-5-4-3-1;1913
3-2-4-5-1;2048
3-2-5-4-1;2048
4-2-3-5-1;2120
5-2-3-4-1;2120
4-2-5-3-1;2089
5-2-4-3-1;2089
3-4-2-5-1;1921
3-5-2-4-1;1921
4-3-2-5-1;2029
5-3-2-4-1;2029
4-5-2-3-1;1856
5-4-2-3-1;1856
3-4-5-2-1;1932
3-5-4-2-1;1932
4-3-5-2-1;2050
5-3-4-2-1;2050
4-5-3-2-1;1856
5-4-3-2-1;1856
