;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.07463
1-2-3-5-4;0.07463
1-2-4-3-5;0.07000
1-2-5-3-4;0.07000
1-2-4-5-3;0.07463
1-2-5-4-3;0.07463
1-3-2-4-5;0.06533
1-3-2-5-4;0.06533
1-4-2-3-5;0.05102
1-5-2-3-4;0.05102
1-4-2-5-3;0.06061
1-5-2-4-3;0.06061
1-3-4-2-5;0.07000
1-3-5-2-4;0.07000
1-4-3-2-5;0.05584
1-5-3-2-4;0.05584
1-4-5-2-3;0.06533
1-5-4-2-3;0.06533
1-3-4-5-2;0.07000
1-3-5-4-2;0.07000
1-4-3-5-2;0.07463
1-5-3-4-2;0.07463
1-4-5-3-2;0.07000
1-5-4-3-2;0.07000
2-1-3-4-5;0.06061
2-1-3-5-4;0.06061
2-1-4-3-5;0.05584
2-1-5-3-4;0.05584
2-1-4-5-3;0.06061
2-1-5-4-3;0.06061
3-1-2-4-5;0.06061
3-1-2-5-4;0.06061
4-1-2-3-5;0.05584
5-1-2-3-4;0.05584
4-1-2-5-3;0.05584
5-1-2-4-3;0.05584
3-1-4-2-5;0.05584
3-1-5-2-4;0.05584
4-1-3-2-5;0.05102
5-1-3-2-4;0.05102
4-1-5-2-3;0.05102
5-1-4-2-3;0.05102
3-1-4-5-2;0.06061
3-1-5-4-2;0.06061
4-1-3-5-2;0.05584
5-1-3-4-2;0.05584
4-1-5-3-2;0.05584
5-1-4-3-2;0.05584
2-3-1-4-5;0.05584
2-3-1-5-4;0.05584
2-4-1-3-5;0.04124
2-5-1-3-4;0.04124
2-4-1-5-3;0.05102
2-5-1-4-3;0.05102
3-2-1-4-5;0.04615
3-2-1-5-4;0.04615
4-2-1-3-5;0.04124
5-2-1-3-4;0.04124
4-2-1-5-3;0.04124
5-2-1-4-3;0.04124
3-4-1-2-5;0.04124
3-5-1-2-4;0.04124
4-3-1-2-5;0.04124
5-3-1-2-4;0.04124
4-5-1-2-3;0.04124
5-4-1-2-3;0.04124
3-4-1-5-2;0.04615
3-5-1-4-2;0.04615
4-3-1-5-2;0.04124
5-3-1-4-2;0.04124
4-5-1-3-2;0.04124
5-4-1-3-2;0.04124
2-3-4-1-5;0.07000
2-3-5-1-4;0.07000
2-4-3-1-5;0.05584
2-5-3-1-4;0.05584
2-4-5-1-3;0.06533
2-5-4-1-3;0.06533
3-2-4-1-5;0.06061
3-2-5-1-4;0.06061
4-2-3-1-5;0.05584
5-2-3-1-4;0.05584
4-2-5-1-3;0.05584
5-2-4-1-3;0.05584
3-4-2-1-5;0.04124
3-5-2-1-4;0.04124
4-3-2-1-5;0.04124
5-3-2-1-4;0.04124
4-5-2-1-3;0.04124
5-4-2-1-3;0.04124
3-4-5-1-2;0.06061
3-5-4-1-2;0.06061
4-3-5-1-2;0.06533
5-3-4-1-2;0.06533
4-5-3-1-2;0.05584
5-4-3-1-2;0.05584
2-3-4-5-1;0.06061
2-3-5-4-1;0.06061
2-4-3-5-1;0.06533
2-5-3-4-1;0.06533
2-4-5-3-1;0.06061
2-5-4-3-1;0.06061
3-2-4-5-1;0.06533
3-2-5-4-1;0.06533
4-2-3-5-1;0.06061
5-2-3-4-1;0.06061
4-2-5-3-1;0.06061
5-2-4-3-1;0.06061
3-4-2-5-1;0.06061
3-5-2-4-1;0.06061
4-3-2-5-1;0.05584
5-3-2-4-1;0.05584
4-5-2-3-1;0.05584
5-4-2-3-1;0.05584
3-4-5-2-1;0.06061
3-5-4-2-1;0.06061
4-3-5-2-1;0.06533
5-3-4-2-1;0.06533
4-5-3-2-1;0.05584
5-4-3-2-1;0.05584
