;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.492
1-2-3-5-4;0.492
1-2-4-3-5;0.489
1-2-5-3-4;0.489
1-2-4-5-3;0.489
1-2-5-4-3;0.489
1-3-2-4-5;0.493
1-3-2-5-4;0.493
1-4-2-3-5;0.493
1-5-2-3-4;0.493
1-4-2-5-3;0.490
1-5-2-4-3;0.490
1-3-4-2-5;0.489
1-3-5-2-4;0.489
1-4-3-2-5;0.491
1-5-3-2-4;0.491
1-4-5-2-3;0.489
1-5-4-2-3;0.489
1-3-4-5-2;0.488
1-3-5-4-2;0.488
1-4-3-5-2;0.489
1-5-3-4-2;0.489
1-4-5-3-2;0.489
1-5-4-3-2;0.489
2-1-3-4-5;0.492
2-1-3-5-4;0.492
2-1-4-3-5;0.489
2-1-5-3-4;0.489
2-1-4-5-3;0.489
2-1-5-4-3;0.489
3-1-2-4-5;0.494
3-1-2-5-4;0.494
4-1-2-3-5;0.494
5-1-2-3-4;0.494
4-1-2-5-3;0.494
5-1-2-4-3;0.494
3-1-4-2-5;0.491
3-1-5-2-4;0.491
4-1-3-2-5;0.494
5-1-3-2-4;0.494
4-1-5-2-3;0.492
5-1-4-2-3;0.492
3-1-4-5-2;0.489
3-1-5-4-2;0.489
4-1-3-5-2;0.492
5-1-3-4-2;0.492
4-1-5-3-2;0.490
5-1-4-3-2;0.490
2-3-1-4-5;0.493
2-3-1-5-4;0.493
2-4-1-3-5;0.494
2-5-1-3-4;0.494
2-4-1-5-3;0.491
2-5-1-4-3;0.491
3-2-1-4-5;0.494
3-2-1-5-4;0.494
4-2-1-3-5;0.494
5-2-1-3-4;0.494
4-2-1-5-3;0.493
5-2-1-4-3;0.493
3-4-1-2-5;0.493
3-5-1-2-4;0.493
4-3-1-2-5;0.494
5-3-1-2-4;0.494
4-5-1-2-3;0.489
5-4-1-2-3;0.489
3-4-1-5-2;0.491
3-5-1-4-2;0.491
4-3-1-5-2;0.492
5-3-1-4-2;0.492
4-5-1-3-2;0.488
5-4-1-3-2;0.488
2-3-4-1-5;0.490
2-3-5-1-4;0.490
2-4-3-1-5;0.492
2-5-3-1-4;0.492
2-4-5-1-3;0.488
2-5-4-1-3;0.488
3-2-4-1-5;0.491
3-2-5-1-4;0.491
4-2-3-1-5;0.494
5-2-3-1-4;0.494
4-2-5-1-3;0.493
5-2-4-1-3;0.493
3-4-2-1-5;0.491
3-5-2-1-4;0.491
4-3-2-1-5;0.494
5-3-2-1-4;0.494
4-5-2-1-3;0.489
5-4-2-1-3;0.489
3-4-5-1-2;0.488
3-5-4-1-2;0.488
4-3-5-1-2;0.491
5-3-4-1-2;0.491
4-5-3-1-2;0.489
5-4-3-1-2;0.489
2-3-4-5-1;0.488
2-3-5-4-1;0.488
2-4-3-5-1;0.488
2-5-3-4-1;0.488
2-4-5-3-1;0.488
2-5-4-3-1;0.488
3-2-4-5-1;0.488
3-2-5-4-1;0.488
4-2-3-5-1;0.491
5-2-3-4-1;0.491
4-2-5-3-1;0.489
5-2-4-3-1;0.489
3-4-2-5-1;0.488
3-5-2-4-1;0.488
4-3-2-5-1;0.491
5-3-2-4-1;0.491
4-5-2-3-1;0.488
5-4-2-3-1;0.488
3-4-5-2-1;0.488
3-5-4-2-1;0.488
4-3-5-2-1;0.490
5-3-4-2-1;0.490
4-5-3-2-1;0.488
5-4-3-2-1;0.488
