;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.85075
1-2-3-5-4;0.85075
1-2-4-3-5;0.87000
1-2-5-3-4;0.87000
1-2-4-5-3;0.85572
1-2-5-4-3;0.85572
1-3-2-4-5;0.85930
1-3-2-5-4;0.85930
1-4-2-3-5;0.87755
1-5-2-3-4;0.87755
1-4-2-5-3;0.86869
1-5-2-4-3;0.86869
1-3-4-2-5;0.87500
1-3-5-2-4;0.87500
1-4-3-2-5;0.88832
1-5-3-2-4;0.88832
1-4-5-2-3;0.87940
1-5-4-2-3;0.87940
1-3-4-5-2;0.86500
1-3-5-4-2;0.86500
1-4-3-5-2;0.86070
1-5-3-4-2;0.86070
1-4-5-3-2;0.87000
1-5-4-3-2;0.87000
2-1-3-4-5;0.86364
2-1-3-5-4;0.86364
2-1-4-3-5;0.88325
2-1-5-3-4;0.88325
2-1-4-5-3;0.86869
2-1-5-4-3;0.86869
3-1-2-4-5;0.86364
3-1-2-5-4;0.86364
4-1-2-3-5;0.86802
5-1-2-3-4;0.86802
4-1-2-5-3;0.86802
5-1-2-4-3;0.86802
3-1-4-2-5;0.88325
3-1-5-2-4;0.88325
4-1-3-2-5;0.88776
5-1-3-2-4;0.88776
4-1-5-2-3;0.88776
5-1-4-2-3;0.88776
3-1-4-5-2;0.86869
3-1-5-4-2;0.86869
4-1-3-5-2;0.87310
5-1-3-4-2;0.87310
4-1-5-3-2;0.87310
5-1-4-3-2;0.87310
2-3-1-4-5;0.87310
2-3-1-5-4;0.87310
2-4-1-3-5;0.89175
2-5-1-3-4;0.89175
2-4-1-5-3;0.88265
2-5-1-4-3;0.88265
3-2-1-4-5;0.88205
3-2-1-5-4;0.88205
4-2-1-3-5;0.88660
5-2-1-3-4;0.88660
4-2-1-5-3;0.88660
5-2-1-4-3;0.88660
3-4-1-2-5;0.89175
3-5-1-2-4;0.89175
4-3-1-2-5;0.88660
5-3-1-2-4;0.88660
4-5-1-2-3;0.89691
5-4-1-2-3;0.89691
3-4-1-5-2;0.88718
3-5-1-4-2;0.88718
4-3-1-5-2;0.88660
5-3-1-4-2;0.88660
4-5-1-3-2;0.89691
5-4-1-3-2;0.89691
2-3-4-1-5;0.87500
2-3-5-1-4;0.87500
2-4-3-1-5;0.88832
2-5-3-1-4;0.88832
2-4-5-1-3;0.87940
2-5-4-1-3;0.87940
3-2-4-1-5;0.87879
3-2-5-1-4;0.87879
4-2-3-1-5;0.88325
5-2-3-1-4;0.88325
4-2-5-1-3;0.88325
5-2-4-1-3;0.88325
3-4-2-1-5;0.90206
3-5-2-1-4;0.90206
4-3-2-1-5;0.89691
5-3-2-1-4;0.89691
4-5-2-1-3;0.90722
5-4-2-1-3;0.90722
3-4-5-1-2;0.88384
3-5-4-1-2;0.88384
4-3-5-1-2;0.86935
5-3-4-1-2;0.86935
4-5-3-1-2;0.88832
5-4-3-1-2;0.88832
2-3-4-5-1;0.87374
2-3-5-4-1;0.87374
2-4-3-5-1;0.86935
2-5-3-4-1;0.86935
2-4-5-3-1;0.87879
2-5-4-3-1;0.87879
3-2-4-5-1;0.86432
3-2-5-4-1;0.86432
4-2-3-5-1;0.86869
5-2-3-4-1;0.86869
4-2-5-3-1;0.86869
5-2-4-3-1;0.86869
3-4-2-5-1;0.87374
3-5-2-4-1;0.87374
4-3-2-5-1;0.87310
5-3-2-4-1;0.87310
4-5-2-3-1;0.88325
5-4-2-3-1;0.88325
3-4-5-2-1;0.87879
3-5-4-2-1;0.87879
4-3-5-2-1;0.86432
5-3-4-2-1;0.86432
4-5-3-2-1;0.88325
5-4-3-2-1;0.88325
