;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.44899
1-2-3-5-4;0.44899
1-2-4-3-5;0.44889
1-2-5-3-4;0.44889
1-2-4-5-3;0.44877
1-2-5-4-3;0.44877
1-3-2-4-5;0.44854
1-3-2-5-4;0.44854
1-4-2-3-5;0.44841
1-5-2-3-4;0.44841
1-4-2-5-3;0.44851
1-5-2-4-3;0.44851
1-3-4-2-5;0.44892
1-3-5-2-4;0.44892
1-4-3-2-5;0.44880
1-5-3-2-4;0.44880
1-4-5-2-3;0.44879
1-5-4-2-3;0.44879
1-3-4-5-2;0.44867
1-3-5-4-2;0.44867
1-4-3-5-2;0.44839
1-5-3-4-2;0.44839
1-4-5-3-2;0.44881
1-5-4-3-2;0.44881
2-1-3-4-5;0.44910
2-1-3-5-4;0.44910
2-1-4-3-5;0.44900
2-1-5-3-4;0.44900
2-1-4-5-3;0.44894
2-1-5-4-3;0.44894
3-1-2-4-5;0.44861
3-1-2-5-4;0.44861
4-1-2-3-5;0.44842
5-1-2-3-4;0.44842
4-1-2-5-3;0.44846
5-1-2-4-3;0.44846
3-1-4-2-5;0.44882
3-1-5-2-4;0.44882
4-1-3-2-5;0.44865
5-1-3-2-4;0.44865
4-1-5-2-3;0.44875
5-1-4-2-3;0.44875
3-1-4-5-2;0.44854
3-1-5-4-2;0.44854
4-1-3-5-2;0.44823
5-1-3-4-2;0.44823
4-1-5-3-2;0.44873
5-1-4-3-2;0.44873
2-3-1-4-5;0.44871
2-3-1-5-4;0.44871
2-4-1-3-5;0.44850
2-5-1-3-4;0.44850
2-4-1-5-3;0.44859
2-5-1-4-3;0.44859
3-2-1-4-5;0.44871
3-2-1-5-4;0.44871
4-2-1-3-5;0.44853
5-2-1-3-4;0.44853
4-2-1-5-3;0.44857
5-2-1-4-3;0.44857
3-4-1-2-5;0.44852
3-5-1-2-4;0.44852
4-3-1-2-5;0.44849
5-3-1-2-4;0.44849
4-5-1-2-3;0.44823
5-4-1-2-3;0.44823
3-4-1-5-2;0.44865
3-5-1-4-2;0.44865
4-3-1-5-2;0.44859
5-3-1-4-2;0.44859
4-5-1-3-2;0.44829
5-4-1-3-2;0.44829
2-3-4-1-5;0.44892
2-3-5-1-4;0.44892
2-4-3-1-5;0.44877
2-5-3-1-4;0.44877
2-4-5-1-3;0.44879
2-5-4-1-3;0.44879
3-2-4-1-5;0.44883
3-2-5-1-4;0.44883
4-2-3-1-5;0.44866
5-2-3-1-4;0.44866
4-2-5-1-3;0.44876
5-2-4-1-3;0.44876
3-4-2-1-5;0.44815
3-5-2-1-4;0.44815
4-3-2-1-5;0.44810
5-3-2-1-4;0.44810
4-5-2-1-3;0.44785
5-4-2-1-3;0.44785
3-4-5-1-2;0.44823
3-5-4-1-2;0.44823
4-3-5-1-2;0.44848
5-3-4-1-2;0.44848
4-5-3-1-2;0.44789
5-4-3-1-2;0.44789
2-3-4-5-1;0.44844
2-3-5-4-1;0.44844
2-4-3-5-1;0.44815
2-5-3-4-1;0.44815
2-4-5-3-1;0.44857
2-5-4-3-1;0.44857
3-2-4-5-1;0.44846
3-2-5-4-1;0.44846
4-2-3-5-1;0.44812
5-2-3-4-1;0.44812
4-2-5-3-1;0.44864
5-2-4-3-1;0.44864
3-4-2-5-1;0.44820
3-5-2-4-1;0.44820
4-3-2-5-1;0.44814
5-3-2-4-1;0.44814
4-5-2-3-1;0.44779
5-4-2-3-1;0.44779
3-4-5-2-1;0.44835
3-5-4-2-1;0.44835
4-3-5-2-1;0.44860
5-3-4-2-1;0.44860
4-5-3-2-1;0.44797
5-4-3-2-1;0.44797
