;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;100249285
1-2-3-5-4;100249285
1-2-4-3-5;100198203
1-2-5-3-4;100198203
1-2-4-5-3;100003638
1-2-5-4-3;100003638
1-3-2-4-5;100369697
1-3-2-5-4;100369697
1-4-2-3-5;100288047
1-5-2-3-4;100288047
1-4-2-5-3;100266779
1-5-2-4-3;100266779
1-3-4-2-5;100218947
1-3-5-2-4;100218947
1-4-3-2-5;100208164
1-5-3-2-4;100208164
1-4-5-2-3;100124773
1-5-4-2-3;100124773
1-3-4-5-2;99922399
1-3-5-4-2;99922399
1-4-3-5-2;100078721
1-5-3-4-2;100078721
1-4-5-3-2;100044311
1-5-4-3-2;100044311
2-1-3-4-5;100323169
2-1-3-5-4;100323169
2-1-4-3-5;100268242
2-1-5-3-4;100268242
2-1-4-5-3;100088744
2-1-5-4-3;100088744
3-1-2-4-5;100526637
3-1-2-5-4;100526637
4-1-2-3-5;100525670
5-1-2-3-4;100525670
4-1-2-5-3;100414569
5-1-2-4-3;100414569
3-1-4-2-5;100275389
3-1-5-2-4;100275389
4-1-3-2-5;100375372
5-1-3-2-4;100375372
4-1-5-2-3;100222350
5-1-4-2-3;100222350
3-1-4-5-2;100018890
3-1-5-4-2;100018890
4-1-3-5-2;100181637
5-1-3-4-2;100181637
4-1-5-3-2;100063893
5-1-4-3-2;100063893
2-3-1-4-5;100649686
2-3-1-5-4;100649686
2-4-1-3-5;100457585
2-5-1-3-4;100457585
2-4-1-5-3;100486856
2-5-1-4-3;100486856
3-2-1-4-5;100693841
3-2-1-5-4;100693841
4-2-1-3-5;100645127
5-2-1-3-4;100645127
4-2-1-5-3;100582042
5-2-1-4-3;100582042
3-4-1-2-5;100513193
3-5-1-2-4;100513193
4-3-1-2-5;100599615
5-3-1-2-4;100599615
4-5-1-2-3;100337153
5-4-1-2-3;100337153
3-4-1-5-2;100482621
3-5-1-4-2;100482621
4-3-1-5-2;100519758
5-3-1-4-2;100519758
4-5-1-3-2;100310271
5-4-1-3-2;100310271
2-3-4-1-5;100229559
2-3-5-1-4;100229559
2-4-3-1-5;100221515
2-5-3-1-4;100221515
2-4-5-1-3;100140954
2-5-4-1-3;100140954
3-2-4-1-5;100233284
3-2-5-1-4;100233284
4-2-3-1-5;100334124
5-2-3-1-4;100334124
4-2-5-1-3;100179573
5-2-4-1-3;100179573
3-4-2-1-5;100259675
3-5-2-1-4;100259675
4-3-2-1-5;100305482
5-3-2-1-4;100305482
4-5-2-1-3;100083989
5-4-2-1-3;100083989
3-4-5-1-2;99962552
3-5-4-1-2;99962552
4-3-5-1-2;99975158
5-3-4-1-2;99975158
4-5-3-1-2;100077058
5-4-3-1-2;100077058
2-3-4-5-1;99877010
2-3-5-4-1;99877010
2-4-3-5-1;100056132
2-5-3-4-1;100056132
2-4-5-3-1;100021477
2-5-4-3-1;100021477
3-2-4-5-1;99986188
3-2-5-4-1;99986188
4-2-3-5-1;100144484
5-2-3-4-1;100144484
4-2-5-3-1;100031381
5-2-4-3-1;100031381
3-4-2-5-1;100174872
3-5-2-4-1;100174872
4-3-2-5-1;100214900
5-3-2-4-1;100214900
4-5-2-3-1;100012034
5-4-2-3-1;100012034
3-4-5-2-1;100017757
3-5-4-2-1;100017757
4-3-5-2-1;100033419
5-3-4-2-1;100033419
4-5-3-2-1;100119453
5-4-3-2-1;100119453
