;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.44093
1-2-3-5-4;0.44093
1-2-4-3-5;0.44085
1-2-5-3-4;0.44085
1-2-4-5-3;0.44066
1-2-5-4-3;0.44066
1-3-2-4-5;0.44050
1-3-2-5-4;0.44050
1-4-2-3-5;0.44043
1-5-2-3-4;0.44043
1-4-2-5-3;0.44052
1-5-2-4-3;0.44052
1-3-4-2-5;0.44099
1-3-5-2-4;0.44099
1-4-3-2-5;0.44083
1-5-3-2-4;0.44083
1-4-5-2-3;0.44083
1-5-4-2-3;0.44083
1-3-4-5-2;0.44059
1-3-5-4-2;0.44059
1-4-3-5-2;0.44036
1-5-3-4-2;0.44036
1-4-5-3-2;0.44079
1-5-4-3-2;0.44079
2-1-3-4-5;0.44094
2-1-3-5-4;0.44094
2-1-4-3-5;0.44085
2-1-5-3-4;0.44085
2-1-4-5-3;0.44076
2-1-5-4-3;0.44076
3-1-2-4-5;0.44047
3-1-2-5-4;0.44047
4-1-2-3-5;0.44031
5-1-2-3-4;0.44031
4-1-2-5-3;0.44036
5-1-2-4-3;0.44036
3-1-4-2-5;0.44084
3-1-5-2-4;0.44084
4-1-3-2-5;0.44069
5-1-3-2-4;0.44069
4-1-5-2-3;0.44076
5-1-4-2-3;0.44076
3-1-4-5-2;0.44048
3-1-5-4-2;0.44048
4-1-3-5-2;0.44024
5-1-3-4-2;0.44024
4-1-5-3-2;0.44072
5-1-4-3-2;0.44072
2-3-1-4-5;0.44059
2-3-1-5-4;0.44059
2-4-1-3-5;0.44047
2-5-1-3-4;0.44047
2-4-1-5-3;0.44054
2-5-1-4-3;0.44054
3-2-1-4-5;0.44065
3-2-1-5-4;0.44065
4-2-1-3-5;0.44050
5-2-1-3-4;0.44050
4-2-1-5-3;0.44054
5-2-1-4-3;0.44054
3-4-1-2-5;0.44055
3-5-1-2-4;0.44055
4-3-1-2-5;0.44051
5-3-1-2-4;0.44051
4-5-1-2-3;0.44027
5-4-1-2-3;0.44027
3-4-1-5-2;0.44063
3-5-1-4-2;0.44063
4-3-1-5-2;0.44059
5-3-1-4-2;0.44059
4-5-1-3-2;0.44034
5-4-1-3-2;0.44034
2-3-4-1-5;0.44117
2-3-5-1-4;0.44117
2-4-3-1-5;0.44097
2-5-3-1-4;0.44097
2-4-5-1-3;0.44098
2-5-4-1-3;0.44098
3-2-4-1-5;0.44110
3-2-5-1-4;0.44110
4-2-3-1-5;0.44094
5-2-3-1-4;0.44094
4-2-5-1-3;0.44102
5-2-4-1-3;0.44102
3-4-2-1-5;0.44046
3-5-2-1-4;0.44046
4-3-2-1-5;0.44040
5-3-2-1-4;0.44040
4-5-2-1-3;0.44018
5-4-2-1-3;0.44018
3-4-5-1-2;0.44058
3-5-4-1-2;0.44058
4-3-5-1-2;0.44082
5-3-4-1-2;0.44082
4-5-3-1-2;0.44025
5-4-3-1-2;0.44025
2-3-4-5-1;0.44043
2-3-5-4-1;0.44043
2-4-3-5-1;0.44013
2-5-3-4-1;0.44013
2-4-5-3-1;0.44055
2-5-4-3-1;0.44055
3-2-4-5-1;0.44049
3-2-5-4-1;0.44049
4-2-3-5-1;0.44025
5-2-3-4-1;0.44025
4-2-5-3-1;0.44073
5-2-4-3-1;0.44073
3-4-2-5-1;0.44021
3-5-2-4-1;0.44021
4-3-2-5-1;0.44017
5-3-2-4-1;0.44017
4-5-2-3-1;0.43991
5-4-2-3-1;0.43991
3-4-5-2-1;0.44043
3-5-4-2-1;0.44043
4-3-5-2-1;0.44068
5-3-4-2-1;0.44068
4-5-3-2-1;0.44005
5-4-3-2-1;0.44005
