;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.21547
1-2-3-5-4;0.21547
1-2-4-3-5;0.14286
1-2-5-3-4;0.14286
1-2-4-5-3;0.18621
1-2-5-4-3;0.18621
1-3-2-4-5;0.21547
1-3-2-5-4;0.21547
1-4-2-3-5;0.21547
1-5-2-3-4;0.21547
1-4-2-5-3;0.21547
1-5-2-4-3;0.21547
1-3-4-2-5;0.15556
1-3-5-2-4;0.15556
1-4-3-2-5;0.15556
1-5-3-2-4;0.15556
1-4-5-2-3;0.15556
1-5-4-2-3;0.15556
1-3-4-5-2;0.18621
1-3-5-4-2;0.18621
1-4-3-5-2;0.18621
1-5-3-4-2;0.18621
1-4-5-3-2;0.20000
1-5-4-3-2;0.20000
2-1-3-4-5;0.21547
2-1-3-5-4;0.21547
2-1-4-3-5;0.14286
2-1-5-3-4;0.14286
2-1-4-5-3;0.18621
2-1-5-4-3;0.18621
3-1-2-4-5;0.21547
3-1-2-5-4;0.21547
4-1-2-3-5;0.21547
5-1-2-3-4;0.21547
4-1-2-5-3;0.21547
5-1-2-4-3;0.21547
3-1-4-2-5;0.14286
3-1-5-2-4;0.14286
4-1-3-2-5;0.14286
5-1-3-2-4;0.14286
4-1-5-2-3;0.14286
5-1-4-2-3;0.14286
3-1-4-5-2;0.18621
3-1-5-4-2;0.18621
4-1-3-5-2;0.18621
5-1-3-4-2;0.18621
4-1-5-3-2;0.18621
5-1-4-3-2;0.18621
2-3-1-4-5;0.24204
2-3-1-5-4;0.24204
2-4-1-3-5;0.24204
2-5-1-3-4;0.24204
2-4-1-5-3;0.24204
2-5-1-4-3;0.24204
3-2-1-4-5;0.24204
3-2-1-5-4;0.24204
4-2-1-3-5;0.24204
5-2-1-3-4;0.24204
4-2-1-5-3;0.24204
5-2-1-4-3;0.24204
3-4-1-2-5;0.24204
3-5-1-2-4;0.24204
4-3-1-2-5;0.24204
5-3-1-2-4;0.24204
4-5-1-2-3;0.24806
5-4-1-2-3;0.24806
3-4-1-5-2;0.24204
3-5-1-4-2;0.24204
4-3-1-5-2;0.24204
5-3-1-4-2;0.24204
4-5-1-3-2;0.24806
5-4-1-3-2;0.24806
2-3-4-1-5;0.15556
2-3-5-1-4;0.15556
2-4-3-1-5;0.15556
2-5-3-1-4;0.15556
2-4-5-1-3;0.15556
2-5-4-1-3;0.15556
3-2-4-1-5;0.14286
3-2-5-1-4;0.14286
4-2-3-1-5;0.14286
5-2-3-1-4;0.14286
4-2-5-1-3;0.14286
5-2-4-1-3;0.14286
3-4-2-1-5;0.17284
3-5-2-1-4;0.17284
4-3-2-1-5;0.17284
5-3-2-1-4;0.17284
4-5-2-1-3;0.15094
5-4-2-1-3;0.15094
3-4-5-1-2;0.15556
3-5-4-1-2;0.15556
4-3-5-1-2;0.14286
5-3-4-1-2;0.14286
4-5-3-1-2;0.15094
5-4-3-1-2;0.15094
2-3-4-5-1;0.18621
2-3-5-4-1;0.18621
2-4-3-5-1;0.18621
2-5-3-4-1;0.18621
2-4-5-3-1;0.20000
2-5-4-3-1;0.20000
3-2-4-5-1;0.18621
3-2-5-4-1;0.18621
4-2-3-5-1;0.18621
5-2-3-4-1;0.18621
4-2-5-3-1;0.18621
5-2-4-3-1;0.18621
3-4-2-5-1;0.21488
3-5-2-4-1;0.21488
4-3-2-5-1;0.21488
5-3-2-4-1;0.21488
4-5-2-3-1;0.21505
5-4-2-3-1;0.21505
3-4-5-2-1;0.20000
3-5-4-2-1;0.20000
4-3-5-2-1;0.18621
5-3-4-2-1;0.18621
4-5-3-2-1;0.21505
5-4-3-2-1;0.21505
