;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.28048
1-2-3-5-4;0.28048
1-2-4-3-5;0.28179
1-2-5-3-4;0.28179
1-2-4-5-3;0.28476
1-2-5-4-3;0.28476
1-3-2-4-5;0.27866
1-3-2-5-4;0.27866
1-4-2-3-5;0.27993
1-5-2-3-4;0.27993
1-4-2-5-3;0.28255
1-5-2-4-3;0.28255
1-3-4-2-5;0.28229
1-3-5-2-4;0.28229
1-4-3-2-5;0.28147
1-5-3-2-4;0.28147
1-4-5-2-3;0.28463
1-5-4-2-3;0.28463
1-3-4-5-2;0.28537
1-3-5-4-2;0.28537
1-4-3-5-2;0.28302
1-5-3-4-2;0.28302
1-4-5-3-2;0.28364
1-5-4-3-2;0.28364
2-1-3-4-5;0.28082
2-1-3-5-4;0.28082
2-1-4-3-5;0.28215
2-1-5-3-4;0.28215
2-1-4-5-3;0.28514
2-1-5-4-3;0.28514
3-1-2-4-5;0.28285
3-1-2-5-4;0.28285
4-1-2-3-5;0.28338
5-1-2-3-4;0.28338
4-1-2-5-3;0.28399
5-1-2-4-3;0.28399
3-1-4-2-5;0.28235
3-1-5-2-4;0.28235
4-1-3-2-5;0.28096
5-1-3-2-4;0.28096
4-1-5-2-3;0.28765
5-1-4-2-3;0.28765
3-1-4-5-2;0.28799
3-1-5-4-2;0.28799
4-1-3-5-2;0.28176
5-1-3-4-2;0.28176
4-1-5-3-2;0.28623
5-1-4-3-2;0.28623
2-3-1-4-5;0.27922
2-3-1-5-4;0.27922
2-4-1-3-5;0.28047
2-5-1-3-4;0.28047
2-4-1-5-3;0.28310
2-5-1-4-3;0.28310
3-2-1-4-5;0.28243
3-2-1-5-4;0.28243
4-2-1-3-5;0.28295
5-2-1-3-4;0.28295
4-2-1-5-3;0.28355
5-2-1-4-3;0.28355
3-4-1-2-5;0.28263
3-5-1-2-4;0.28263
4-3-1-2-5;0.28355
5-3-1-2-4;0.28355
4-5-1-2-3;0.28565
5-4-1-2-3;0.28565
3-4-1-5-2;0.28520
3-5-1-4-2;0.28520
4-3-1-5-2;0.28383
5-3-1-4-2;0.28383
4-5-1-3-2;0.28679
5-4-1-3-2;0.28679
2-3-4-1-5;0.28251
2-3-5-1-4;0.28251
2-4-3-1-5;0.28168
2-5-3-1-4;0.28168
2-4-5-1-3;0.28486
2-5-4-1-3;0.28486
3-2-4-1-5;0.28309
3-2-5-1-4;0.28309
4-2-3-1-5;0.28167
5-2-3-1-4;0.28167
4-2-5-1-3;0.28838
5-2-4-1-3;0.28838
3-4-2-1-5;0.28280
3-5-2-1-4;0.28280
4-3-2-1-5;0.28374
5-3-2-1-4;0.28374
4-5-2-1-3;0.28585
5-4-2-1-3;0.28585
3-4-5-1-2;0.28548
3-5-4-1-2;0.28548
4-3-5-1-2;0.28948
5-3-4-1-2;0.28948
4-5-3-1-2;0.28521
5-4-3-1-2;0.28521
2-3-4-5-1;0.28565
2-3-5-4-1;0.28565
2-4-3-5-1;0.28326
2-5-3-4-1;0.28326
2-4-5-3-1;0.28391
2-5-4-3-1;0.28391
3-2-4-5-1;0.28879
3-2-5-4-1;0.28879
4-2-3-5-1;0.28247
5-2-3-4-1;0.28247
4-2-5-3-1;0.28699
5-2-4-3-1;0.28699
3-4-2-5-1;0.28390
3-5-2-4-1;0.28390
4-3-2-5-1;0.28232
5-3-2-4-1;0.28232
4-5-2-3-1;0.28524
5-4-2-3-1;0.28524
3-4-5-2-1;0.28391
3-5-4-2-1;0.28391
4-3-5-2-1;0.28789
5-3-4-2-1;0.28789
4-5-3-2-1;0.28370
5-4-3-2-1;0.28370
