;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.18043
1-2-3-5-4;0.18043
1-2-4-3-5;0.15278
1-2-5-3-4;0.15278
1-2-4-5-3;0.16745
1-2-5-4-3;0.16745
1-3-2-4-5;0.17826
1-3-2-5-4;0.17826
1-4-2-3-5;0.16667
1-5-2-3-4;0.16667
1-4-2-5-3;0.16667
1-5-2-4-3;0.16667
1-3-4-2-5;0.15652
1-3-5-2-4;0.15652
1-4-3-2-5;0.13678
1-5-3-2-4;0.13678
1-4-5-2-3;0.13678
1-5-4-2-3;0.13678
1-3-4-5-2;0.15104
1-3-5-4-2;0.15104
1-4-3-5-2;0.15104
1-5-3-4-2;0.15104
1-4-5-3-2;0.15447
1-5-4-3-2;0.15447
2-1-3-4-5;0.18261
2-1-3-5-4;0.18261
2-1-4-3-5;0.15556
2-1-5-3-4;0.15556
2-1-4-5-3;0.16981
2-1-5-4-3;0.16981
3-1-2-4-5;0.18261
3-1-2-5-4;0.18261
4-1-2-3-5;0.18261
5-1-2-3-4;0.18261
4-1-2-5-3;0.18261
5-1-2-4-3;0.18261
3-1-4-2-5;0.15556
3-1-5-2-4;0.15556
4-1-3-2-5;0.15556
5-1-3-2-4;0.15556
4-1-5-2-3;0.15556
5-1-4-2-3;0.15556
3-1-4-5-2;0.16981
3-1-5-4-2;0.16981
4-1-3-5-2;0.16981
5-1-3-4-2;0.16981
4-1-5-3-2;0.16981
5-1-4-3-2;0.16981
2-3-1-4-5;0.18807
2-3-1-5-4;0.18807
2-4-1-3-5;0.17677
2-5-1-3-4;0.17677
2-4-1-5-3;0.17677
2-5-1-4-3;0.17677
3-2-1-4-5;0.18349
3-2-1-5-4;0.18349
4-2-1-3-5;0.18349
5-2-1-3-4;0.18349
4-2-1-5-3;0.18349
5-2-1-4-3;0.18349
3-4-1-2-5;0.17677
3-5-1-2-4;0.17677
4-3-1-2-5;0.18349
5-3-1-2-4;0.18349
4-5-1-2-3;0.17391
5-4-1-2-3;0.17391
3-4-1-5-2;0.17677
3-5-1-4-2;0.17677
4-3-1-5-2;0.18578
5-3-1-4-2;0.18578
4-5-1-3-2;0.17391
5-4-1-3-2;0.17391
2-3-4-1-5;0.15942
2-3-5-1-4;0.15942
2-4-3-1-5;0.13982
2-5-3-1-4;0.13982
2-4-5-1-3;0.13982
2-5-4-1-3;0.13982
3-2-4-1-5;0.15000
3-2-5-1-4;0.15000
4-2-3-1-5;0.15000
5-2-3-1-4;0.15000
4-2-5-1-3;0.15000
5-2-4-1-3;0.15000
3-4-2-1-5;0.14375
3-5-2-1-4;0.14375
4-3-2-1-5;0.15556
5-3-2-1-4;0.15556
4-5-2-1-3;0.13699
5-4-2-1-3;0.13699
3-4-5-1-2;0.13982
3-5-4-1-2;0.13982
4-3-5-1-2;0.15104
5-3-4-1-2;0.15104
4-5-3-1-2;0.13889
5-4-3-1-2;0.13889
2-3-4-5-1;0.15365
2-3-5-4-1;0.15365
2-4-3-5-1;0.15365
2-5-3-4-1;0.15365
2-4-5-3-1;0.15718
2-5-4-3-1;0.15718
3-2-4-5-1;0.16509
3-2-5-4-1;0.16509
4-2-3-5-1;0.16509
5-2-3-4-1;0.16509
4-2-5-3-1;0.16509
5-2-4-3-1;0.16509
3-4-2-5-1;0.16071
3-5-2-4-1;0.16071
4-3-2-5-1;0.17130
5-3-2-4-1;0.17130
4-5-2-3-1;0.15659
5-4-2-3-1;0.15659
3-4-5-2-1;0.15718
3-5-4-2-1;0.15718
4-3-5-2-1;0.16509
5-3-4-2-1;0.16509
4-5-3-2-1;0.15659
5-4-3-2-1;0.15659
